28/06/2007 14:43:09	     1.000 MHz	  9.9 V/m	-17.2 dBm	OK
28/06/2007 14:43:12	     2.000 MHz	  9.9 V/m	-18.0 dBm	OK
28/06/2007 14:43:16	     3.000 MHz	  9.9 V/m	-15.7 dBm	OK
28/06/2007 14:43:18	     4.000 MHz	  9.9 V/m	-15.6 dBm	OK
28/06/2007 14:43:21	     5.000 MHz	  9.9 V/m	-16.4 dBm	OK
28/06/2007 14:43:24	     6.000 MHz	  9.9 V/m	-15.9 dBm	OK
28/06/2007 14:43:28	     7.000 MHz	  9.9 V/m	-14.7 dBm	OK
28/06/2007 14:43:32	     8.000 MHz	 10.0 V/m	-16.0 dBm	OK
28/06/2007 14:43:33	     9.000 MHz	 10.0 V/m	-16.0 dBm	OK
28/06/2007 14:43:37	    10.000 MHz	  9.9 V/m	-14.3 dBm	OK
28/06/2007 14:43:38	    11.000 MHz	 10.0 V/m	-14.3 dBm	OK
28/06/2007 14:43:42	    12.000 MHz	 10.0 V/m	-15.8 dBm	OK
28/06/2007 14:43:45	    13.000 MHz	  9.9 V/m	-14.5 dBm	OK
28/06/2007 14:43:48	    14.000 MHz	  9.9 V/m	-13.4 dBm	OK
28/06/2007 14:43:52	    15.000 MHz	 10.0 V/m	-14.6 dBm	OK
28/06/2007 14:43:54	    16.000 MHz	 10.0 V/m	-14.8 dBm	OK
28/06/2007 14:43:58	    17.000 MHz	  9.9 V/m	-12.7 dBm	OK
28/06/2007 14:43:59	    18.000 MHz	 10.0 V/m	-12.7 dBm	OK
28/06/2007 14:44:03	    19.000 MHz	 10.0 V/m	-14.5 dBm	OK
28/06/2007 14:44:04	    20.000 MHz	 10.0 V/m	-14.5 dBm	OK
28/06/2007 14:44:08	    21.000 MHz	  9.9 V/m	-11.5 dBm	OK
28/06/2007 14:44:09	    22.000 MHz	  9.9 V/m	-11.5 dBm	OK
28/06/2007 14:44:13	    23.000 MHz	 10.0 V/m	-13.5 dBm	OK
28/06/2007 14:44:14	    24.000 MHz	 10.0 V/m	-13.5 dBm	OK
28/06/2007 14:44:18	    25.000 MHz	 10.0 V/m	-12.0 dBm	OK
28/06/2007 14:44:19	    26.000 MHz	  9.9 V/m	-12.0 dBm	OK
28/06/2007 14:44:22	    27.000 MHz	  9.9 V/m	-11.8 dBm	OK
28/06/2007 14:44:23	    28.000 MHz	  9.9 V/m	-11.8 dBm	OK
28/06/2007 14:44:26	    29.000 MHz	 10.0 V/m	-12.2 dBm	OK
28/06/2007 14:44:27	    30.000 MHz	 10.0 V/m	-12.2 dBm	OK
28/06/2007 14:44:31	    31.000 MHz	  9.9 V/m	-11.1 dBm	OK
28/06/2007 14:44:32	    32.000 MHz	  9.9 V/m	-11.1 dBm	OK
28/06/2007 14:44:33	    33.000 MHz	 10.0 V/m	-11.1 dBm	OK
28/06/2007 14:44:35	    34.000 MHz	 10.0 V/m	-11.9 dBm	OK
28/06/2007 14:44:36	    35.000 MHz	 10.0 V/m	-11.9 dBm	OK
28/06/2007 14:44:39	    36.000 MHz	 10.0 V/m	-12.1 dBm	OK
28/06/2007 14:44:40	    37.000 MHz	 10.0 V/m	-12.1 dBm	OK
28/06/2007 14:44:44	    38.000 MHz	  9.9 V/m	-11.1 dBm	OK
28/06/2007 14:44:45	    39.000 MHz	  9.9 V/m	-11.1 dBm	OK
28/06/2007 14:44:49	    40.000 MHz	 10.0 V/m	-13.3 dBm	OK
