11/05/2018 11:18:09:	RSET

11/05/2018 11:18:12:	DIGO: 0

11/05/2018 11:18:12:	SCNT: 0

11/05/2018 11:18:12:	SWPT: 0

11/05/2018 11:18:13:	SELI: 1

11/05/2018 11:18:13:	ANIN: 0

11/05/2018 11:18:13:	ANIF: 1

11/05/2018 11:18:14:	ANIF: 2

11/05/2018 11:18:14:	ANIF: 3

11/05/2018 11:18:14:	ANIN: 4

11/05/2018 11:18:14:	ANOF: 0

11/05/2018 11:18:15:	ANOF: 1

11/05/2018 11:18:15:	STAT

11/05/2018 11:18:15:	STAT

11/05/2018 11:18:15:	STAT

11/05/2018 11:18:16:	STAT

11/05/2018 11:18:16:	STAT

11/05/2018 11:18:16:	STAT

11/05/2018 11:18:16:	STAT

11/05/2018 11:18:17:	STAT

11/05/2018 11:18:17:	STAT

11/05/2018 11:18:20:	STAT

11/05/2018 11:18:20:	STAT

11/05/2018 11:18:24:	STAT

11/05/2018 11:18:24:	STAT

11/05/2018 11:18:31:	STAT

11/05/2018 11:18:34:	STAT

11/05/2018 11:18:37:	STAT

11/05/2018 11:18:38:	STAT

11/05/2018 11:18:38:	STAT

11/05/2018 11:18:38:	STAT

11/05/2018 11:18:39:	STAT

11/05/2018 11:18:39:	STAT

11/05/2018 11:18:39:	STAT

11/05/2018 11:18:39:	STAT

11/05/2018 11:18:40:	STAT

11/05/2018 11:18:40:	STAT

11/05/2018 11:18:40:	STAT

11/05/2018 11:18:45:	STAT

11/05/2018 11:18:45:	STAT

11/05/2018 11:18:50:	STAT

11/05/2018 11:18:50:	STAT

11/05/2018 11:18:55:	STAT

11/05/2018 11:18:55:	STAT

11/05/2018 11:19:00:	STAT

11/05/2018 11:19:00:	STAT

11/05/2018 11:19:05:	STAT

11/05/2018 11:19:05:	STAT

11/05/2018 11:19:10:	STAT

11/05/2018 11:19:10:	STAT

11/05/2018 11:19:10:	STAT

11/05/2018 11:19:11:	STAT

11/05/2018 11:19:11:	STAT

11/05/2018 11:19:11:	STAT

11/05/2018 11:19:11:	STAT

11/05/2018 11:19:11:	STAT

11/05/2018 11:19:17:	STAT

11/05/2018 11:19:17:	STAT

11/05/2018 11:19:17:	STAT

11/05/2018 11:19:18:	STAT

11/05/2018 11:19:18:	STAT

11/05/2018 11:19:18:	STAT

11/05/2018 11:19:18:	STAT

11/05/2018 11:19:23:	STAT

11/05/2018 11:19:23:	STAT

11/05/2018 11:19:23:	STAT

11/05/2018 11:19:23:	STAT

11/05/2018 11:19:24:	STAT

11/05/2018 11:19:24:	STAT

11/05/2018 11:19:28:	STAT

11/05/2018 11:19:28:	STAT

