01/12/2014 09:41:00	     0.100 MHz	 10.0 V/m	 -8.3 dBm	OK
01/12/2014 09:41:04	     0.200 MHz	 10.0 V/m	-10.7 dBm	OK
01/12/2014 09:41:07	     0.300 MHz	 10.0 V/m	-11.4 dBm	OK
01/12/2014 09:41:10	     0.400 MHz	 10.0 V/m	-11.8 dBm	OK
01/12/2014 09:41:12	     0.500 MHz	 10.0 V/m	-12.0 dBm	OK
01/12/2014 09:41:14	     0.600 MHz	 10.0 V/m	-12.2 dBm	OK
01/12/2014 09:41:16	     0.700 MHz	 10.0 V/m	-12.4 dBm	OK
01/12/2014 09:41:18	     0.800 MHz	 10.0 V/m	-12.7 dBm	OK
01/12/2014 09:41:20	     0.900 MHz	 10.0 V/m	-12.8 dBm	OK
01/12/2014 09:41:22	     1.000 MHz	 10.0 V/m	-13.0 dBm	OK
01/12/2014 09:41:24	     1.100 MHz	 10.0 V/m	-13.2 dBm	OK
01/12/2014 09:41:27	     1.200 MHz	 10.0 V/m	-13.4 dBm	OK
01/12/2014 09:41:29	     1.300 MHz	 10.0 V/m	-13.5 dBm	OK
01/12/2014 09:41:31	     1.400 MHz	 10.0 V/m	-13.7 dBm	OK
01/12/2014 09:41:33	     1.500 MHz	 10.0 V/m	-13.8 dBm	OK
01/12/2014 09:41:35	     1.600 MHz	 10.0 V/m	-14.0 dBm	OK
01/12/2014 09:41:36	     1.700 MHz	 10.0 V/m	-14.0 dBm	OK
01/12/2014 09:41:37	     1.800 MHz	 10.0 V/m	-14.0 dBm	OK
01/12/2014 09:41:39	     1.900 MHz	 10.0 V/m	-13.8 dBm	OK
01/12/2014 09:41:40	     2.000 MHz	 10.0 V/m	-13.8 dBm	OK
01/12/2014 09:41:42	     2.100 MHz	 10.0 V/m	-13.6 dBm	OK
01/12/2014 09:41:43	     2.200 MHz	 10.0 V/m	-13.5 dBm	OK
01/12/2014 09:41:46	     2.300 MHz	 10.0 V/m	-13.1 dBm	OK
01/12/2014 09:41:48	     2.400 MHz	 10.0 V/m	-12.9 dBm	OK
01/12/2014 09:41:50	     2.500 MHz	 10.0 V/m	-12.6 dBm	OK
01/12/2014 09:41:52	     2.600 MHz	 10.0 V/m	-12.3 dBm	OK
01/12/2014 09:41:54	     2.700 MHz	 10.0 V/m	-12.3 dBm	OK
01/12/2014 09:41:56	     2.800 MHz	 10.0 V/m	-12.0 dBm	OK
