03/01/2017 14:20:09	     1.000 MHz	  9.9 V/m	-11.4 dBm	OK
03/01/2017 14:20:11	     1.010 MHz	  9.9 V/m	-11.3 dBm	OK
03/01/2017 14:20:12	     1.020 MHz	  9.9 V/m	-11.3 dBm	OK
03/01/2017 14:20:13	     1.030 MHz	  9.9 V/m	-11.3 dBm	OK
03/01/2017 14:20:14	     1.041 MHz	  9.9 V/m	-11.3 dBm	OK
03/01/2017 14:20:15	     1.051 MHz	  9.9 V/m	-11.3 dBm	OK
03/01/2017 14:20:17	     1.062 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:18	     1.072 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:19	     1.083 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:20	     1.094 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:21	     1.105 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:22	     1.116 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:23	     1.127 MHz	  9.9 V/m	-11.2 dBm	OK
03/01/2017 14:20:25	     1.138 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:26	     1.149 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:27	     1.161 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:28	     1.173 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:29	     1.184 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:30	     1.196 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:31	     1.208 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:33	     1.220 MHz	  9.9 V/m	-11.1 dBm	OK
03/01/2017 14:20:35	     1.232 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:36	     1.245 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:37	     1.257 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:38	     1.270 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:39	     1.282 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:40	     1.295 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:41	     1.308 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:42	     1.321 MHz	  9.9 V/m	-11.0 dBm	OK
03/01/2017 14:20:44	     1.335 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:45	     1.348 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:46	     1.361 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:47	     1.375 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:48	     1.389 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:49	     1.403 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:50	     1.417 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:51	     1.431 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:52	     1.445 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:53	     1.460 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:54	     1.474 MHz	  9.9 V/m	-10.9 dBm	OK
03/01/2017 14:20:56	     1.489 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:20:57	     1.504 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:20:58	     1.519 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:20:59	     1.534 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:00	     1.549 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:01	     1.565 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:02	     1.580 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:03	     1.596 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:04	     1.612 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:05	     1.628 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:06	     1.645 MHz	  9.9 V/m	-10.8 dBm	OK
03/01/2017 14:21:07	     1.661 MHz	  9.9 V/m	-10.8 dBm	OK
