03/01/2017 14:17:31	     0.150 MHz	  9.9 V/m	 -9.2 dBm	OK
03/01/2017 14:17:33	     0.160 MHz	 10.0 V/m	 -9.4 dBm	OK
03/01/2017 14:17:35	     0.170 MHz	 10.0 V/m	 -9.6 dBm	OK
03/01/2017 14:17:37	     0.180 MHz	 10.0 V/m	 -9.9 dBm	OK
03/01/2017 14:17:39	     0.190 MHz	 10.0 V/m	-10.1 dBm	OK
03/01/2017 14:17:41	     0.200 MHz	 10.0 V/m	-10.3 dBm	OK
03/01/2017 14:17:43	     0.210 MHz	 10.0 V/m	-10.4 dBm	OK
03/01/2017 14:17:45	     0.220 MHz	 10.0 V/m	-10.6 dBm	OK
03/01/2017 14:17:47	     0.230 MHz	 10.0 V/m	-10.7 dBm	OK
03/01/2017 14:17:49	     0.240 MHz	 10.0 V/m	-10.8 dBm	OK
03/01/2017 14:17:51	     0.250 MHz	 10.0 V/m	-11.0 dBm	OK
03/01/2017 14:17:52	     0.260 MHz	 10.0 V/m	-11.0 dBm	OK
03/01/2017 14:17:54	     0.270 MHz	 10.0 V/m	-11.2 dBm	OK
03/01/2017 14:17:55	     0.280 MHz	 10.0 V/m	-11.2 dBm	OK
03/01/2017 14:17:57	     0.290 MHz	 10.0 V/m	-11.3 dBm	OK
03/01/2017 14:17:59	     0.300 MHz	 10.0 V/m	-11.4 dBm	OK
03/01/2017 14:18:00	     0.310 MHz	 10.0 V/m	-11.4 dBm	OK
03/01/2017 14:18:02	     0.320 MHz	 10.0 V/m	-11.5 dBm	OK
03/01/2017 14:18:03	     0.330 MHz	 10.0 V/m	-11.5 dBm	OK
03/01/2017 14:18:04	     0.340 MHz	 10.0 V/m	-11.5 dBm	OK
03/01/2017 14:18:06	     0.350 MHz	 10.0 V/m	-11.6 dBm	OK
03/01/2017 14:18:07	     0.360 MHz	 10.0 V/m	-11.6 dBm	OK
03/01/2017 14:18:08	     0.370 MHz	 10.0 V/m	-11.6 dBm	OK
03/01/2017 14:18:10	     0.380 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:11	     0.390 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:12	     0.400 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:13	     0.410 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:14	     0.420 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:15	     0.430 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:16	     0.440 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:17	     0.450 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:18	     0.460 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:19	     0.470 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:20	     0.480 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:21	     0.490 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:22	     0.500 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:23	     0.510 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:24	     0.520 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:25	     0.530 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:26	     0.540 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:27	     0.550 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:28	     0.560 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:29	     0.570 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:30	     0.580 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:31	     0.590 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:32	     0.600 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:33	     0.610 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:34	     0.620 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:35	     0.630 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:36	     0.640 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:37	     0.650 MHz	 10.0 V/m	-11.8 dBm	OK
03/01/2017 14:18:38	     0.660 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:39	     0.670 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:40	     0.680 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:41	     0.690 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:42	     0.700 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:43	     0.710 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:44	     0.720 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:45	     0.730 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:46	     0.740 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:47	     0.750 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:48	     0.760 MHz	  9.9 V/m	-11.8 dBm	OK
03/01/2017 14:18:50	     0.770 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:51	     0.780 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:52	     0.790 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:53	     0.800 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:54	     0.810 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:55	     0.820 MHz	  9.9 V/m	-11.7 dBm	OK
03/01/2017 14:18:57	     0.830 MHz	  9.9 V/m	-11.6 dBm	OK
03/01/2017 14:18:58	     0.840 MHz	  9.9 V/m	-11.6 dBm	OK
03/01/2017 14:18:59	     0.850 MHz	  9.9 V/m	-11.6 dBm	OK
03/01/2017 14:19:00	     0.860 MHz	  9.9 V/m	-11.6 dBm	OK
