03/01/2017 11:30:54	    80.000 MHz	 12.0 V/m	-14.2 dBm	OK	IP0: 29719	(9.96 V/m)	Digital: 0XFF
03/01/2017 11:30:57	    80.800 MHz	 11.9 V/m	-13.7 dBm	OK	IP0: 29567	(10.20 V/m)	Digital: 0XFF
03/01/2017 11:31:01	    81.608 MHz	 11.6 V/m	-13.4 dBm	OK	IP0: 29388	(10.10 V/m)	Digital: 0XFF
03/01/2017 11:31:05	    82.424 MHz	 11.4 V/m	-13.3 dBm	OK	IP0: 29211	(10.12 V/m)	Digital: 0XFF
03/01/2017 11:31:09	    83.248 MHz	 11.5 V/m	-13.5 dBm	OK	IP0: 29078	(10.17 V/m)	Digital: 0XFF
03/01/2017 11:31:14	    84.081 MHz	 11.4 V/m	-14.2 dBm	OK	IP0: 28929	(10.19 V/m)	Digital: 0XFF
03/01/2017 11:31:19	    84.922 MHz	 11.5 V/m	-14.9 dBm	OK	IP0: 28866	(10.20 V/m)	Digital: 0XFF
03/01/2017 11:31:23	    85.771 MHz	 11.4 V/m	-15.4 dBm	OK	IP0: 28673	(10.03 V/m)	Digital: 0XFF
03/01/2017 11:31:26	    86.629 MHz	 11.8 V/m	-15.2 dBm	OK	IP0: 28598	(10.12 V/m)	Digital: 0XFF
03/01/2017 11:31:30	    87.495 MHz	 11.8 V/m	-14.4 dBm	OK	IP0: 28474	(10.08 V/m)	Digital: 0XFF
03/01/2017 11:31:33	    88.370 MHz	 12.0 V/m	-13.7 dBm	OK	IP0: 28336	(10.15 V/m)	Digital: 0XFF
03/01/2017 11:31:37	    89.253 MHz	 11.9 V/m	-13.6 dBm	OK	IP0: 28111	(10.01 V/m)	Digital: 0XFF
03/01/2017 11:31:41	    90.146 MHz	 12.1 V/m	-13.8 dBm	OK	IP0: 27979	(10.20 V/m)	Digital: 0XFF
03/01/2017 11:31:46	    91.047 MHz	 12.2 V/m	-14.6 dBm	OK	IP0: 27817	(10.12 V/m)	Digital: 0XFF
03/01/2017 11:31:51	    91.958 MHz	 12.2 V/m	-15.5 dBm	OK	IP0: 27623	(10.20 V/m)	Digital: 0XFF
