07/02/2017 09:27:10	     0.150 MHz	 11.4 V/m	-16.7 dBm	OK
07/02/2017 09:27:14	     0.160 MHz	 11.4 V/m	-16.8 dBm	OK
07/02/2017 09:27:18	     0.170 MHz	 11.4 V/m	-17.0 dBm	OK
07/02/2017 09:27:22	     0.180 MHz	 11.4 V/m	-17.2 dBm	OK
07/02/2017 09:27:26	     0.190 MHz	 11.4 V/m	-17.4 dBm	OK
07/02/2017 09:27:29	     0.200 MHz	 11.4 V/m	-17.4 dBm	OK
07/02/2017 09:27:33	     0.210 MHz	 11.2 V/m	-17.7 dBm	OK
07/02/2017 09:27:38	     0.220 MHz	 11.4 V/m	-17.8 dBm	OK
07/02/2017 09:27:42	     0.230 MHz	 11.2 V/m	-18.0 dBm	OK
07/02/2017 09:27:46	     0.240 MHz	 11.4 V/m	-18.0 dBm	OK
07/02/2017 09:27:50	     0.250 MHz	 11.2 V/m	-18.3 dBm	OK
07/02/2017 09:27:53	     0.260 MHz	 11.4 V/m	-18.3 dBm	OK
07/02/2017 09:27:57	     0.270 MHz	 11.4 V/m	-18.5 dBm	OK
07/02/2017 09:28:01	     0.280 MHz	 11.4 V/m	-18.6 dBm	OK
07/02/2017 09:28:05	     0.290 MHz	 11.4 V/m	-18.8 dBm	OK
07/02/2017 09:28:08	     0.300 MHz	 11.4 V/m	-18.8 dBm	OK
07/02/2017 09:28:12	     0.310 MHz	 11.2 V/m	-19.1 dBm	OK
07/02/2017 09:28:15	     0.320 MHz	 11.4 V/m	-19.1 dBm	OK
07/02/2017 09:28:20	     0.330 MHz	 11.2 V/m	-19.3 dBm	OK
07/02/2017 09:28:23	     0.340 MHz	 11.4 V/m	-19.3 dBm	OK
07/02/2017 09:28:27	     0.350 MHz	 11.4 V/m	-19.4 dBm	OK
07/02/2017 09:28:31	     0.360 MHz	 11.4 V/m	-19.6 dBm	OK
07/02/2017 09:28:35	     0.370 MHz	 11.4 V/m	-19.6 dBm	OK
07/02/2017 09:28:39	     0.380 MHz	 11.4 V/m	-19.7 dBm	OK
07/02/2017 09:28:43	     0.390 MHz	 11.2 V/m	-19.9 dBm	OK
07/02/2017 09:28:46	     0.400 MHz	 11.4 V/m	-19.9 dBm	OK
07/02/2017 09:28:50	     0.410 MHz	 11.4 V/m	-20.0 dBm	OK
07/02/2017 09:28:53	     0.420 MHz	 11.4 V/m	-20.0 dBm	OK
07/02/2017 09:28:57	     0.430 MHz	 11.4 V/m	-20.1 dBm	OK
07/02/2017 09:29:01	     0.440 MHz	 11.4 V/m	-20.2 dBm	OK
07/02/2017 09:29:05	     0.450 MHz	 11.2 V/m	-20.4 dBm	OK
07/02/2017 09:43:26	     0.460 MHz	 10.5 V/m	-20.0 dBm	OK
07/02/2017 09:43:30	     0.470 MHz	 11.4 V/m	-20.3 dBm	OK
07/02/2017 09:43:33	     0.480 MHz	 11.4 V/m	-20.3 dBm	OK
07/02/2017 09:43:37	     0.490 MHz	 11.4 V/m	-20.5 dBm	OK
07/02/2017 09:43:40	     0.500 MHz	 11.4 V/m	-20.5 dBm	OK
07/02/2017 09:43:43	     0.510 MHz	 11.4 V/m	-20.5 dBm	OK
07/02/2017 09:43:47	     0.520 MHz	 11.4 V/m	-20.6 dBm	OK
07/02/2017 09:43:51	     0.530 MHz	 11.4 V/m	-20.7 dBm	OK
07/02/2017 09:43:54	     0.540 MHz	 11.4 V/m	-20.7 dBm	OK
07/02/2017 09:43:58	     0.550 MHz	 11.4 V/m	-20.8 dBm	OK
07/02/2017 09:44:01	     0.560 MHz	 11.4 V/m	-20.8 dBm	OK
07/02/2017 09:44:05	     0.570 MHz	 11.4 V/m	-20.9 dBm	OK
07/02/2017 09:44:09	     0.580 MHz	 11.4 V/m	-20.9 dBm	OK
07/02/2017 09:44:13	     0.590 MHz	 11.4 V/m	-21.0 dBm	OK
07/02/2017 09:44:16	     0.600 MHz	 11.4 V/m	-21.0 dBm	OK
07/02/2017 09:44:20	     0.610 MHz	 11.4 V/m	-21.1 dBm	OK
07/02/2017 09:44:23	     0.620 MHz	 11.4 V/m	-21.1 dBm	OK
07/02/2017 09:44:26	     0.630 MHz	 11.4 V/m	-21.1 dBm	OK
07/02/2017 09:44:30	     0.640 MHz	 11.2 V/m	-21.3 dBm	OK
07/02/2017 09:44:33	     0.650 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:37	     0.660 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:40	     0.670 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:43	     0.680 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:47	     0.690 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:50	     0.700 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:54	     0.710 MHz	 11.4 V/m	-21.3 dBm	OK
07/02/2017 09:44:58	     0.720 MHz	 11.2 V/m	-21.5 dBm	OK
07/02/2017 09:45:01	     0.730 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:04	     0.740 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:08	     0.750 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:11	     0.760 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:14	     0.770 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:18	     0.780 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:22	     0.790 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:25	     0.800 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:28	     0.810 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:31	     0.820 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:34	     0.830 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:37	     0.840 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:40	     0.850 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:44	     0.860 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:47	     0.870 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:51	     0.880 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:54	     0.890 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:45:58	     0.900 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:01	     0.910 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:05	     0.920 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:08	     0.930 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:11	     0.940 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:15	     0.950 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:18	     0.960 MHz	 11.4 V/m	-21.5 dBm	OK
07/02/2017 09:46:22	     0.970 MHz	 11.2 V/m	-21.5 dBm	OK
07/02/2017 09:46:25	     0.980 MHz	 11.2 V/m	-21.5 dBm	OK
