16/05/2017 09:16:23	     0.150 MHz	  4.5 V/m	-23.6 dBm	OK
16/05/2017 09:16:27	     0.160 MHz	  4.7 V/m	-23.8 dBm	OK
16/05/2017 09:16:32	     0.170 MHz	  4.7 V/m	-24.3 dBm	OK
16/05/2017 09:16:38	     0.180 MHz	  4.5 V/m	-24.8 dBm	OK
16/05/2017 09:16:43	     0.190 MHz	  4.5 V/m	-24.8 dBm	OK
16/05/2017 09:16:46	     0.200 MHz	  4.7 V/m	-24.8 dBm	OK
16/05/2017 09:16:52	     0.210 MHz	  4.7 V/m	-25.1 dBm	OK
16/05/2017 09:16:56	     0.220 MHz	  4.5 V/m	-25.1 dBm	OK
16/05/2017 09:17:01	     0.230 MHz	  4.7 V/m	-25.7 dBm	OK
16/05/2017 09:17:05	     0.240 MHz	  4.3 V/m	-25.7 dBm	OK
16/05/2017 09:17:10	     0.250 MHz	  4.3 V/m	-25.8 dBm	OK
16/05/2017 09:17:14	     0.260 MHz	  4.7 V/m	-26.0 dBm	OK
16/05/2017 09:17:17	     0.270 MHz	  4.7 V/m	-26.0 dBm	OK
16/05/2017 09:17:21	     0.280 MHz	  4.7 V/m	-26.0 dBm	OK
16/05/2017 09:17:24	     0.290 MHz	  4.5 V/m	-26.0 dBm	OK
16/05/2017 09:17:30	     0.300 MHz	  4.3 V/m	-26.3 dBm	OK
16/05/2017 09:17:34	     0.310 MHz	  4.5 V/m	-26.3 dBm	OK
16/05/2017 09:17:40	     0.320 MHz	  4.3 V/m	-26.7 dBm	OK
16/05/2017 09:17:47	     0.330 MHz	  4.5 V/m	-26.4 dBm	OK
16/05/2017 09:17:50	     0.340 MHz	  4.5 V/m	-26.4 dBm	OK
16/05/2017 09:17:54	     0.350 MHz	  4.7 V/m	-26.9 dBm	OK
16/05/2017 09:18:01	     0.360 MHz	  4.7 V/m	-27.1 dBm	OK
16/05/2017 09:18:09	     0.370 MHz	  4.3 V/m	-26.0 dBm	OK
16/05/2017 09:18:13	     0.380 MHz	  4.7 V/m	-26.0 dBm	OK
16/05/2017 09:18:22	     0.390 MHz	  4.7 V/m	-27.4 dBm	OK
16/05/2017 09:18:31	     0.400 MHz	  4.3 V/m	-25.3 dBm	OK
16/05/2017 09:18:47	     0.410 MHz	  4.5 V/m	-27.6 dBm	OK
16/05/2017 09:18:55	     0.420 MHz	  4.3 V/m	-25.3 dBm	OK
16/05/2017 09:22:20	     0.430 MHz	  4.3 V/m	-25.5 dBm	OK
16/05/2017 09:22:26	     0.440 MHz	  4.5 V/m	-25.5 dBm	OK
16/05/2017 09:22:36	     0.450 MHz	  4.5 V/m	-27.1 dBm	OK
16/05/2017 09:22:41	     0.460 MHz	  4.5 V/m	-26.4 dBm	OK
16/05/2017 09:22:52	     0.470 MHz	  4.3 V/m	-27.5 dBm	OK
16/05/2017 09:23:01	     0.480 MHz	  4.7 V/m	-27.6 dBm	OK
16/05/2017 09:23:07	     0.490 MHz	  4.3 V/m	-26.0 dBm	OK
16/05/2017 09:23:17	     0.500 MHz	  4.7 V/m	-24.8 dBm	OK
16/05/2017 09:23:26	     0.510 MHz	  4.3 V/m	-24.8 dBm	OK
16/05/2017 09:23:37	     0.520 MHz	  4.5 V/m	-27.8 dBm	OK
16/05/2017 09:23:46	     0.530 MHz	  4.7 V/m	-27.9 dBm	OK
16/05/2017 09:23:55	     0.540 MHz	  4.5 V/m	-27.7 dBm	OK
16/05/2017 09:24:00	     0.550 MHz	  4.3 V/m	-26.3 dBm	OK
16/05/2017 09:24:05	     0.560 MHz	  4.3 V/m	-26.8 dBm	OK
16/05/2017 09:24:11	     0.570 MHz	  4.5 V/m	-27.8 dBm	OK
16/05/2017 09:24:17	     0.580 MHz	  4.7 V/m	-27.9 dBm	OK
16/05/2017 09:24:23	     0.590 MHz	  4.5 V/m	-27.7 dBm	OK
16/05/2017 09:24:29	     0.600 MHz	  4.5 V/m	-27.9 dBm	OK
16/05/2017 09:24:35	     0.610 MHz	  4.5 V/m	-28.0 dBm	OK
16/05/2017 09:24:40	     0.620 MHz	  4.3 V/m	-26.1 dBm	OK
16/05/2017 09:24:47	     0.630 MHz	  4.5 V/m	-25.6 dBm	OK
16/05/2017 09:24:55	     0.640 MHz	  4.5 V/m	-25.6 dBm	OK
16/05/2017 09:25:01	     0.650 MHz	  4.5 V/m	-26.9 dBm	OK
16/05/2017 09:25:08	     0.660 MHz	  4.7 V/m	-28.2 dBm	OK
16/05/2017 09:25:14	     0.670 MHz	  4.3 V/m	-25.6 dBm	OK
16/05/2017 09:25:23	     0.680 MHz	  4.3 V/m	-28.1 dBm	OK
16/05/2017 09:25:30	     0.690 MHz	  4.5 V/m	-25.9 dBm	OK
16/05/2017 09:25:36	     0.700 MHz	  4.5 V/m	-27.2 dBm	OK
16/05/2017 09:25:44	     0.710 MHz	  4.7 V/m	-28.9 dBm	OK
16/05/2017 09:25:53	     0.720 MHz	  4.5 V/m	-25.7 dBm	OK
