31/05/2017 12:38:47	     0.150 MHz	 11.0 V/m	-16.8 dBm	OK
31/05/2017 12:38:51	     0.160 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 12:38:55	     0.170 MHz	 11.2 V/m	-17.1 dBm	OK
31/05/2017 12:38:59	     0.180 MHz	 11.2 V/m	-17.4 dBm	OK
31/05/2017 12:39:03	     0.190 MHz	 11.2 V/m	-17.6 dBm	OK
31/05/2017 12:39:07	     0.200 MHz	 11.2 V/m	-17.6 dBm	OK
31/05/2017 12:39:11	     0.210 MHz	 11.0 V/m	-17.9 dBm	OK
31/05/2017 12:39:15	     0.220 MHz	 11.2 V/m	-18.0 dBm	OK
31/05/2017 12:39:19	     0.230 MHz	 11.2 V/m	-18.1 dBm	OK
31/05/2017 12:39:23	     0.240 MHz	 11.0 V/m	-18.4 dBm	OK
31/05/2017 12:39:26	     0.250 MHz	 11.2 V/m	-18.4 dBm	OK
31/05/2017 12:39:30	     0.260 MHz	 11.0 V/m	-18.7 dBm	OK
31/05/2017 12:39:33	     0.270 MHz	 11.2 V/m	-18.7 dBm	OK
31/05/2017 12:39:37	     0.280 MHz	 11.2 V/m	-19.0 dBm	OK
31/05/2017 12:39:40	     0.290 MHz	 11.2 V/m	-19.0 dBm	OK
31/05/2017 12:39:44	     0.300 MHz	 11.2 V/m	-19.1 dBm	OK
31/05/2017 12:39:48	     0.310 MHz	 11.2 V/m	-19.2 dBm	OK
31/05/2017 12:39:52	     0.320 MHz	 11.2 V/m	-19.5 dBm	OK
31/05/2017 12:39:56	     0.330 MHz	 11.2 V/m	-19.5 dBm	OK
31/05/2017 12:54:59	     0.340 MHz	 11.2 V/m	-19.9 dBm	OK
31/05/2017 12:55:03	     0.350 MHz	 11.0 V/m	-19.6 dBm	OK
31/05/2017 12:55:06	     0.360 MHz	 11.0 V/m	-19.6 dBm	OK
31/05/2017 12:55:09	     0.370 MHz	 11.2 V/m	-19.6 dBm	OK
31/05/2017 12:55:13	     0.380 MHz	 11.2 V/m	-19.8 dBm	OK
31/05/2017 12:55:16	     0.390 MHz	 11.2 V/m	-19.8 dBm	OK
31/05/2017 12:55:20	     0.400 MHz	 11.2 V/m	-20.0 dBm	OK
31/05/2017 12:55:24	     0.410 MHz	 11.2 V/m	-20.0 dBm	OK
31/05/2017 12:55:28	     0.420 MHz	 11.0 V/m	-20.2 dBm	OK
31/05/2017 12:55:31	     0.430 MHz	 11.2 V/m	-20.2 dBm	OK
31/05/2017 12:55:34	     0.440 MHz	 11.2 V/m	-20.2 dBm	OK
31/05/2017 12:55:38	     0.450 MHz	 11.2 V/m	-20.3 dBm	OK
31/05/2017 12:55:42	     0.460 MHz	 11.0 V/m	-20.5 dBm	OK
31/05/2017 12:55:45	     0.470 MHz	 11.2 V/m	-20.5 dBm	OK
31/05/2017 12:55:48	     0.480 MHz	 11.2 V/m	-20.5 dBm	OK
31/05/2017 12:55:52	     0.490 MHz	 11.2 V/m	-20.6 dBm	OK
31/05/2017 12:55:56	     0.500 MHz	 11.2 V/m	-20.6 dBm	OK
31/05/2017 12:56:00	     0.510 MHz	 11.2 V/m	-20.7 dBm	OK
31/05/2017 12:56:03	     0.520 MHz	 11.2 V/m	-20.7 dBm	OK
31/05/2017 12:56:07	     0.530 MHz	 11.2 V/m	-20.9 dBm	OK
31/05/2017 12:56:10	     0.540 MHz	 11.2 V/m	-20.9 dBm	OK
31/05/2017 12:56:13	     0.550 MHz	 11.2 V/m	-20.9 dBm	OK
31/05/2017 12:56:16	     0.560 MHz	 11.2 V/m	-20.9 dBm	OK
31/05/2017 12:56:19	     0.570 MHz	 11.2 V/m	-20.9 dBm	OK
31/05/2017 12:56:23	     0.580 MHz	 11.2 V/m	-21.0 dBm	OK
31/05/2017 12:56:26	     0.590 MHz	 11.2 V/m	-21.0 dBm	OK
31/05/2017 12:56:29	     0.600 MHz	 11.2 V/m	-21.0 dBm	OK
31/05/2017 12:56:32	     0.610 MHz	 11.2 V/m	-21.0 dBm	OK
31/05/2017 12:56:35	     0.620 MHz	 11.2 V/m	-21.0 dBm	OK
31/05/2017 12:56:39	     0.630 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:42	     0.640 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:45	     0.650 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:48	     0.660 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:51	     0.670 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:54	     0.680 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:56:57	     0.690 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:00	     0.700 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:03	     0.710 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:06	     0.720 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:10	     0.730 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:13	     0.740 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:16	     0.750 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:19	     0.760 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:23	     0.770 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:26	     0.780 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:29	     0.790 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:32	     0.800 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:35	     0.810 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:39	     0.820 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:42	     0.830 MHz	 11.2 V/m	-21.1 dBm	OK
31/05/2017 12:57:45	     0.840 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:57:48	     0.850 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:57:51	     0.860 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:57:54	     0.870 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:57:57	     0.880 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:58:00	     0.890 MHz	 11.0 V/m	-21.1 dBm	OK
31/05/2017 12:58:04	     0.900 MHz	 11.0 V/m	-21.0 dBm	OK
31/05/2017 12:58:07	     0.910 MHz	 11.0 V/m	-21.0 dBm	OK
31/05/2017 12:58:11	     0.920 MHz	 11.0 V/m	-21.0 dBm	OK
31/05/2017 12:58:15	     0.930 MHz	 11.0 V/m	-20.9 dBm	OK
31/05/2017 12:58:19	     0.940 MHz	 11.0 V/m	-20.9 dBm	OK
31/05/2017 12:58:22	     0.950 MHz	 11.0 V/m	-20.9 dBm	OK
31/05/2017 12:58:26	     0.960 MHz	 11.0 V/m	-20.8 dBm	OK
31/05/2017 12:58:29	     0.970 MHz	 11.0 V/m	-20.8 dBm	OK
31/05/2017 12:58:33	     0.980 MHz	 11.2 V/m	-20.6 dBm	OK
31/05/2017 12:58:36	     0.990 MHz	 11.0 V/m	-20.6 dBm	OK
31/05/2017 12:58:39	     1.000 MHz	 11.0 V/m	-20.6 dBm	OK
