31/05/2017 14:34:18	     0.150 MHz	 11.0 V/m	-13.8 dBm	OK
31/05/2017 14:34:23	     0.160 MHz	 11.2 V/m	-14.1 dBm	OK
31/05/2017 14:34:27	     0.170 MHz	 11.2 V/m	-14.3 dBm	OK
31/05/2017 14:34:31	     0.180 MHz	 11.2 V/m	-14.7 dBm	OK
31/05/2017 14:34:35	     0.190 MHz	 11.2 V/m	-15.0 dBm	OK
31/05/2017 14:34:39	     0.200 MHz	 11.2 V/m	-15.2 dBm	OK
31/05/2017 14:34:43	     0.210 MHz	 11.2 V/m	-15.3 dBm	OK
31/05/2017 14:34:47	     0.220 MHz	 11.2 V/m	-15.5 dBm	OK
31/05/2017 14:34:51	     0.230 MHz	 11.2 V/m	-15.8 dBm	OK
31/05/2017 14:34:54	     0.240 MHz	 11.2 V/m	-15.8 dBm	OK
31/05/2017 14:34:58	     0.250 MHz	 11.0 V/m	-16.1 dBm	OK
31/05/2017 14:35:02	     0.260 MHz	 11.2 V/m	-16.1 dBm	OK
31/05/2017 14:35:06	     0.270 MHz	 11.2 V/m	-16.3 dBm	OK
31/05/2017 14:35:09	     0.280 MHz	 11.2 V/m	-16.3 dBm	OK
31/05/2017 14:35:13	     0.290 MHz	 11.2 V/m	-16.4 dBm	OK
31/05/2017 14:35:17	     0.300 MHz	 11.2 V/m	-16.6 dBm	OK
31/05/2017 14:35:20	     0.310 MHz	 11.2 V/m	-16.6 dBm	OK
31/05/2017 14:35:24	     0.320 MHz	 11.2 V/m	-16.6 dBm	OK
31/05/2017 14:35:27	     0.330 MHz	 11.2 V/m	-16.6 dBm	OK
31/05/2017 14:35:31	     0.340 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:34	     0.350 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:38	     0.360 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:41	     0.370 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:45	     0.380 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:48	     0.390 MHz	 11.2 V/m	-16.8 dBm	OK
31/05/2017 14:35:52	     0.400 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:35:55	     0.410 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:35:59	     0.420 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:02	     0.430 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:05	     0.440 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:08	     0.450 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:11	     0.460 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:14	     0.470 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:17	     0.480 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:21	     0.490 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:25	     0.500 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:28	     0.510 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:31	     0.520 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:35	     0.530 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:38	     0.540 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:42	     0.550 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:45	     0.560 MHz	 11.2 V/m	-16.9 dBm	OK
31/05/2017 14:36:48	     0.570 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:36:52	     0.580 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:36:55	     0.590 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:36:59	     0.600 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:37:02	     0.610 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:37:06	     0.620 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:37:09	     0.630 MHz	 11.0 V/m	-16.9 dBm	OK
31/05/2017 14:37:13	     0.640 MHz	 11.0 V/m	-16.8 dBm	OK
31/05/2017 14:37:16	     0.650 MHz	 11.0 V/m	-16.8 dBm	OK
31/05/2017 14:37:20	     0.660 MHz	 11.0 V/m	-16.8 dBm	OK
31/05/2017 14:37:23	     0.670 MHz	 11.0 V/m	-16.8 dBm	OK
31/05/2017 14:37:27	     0.680 MHz	 11.0 V/m	-16.7 dBm	OK
31/05/2017 14:37:30	     0.690 MHz	 11.0 V/m	-16.7 dBm	OK
31/05/2017 14:37:33	     0.700 MHz	 11.0 V/m	-16.7 dBm	OK
31/05/2017 14:37:37	     0.710 MHz	 11.2 V/m	-16.5 dBm	OK
31/05/2017 14:37:41	     0.720 MHz	 11.0 V/m	-16.5 dBm	OK
31/05/2017 14:37:44	     0.730 MHz	 11.0 V/m	-16.5 dBm	OK
31/05/2017 14:37:47	     0.740 MHz	 11.0 V/m	-16.5 dBm	OK
31/05/2017 14:37:51	     0.750 MHz	 11.0 V/m	-16.5 dBm	OK
31/05/2017 14:37:54	     0.760 MHz	 11.0 V/m	-16.5 dBm	OK
31/05/2017 14:37:58	     0.770 MHz	 11.0 V/m	-16.4 dBm	OK
31/05/2017 14:38:01	     0.780 MHz	 11.0 V/m	-16.4 dBm	OK
31/05/2017 14:38:04	     0.790 MHz	 11.0 V/m	-16.4 dBm	OK
31/05/2017 14:38:08	     0.800 MHz	 11.0 V/m	-16.3 dBm	OK
31/05/2017 14:38:11	     0.810 MHz	 11.0 V/m	-16.3 dBm	OK
31/05/2017 14:38:14	     0.820 MHz	 11.0 V/m	-16.3 dBm	OK
31/05/2017 14:38:17	     0.830 MHz	 11.0 V/m	-16.3 dBm	OK
31/05/2017 14:38:21	     0.840 MHz	 11.0 V/m	-16.2 dBm	OK
31/05/2017 14:38:25	     0.850 MHz	 11.0 V/m	-16.2 dBm	OK
31/05/2017 14:38:28	     0.860 MHz	 11.0 V/m	-16.2 dBm	OK
31/05/2017 14:38:32	     0.870 MHz	 11.0 V/m	-16.1 dBm	OK
31/05/2017 14:38:35	     0.880 MHz	 11.0 V/m	-16.1 dBm	OK
31/05/2017 14:38:38	     0.890 MHz	 11.0 V/m	-16.1 dBm	OK
31/05/2017 14:38:42	     0.900 MHz	 11.0 V/m	-16.0 dBm	OK
31/05/2017 14:38:45	     0.910 MHz	 11.0 V/m	-16.0 dBm	OK
31/05/2017 14:38:48	     0.920 MHz	 11.0 V/m	-16.0 dBm	OK
31/05/2017 14:38:51	     0.930 MHz	 11.0 V/m	-16.0 dBm	OK
31/05/2017 14:38:55	     0.940 MHz	 11.0 V/m	-15.8 dBm	OK
