01/06/2017 09:09:56	     0.150 MHz	 11.0 V/m	-14.1 dBm	OK
01/06/2017 09:10:00	     0.160 MHz	 11.2 V/m	-14.2 dBm	OK
01/06/2017 09:10:05	     0.170 MHz	 11.2 V/m	-14.6 dBm	OK
01/06/2017 09:55:48	     0.180 MHz	 11.2 V/m	-14.8 dBm	OK
01/06/2017 09:55:52	     0.190 MHz	 11.2 V/m	-15.0 dBm	OK
01/06/2017 09:55:56	     0.200 MHz	 11.2 V/m	-15.2 dBm	OK
01/06/2017 09:56:00	     0.210 MHz	 11.0 V/m	-15.5 dBm	OK
01/06/2017 09:56:03	     0.220 MHz	 11.2 V/m	-15.5 dBm	OK
01/06/2017 09:56:07	     0.230 MHz	 11.2 V/m	-15.8 dBm	OK
01/06/2017 09:56:11	     0.240 MHz	 11.2 V/m	-16.0 dBm	OK
01/06/2017 09:56:14	     0.250 MHz	 11.2 V/m	-16.0 dBm	OK
01/06/2017 09:56:18	     0.260 MHz	 11.2 V/m	-16.2 dBm	OK
01/06/2017 09:56:22	     0.270 MHz	 11.2 V/m	-16.2 dBm	OK
01/06/2017 09:56:26	     0.280 MHz	 11.2 V/m	-16.3 dBm	OK
01/06/2017 09:56:30	     0.290 MHz	 11.2 V/m	-16.5 dBm	OK
01/06/2017 09:56:33	     0.300 MHz	 11.2 V/m	-16.5 dBm	OK
01/06/2017 09:56:37	     0.310 MHz	 11.2 V/m	-16.6 dBm	OK
01/06/2017 09:56:40	     0.320 MHz	 11.2 V/m	-16.6 dBm	OK
01/06/2017 09:56:44	     0.330 MHz	 11.2 V/m	-16.8 dBm	OK
01/06/2017 09:56:48	     0.340 MHz	 11.2 V/m	-16.8 dBm	OK
01/06/2017 09:56:51	     0.350 MHz	 11.2 V/m	-16.8 dBm	OK
01/06/2017 09:56:54	     0.360 MHz	 11.2 V/m	-16.8 dBm	OK
01/06/2017 09:56:57	     0.370 MHz	 11.2 V/m	-16.8 dBm	OK
01/06/2017 09:57:01	     0.380 MHz	 11.2 V/m	-16.9 dBm	OK
01/06/2017 09:57:04	     0.390 MHz	 11.2 V/m	-16.9 dBm	OK
01/06/2017 09:57:07	     0.400 MHz	 11.2 V/m	-16.9 dBm	OK
01/06/2017 10:01:40	     0.410 MHz	 11.2 V/m	-17.5 dBm	OK
01/06/2017 10:01:44	     0.420 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:01:47	     0.430 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:01:50	     0.440 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:01:53	     0.450 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:01:56	     0.460 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:01:59	     0.470 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:02	     0.480 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:05	     0.490 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:08	     0.500 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:11	     0.510 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:15	     0.520 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:18	     0.530 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:21	     0.540 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:24	     0.550 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:28	     0.560 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:31	     0.570 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:34	     0.580 MHz	 11.0 V/m	-17.3 dBm	OK
01/06/2017 10:02:38	     0.590 MHz	 11.0 V/m	-17.2 dBm	OK
01/06/2017 10:02:42	     0.600 MHz	 11.0 V/m	-17.2 dBm	OK
01/06/2017 10:02:46	     0.610 MHz	 11.0 V/m	-17.2 dBm	OK
01/06/2017 10:02:50	     0.620 MHz	 11.0 V/m	-17.2 dBm	OK
01/06/2017 10:02:54	     0.630 MHz	 11.0 V/m	-17.2 dBm	OK
01/06/2017 10:02:58	     0.640 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:02	     0.650 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:06	     0.660 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:09	     0.670 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:13	     0.680 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:17	     0.690 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:21	     0.700 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:25	     0.710 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:28	     0.720 MHz	 11.0 V/m	-17.0 dBm	OK
01/06/2017 10:03:32	     0.730 MHz	 11.0 V/m	-16.9 dBm	OK
01/06/2017 10:03:36	     0.740 MHz	 11.0 V/m	-16.9 dBm	OK
01/06/2017 10:03:39	     0.750 MHz	 11.0 V/m	-16.9 dBm	OK
