30/05/2017 15:05:37	    80.000 MHz	 11.1 V/m	 -8.8 dBm	OK	IP0: 30275	(10.88 V/m)	Digital: 0XFF
30/05/2017 15:05:44	    80.400 MHz	  9.2 V/m	 -8.6 dBm	OK	IP0: 30307	(11.05 V/m)	Digital: 0XFF
30/05/2017 15:05:51	    80.802 MHz	  8.9 V/m	 -8.7 dBm	OK	IP0: 30199	(11.13 V/m)	Digital: 0XFF
30/05/2017 15:05:58	    81.206 MHz	  9.9 V/m	 -8.8 dBm	OK	IP0: 30177	(11.07 V/m)	Digital: 0XFF
30/05/2017 15:06:04	    81.612 MHz	 10.9 V/m	 -8.9 dBm	OK	IP0: 30116	(11.19 V/m)	Digital: 0XFF
30/05/2017 15:06:10	    82.020 MHz	 12.2 V/m	 -8.9 dBm	OK	IP0: 30022	(11.16 V/m)	Digital: 0XFF
30/05/2017 15:06:16	    82.430 MHz	 13.7 V/m	 -9.1 dBm	OK	IP0: 29888	(11.14 V/m)	Digital: 0XFF
30/05/2017 15:06:22	    82.842 MHz	 14.7 V/m	 -9.1 dBm	OK	IP0: 29903	(11.17 V/m)	Digital: 0XFF
30/05/2017 15:06:28	    83.257 MHz	 13.5 V/m	 -9.3 dBm	OK	IP0: 29775	(10.99 V/m)	Digital: 0XFF
30/05/2017 15:06:34	    83.673 MHz	 12.1 V/m	 -9.4 dBm	OK	IP0: 29689	(11.14 V/m)	Digital: 0XFF
30/05/2017 15:06:40	    84.091 MHz	 11.1 V/m	 -9.4 dBm	OK	IP0: 29625	(11.13 V/m)	Digital: 0XFF
30/05/2017 15:06:47	    84.512 MHz	 10.4 V/m	 -9.5 dBm	OK	IP0: 29519	(10.98 V/m)	Digital: 0XFF
30/05/2017 15:06:54	    84.934 MHz	 10.2 V/m	 -9.5 dBm	OK	IP0: 29444	(11.01 V/m)	Digital: 0XFF
30/05/2017 15:07:01	    85.359 MHz	 10.4 V/m	 -9.4 dBm	OK	IP0: 29477	(11.08 V/m)	Digital: 0XFF
