07/06/2017 10:13:20	    80.000 MHz	 15.2 V/m	 -8.4 dBm	OK	IP0: 30297	(10.84 V/m)	Digital: 0XFF
07/06/2017 10:13:26	    80.400 MHz	 15.5 V/m	 -8.1 dBm	OK	IP0: 30348	(11.14 V/m)	Digital: 0XFF
07/06/2017 10:13:32	    80.802 MHz	 15.4 V/m	 -8.2 dBm	OK	IP0: 30251	(11.16 V/m)	Digital: 0XFF
07/06/2017 10:13:39	    81.206 MHz	 14.9 V/m	 -8.5 dBm	OK	IP0: 30104	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:13:45	    81.612 MHz	 15.0 V/m	 -8.6 dBm	OK	IP0: 30069	(11.12 V/m)	Digital: 0XFF
07/06/2017 10:13:50	    82.020 MHz	 15.4 V/m	 -8.6 dBm	OK	IP0: 29984	(11.16 V/m)	Digital: 0XFF
07/06/2017 10:13:56	    82.430 MHz	 15.1 V/m	 -8.8 dBm	OK	IP0: 29844	(11.16 V/m)	Digital: 0XFF
07/06/2017 10:14:02	    82.842 MHz	 15.3 V/m	 -8.8 dBm	OK	IP0: 29841	(11.10 V/m)	Digital: 0XFF
07/06/2017 10:14:08	    83.257 MHz	 15.2 V/m	 -9.0 dBm	OK	IP0: 29735	(11.09 V/m)	Digital: 0XFF
07/06/2017 10:14:14	    83.673 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 29658	(11.04 V/m)	Digital: 0XFF
07/06/2017 10:14:20	    84.091 MHz	 15.3 V/m	 -9.1 dBm	OK	IP0: 29625	(11.19 V/m)	Digital: 0XFF
07/06/2017 10:14:26	    84.512 MHz	 15.4 V/m	 -9.2 dBm	OK	IP0: 29543	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:14:32	    84.934 MHz	 15.6 V/m	 -9.2 dBm	OK	IP0: 29516	(11.17 V/m)	Digital: 0XFF
07/06/2017 10:14:38	    85.359 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 29456	(11.11 V/m)	Digital: 0XFF
07/06/2017 10:14:44	    85.786 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 29371	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:14:50	    86.215 MHz	 15.6 V/m	 -9.2 dBm	OK	IP0: 29323	(11.09 V/m)	Digital: 0XFF
07/06/2017 10:14:56	    86.646 MHz	 15.3 V/m	 -9.2 dBm	OK	IP0: 29240	(11.11 V/m)	Digital: 0XFF
07/06/2017 10:15:02	    87.079 MHz	 15.1 V/m	 -9.2 dBm	OK	IP0: 29182	(11.08 V/m)	Digital: 0XFF
07/06/2017 10:15:08	    87.514 MHz	 15.2 V/m	 -9.1 dBm	OK	IP0: 29188	(11.11 V/m)	Digital: 0XFF
07/06/2017 10:15:14	    87.952 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 29094	(11.10 V/m)	Digital: 0XFF
07/06/2017 10:15:20	    88.392 MHz	 14.9 V/m	 -9.1 dBm	OK	IP0: 29033	(11.09 V/m)	Digital: 0XFF
07/06/2017 10:15:27	    88.834 MHz	 14.8 V/m	 -9.2 dBm	OK	IP0: 28981	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:15:33	    89.278 MHz	 15.1 V/m	 -9.0 dBm	OK	IP0: 29005	(11.18 V/m)	Digital: 0XFF
07/06/2017 10:15:39	    89.724 MHz	 14.9 V/m	 -9.2 dBm	OK	IP0: 28854	(11.07 V/m)	Digital: 0XFF
07/06/2017 10:15:45	    90.173 MHz	 15.0 V/m	 -9.2 dBm	OK	IP0: 28836	(11.16 V/m)	Digital: 0XFF
07/06/2017 10:15:51	    90.624 MHz	 15.1 V/m	 -9.3 dBm	OK	IP0: 28776	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:15:57	    91.077 MHz	 15.2 V/m	 -9.3 dBm	OK	IP0: 28682	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:16:03	    91.532 MHz	 15.4 V/m	 -9.4 dBm	OK	IP0: 28673	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:16:09	    91.990 MHz	 15.3 V/m	 -9.6 dBm	OK	IP0: 28550	(11.18 V/m)	Digital: 0XFF
07/06/2017 10:16:14	    92.450 MHz	 15.9 V/m	 -9.5 dBm	OK	IP0: 28617	(11.13 V/m)	Digital: 0XFF
07/06/2017 10:16:20	    92.912 MHz	 16.0 V/m	 -9.3 dBm	OK	IP0: 28637	(11.05 V/m)	Digital: 0XFF
07/06/2017 10:16:26	    93.377 MHz	 16.6 V/m	 -9.1 dBm	OK	IP0: 28717	(11.18 V/m)	Digital: 0XFF
07/06/2017 10:16:32	    93.843 MHz	 16.7 V/m	 -9.1 dBm	OK	IP0: 28732	(11.15 V/m)	Digital: 0XFF
07/06/2017 10:16:38	    94.313 MHz	 17.1 V/m	 -8.9 dBm	OK	IP0: 28852	(11.14 V/m)	Digital: 0XFF
