21/02/2018 15:46:17	    35.000 MHz	  8.3 V/m	 -8.2 dBm	OK
21/02/2018 15:46:21	    35.350 MHz	  8.7 V/m	 -8.3 dBm	OK
21/02/2018 15:46:26	    35.703 MHz	  8.5 V/m	 -8.9 dBm	OK
21/02/2018 15:46:30	    36.061 MHz	  8.7 V/m	 -9.2 dBm	OK
21/02/2018 15:46:34	    36.421 MHz	  8.7 V/m	 -9.5 dBm	OK
21/02/2018 15:46:37	    36.785 MHz	  8.5 V/m	 -9.5 dBm	OK
21/02/2018 15:46:41	    37.153 MHz	  8.3 V/m	 -9.3 dBm	OK
21/02/2018 15:46:46	    37.525 MHz	  8.3 V/m	 -8.6 dBm	OK
21/02/2018 15:46:51	    37.900 MHz	  8.3 V/m	 -8.0 dBm	OK
21/02/2018 15:46:55	    38.279 MHz	  8.3 V/m	 -7.7 dBm	OK
21/02/2018 15:46:59	    38.662 MHz	  8.3 V/m	 -7.5 dBm	OK
21/02/2018 15:47:02	    39.048 MHz	  8.3 V/m	 -7.5 dBm	OK
21/02/2018 15:47:05	    39.439 MHz	  8.3 V/m	 -7.5 dBm	OK
21/02/2018 15:47:08	    39.833 MHz	  8.3 V/m	 -7.5 dBm	OK
21/02/2018 15:47:12	    40.232 MHz	  8.3 V/m	 -7.2 dBm	OK
21/02/2018 15:47:17	    40.634 MHz	  8.3 V/m	 -6.7 dBm	OK
21/02/2018 15:47:21	    41.040 MHz	  8.3 V/m	 -6.3 dBm	OK
21/02/2018 15:47:26	    41.451 MHz	  8.3 V/m	 -5.7 dBm	OK
21/02/2018 15:47:30	    41.865 MHz	  8.3 V/m	 -5.6 dBm	OK
21/02/2018 15:47:33	    42.284 MHz	  8.3 V/m	 -5.6 dBm	OK
21/02/2018 15:47:36	    42.707 MHz	  8.5 V/m	 -5.6 dBm	OK
21/02/2018 15:47:39	    43.134 MHz	  8.7 V/m	 -5.6 dBm	OK
21/02/2018 15:47:43	    43.565 MHz	  8.7 V/m	 -5.8 dBm	OK
21/02/2018 15:47:46	    44.001 MHz	  8.7 V/m	 -5.8 dBm	OK
21/02/2018 15:47:49	    44.441 MHz	  8.5 V/m	 -5.8 dBm	OK
21/02/2018 15:47:52	    44.885 MHz	  8.3 V/m	 -5.8 dBm	OK
21/02/2018 15:47:56	    45.334 MHz	  8.3 V/m	 -5.6 dBm	OK
21/02/2018 15:47:59	    45.787 MHz	  8.5 V/m	 -5.6 dBm	OK
21/02/2018 15:48:02	    46.245 MHz	  8.7 V/m	 -5.6 dBm	OK
21/02/2018 15:48:07	    46.708 MHz	  8.7 V/m	 -6.1 dBm	OK
21/02/2018 15:48:11	    47.175 MHz	  8.7 V/m	 -6.4 dBm	OK
21/02/2018 15:48:15	    47.646 MHz	  8.7 V/m	 -6.6 dBm	OK
21/02/2018 15:48:18	    48.123 MHz	  8.7 V/m	 -6.6 dBm	OK
21/02/2018 15:48:21	    48.604 MHz	  8.5 V/m	 -6.6 dBm	OK
21/02/2018 15:48:24	    49.090 MHz	  8.5 V/m	 -6.6 dBm	OK
21/02/2018 15:48:27	    49.581 MHz	  8.7 V/m	 -6.6 dBm	OK
21/02/2018 15:48:32	    50.077 MHz	  8.7 V/m	 -7.0 dBm	OK
21/02/2018 15:48:37	    50.578 MHz	  8.7 V/m	 -7.5 dBm	OK
21/02/2018 15:48:41	    51.083 MHz	  8.7 V/m	 -7.7 dBm	OK
21/02/2018 15:48:45	    51.594 MHz	  8.7 V/m	 -7.7 dBm	OK
21/02/2018 15:48:48	    52.110 MHz	  8.7 V/m	 -7.7 dBm	OK
21/02/2018 15:48:51	    52.631 MHz	  8.7 V/m	 -7.7 dBm	OK
21/02/2018 15:48:55	    53.158 MHz	  8.7 V/m	 -7.8 dBm	OK
21/02/2018 15:48:59	    53.689 MHz	  8.7 V/m	 -8.1 dBm	OK
21/02/2018 15:49:04	    54.226 MHz	  8.7 V/m	 -8.6 dBm	OK
21/02/2018 15:49:08	    54.768 MHz	  8.7 V/m	 -8.7 dBm	OK
21/02/2018 15:49:11	    55.316 MHz	  8.7 V/m	 -8.7 dBm	OK
21/02/2018 15:49:14	    55.869 MHz	  8.7 V/m	 -8.7 dBm	OK
21/02/2018 15:49:17	    56.428 MHz	  8.7 V/m	 -8.7 dBm	OK
21/02/2018 15:49:21	    56.992 MHz	  8.7 V/m	 -9.0 dBm	OK
21/02/2018 15:49:25	    57.562 MHz	  8.5 V/m	 -9.3 dBm	OK
21/02/2018 15:49:28	    58.138 MHz	  8.7 V/m	 -9.3 dBm	OK
21/02/2018 15:49:31	    58.719 MHz	  8.5 V/m	 -9.3 dBm	OK
21/02/2018 15:49:35	    59.306 MHz	  8.3 V/m	 -9.3 dBm	OK
21/02/2018 15:49:38	    59.899 MHz	  8.3 V/m	 -9.3 dBm	OK
21/02/2018 15:49:42	    60.498 MHz	  8.7 V/m	 -9.3 dBm	OK
21/02/2018 15:49:47	    61.103 MHz	  8.7 V/m	 -9.8 dBm	OK
21/02/2018 15:49:50	    61.714 MHz	  8.7 V/m	 -9.8 dBm	OK
21/02/2018 15:49:54	    62.332 MHz	  8.3 V/m	 -9.8 dBm	OK
21/02/2018 15:49:58	    62.955 MHz	  8.3 V/m	 -9.5 dBm	OK
21/02/2018 15:50:01	    63.584 MHz	  8.3 V/m	 -9.5 dBm	OK
21/02/2018 15:50:06	    64.220 MHz	  8.7 V/m	-10.0 dBm	OK
21/02/2018 15:50:10	    64.862 MHz	  8.7 V/m	-10.4 dBm	OK
21/02/2018 15:50:14	    65.511 MHz	  8.7 V/m	-10.4 dBm	OK
21/02/2018 15:50:17	    66.166 MHz	  8.3 V/m	-10.4 dBm	OK
21/02/2018 15:50:20	    66.828 MHz	  8.3 V/m	-10.4 dBm	OK
21/02/2018 15:50:24	    67.496 MHz	  8.7 V/m	-10.4 dBm	OK
21/02/2018 15:50:29	    68.171 MHz	  8.7 V/m	-10.8 dBm	OK
21/02/2018 15:50:33	    68.853 MHz	  8.7 V/m	-11.0 dBm	OK
21/02/2018 15:50:36	    69.541 MHz	  8.5 V/m	-11.0 dBm	OK
21/02/2018 15:50:39	    70.237 MHz	  8.3 V/m	-11.0 dBm	OK
21/02/2018 15:50:42	    70.939 MHz	  8.7 V/m	-11.0 dBm	OK
21/02/2018 15:50:47	    71.648 MHz	  8.7 V/m	-11.4 dBm	OK
21/02/2018 15:50:51	    72.365 MHz	  8.7 V/m	-11.4 dBm	OK
21/02/2018 15:50:55	    73.089 MHz	  8.3 V/m	-11.4 dBm	OK
21/02/2018 15:50:59	    73.819 MHz	  8.3 V/m	-11.2 dBm	OK
21/02/2018 15:51:03	    74.558 MHz	  8.7 V/m	-11.2 dBm	OK
21/02/2018 15:51:08	    75.303 MHz	  8.7 V/m	-11.8 dBm	OK
