21/02/2018 15:39:41	    35.000 MHz	  4.3 V/m	-14.2 dBm	OK
21/02/2018 15:39:45	    35.350 MHz	  4.3 V/m	-14.0 dBm	OK
21/02/2018 15:39:48	    35.703 MHz	  4.7 V/m	-14.0 dBm	OK
21/02/2018 15:39:52	    36.061 MHz	  4.5 V/m	-14.8 dBm	OK
21/02/2018 15:39:56	    36.421 MHz	  4.7 V/m	-15.1 dBm	OK
21/02/2018 15:39:59	    36.785 MHz	  4.7 V/m	-15.1 dBm	OK
21/02/2018 15:40:03	    37.153 MHz	  4.5 V/m	-15.1 dBm	OK
21/02/2018 15:40:07	    37.525 MHz	  4.3 V/m	-14.9 dBm	OK
21/02/2018 15:40:12	    37.900 MHz	  4.3 V/m	-13.9 dBm	OK
21/02/2018 15:40:16	    38.279 MHz	  4.3 V/m	-13.9 dBm	OK
21/02/2018 15:40:19	    38.662 MHz	  4.3 V/m	-13.9 dBm	OK
21/02/2018 15:40:23	    39.048 MHz	  4.3 V/m	-13.9 dBm	OK
21/02/2018 15:40:26	    39.439 MHz	  4.5 V/m	-13.9 dBm	OK
21/02/2018 15:40:29	    39.833 MHz	  4.5 V/m	-13.9 dBm	OK
21/02/2018 15:40:32	    40.232 MHz	  4.3 V/m	-13.9 dBm	OK
21/02/2018 15:40:36	    40.634 MHz	  4.3 V/m	-13.5 dBm	OK
21/02/2018 15:40:40	    41.040 MHz	  4.3 V/m	-12.9 dBm	OK
21/02/2018 15:40:44	    41.451 MHz	  4.3 V/m	-12.2 dBm	OK
21/02/2018 15:40:47	    41.865 MHz	  4.3 V/m	-12.2 dBm	OK
21/02/2018 15:40:51	    42.284 MHz	  4.3 V/m	-11.8 dBm	OK
21/02/2018 15:40:55	    42.707 MHz	  4.5 V/m	-11.8 dBm	OK
21/02/2018 15:40:58	    43.134 MHz	  4.5 V/m	-11.8 dBm	OK
21/02/2018 15:41:01	    43.565 MHz	  4.5 V/m	-11.8 dBm	OK
21/02/2018 15:41:05	    44.001 MHz	  4.5 V/m	-11.8 dBm	OK
21/02/2018 15:41:08	    44.441 MHz	  4.3 V/m	-11.8 dBm	OK
21/02/2018 15:41:12	    44.885 MHz	  4.3 V/m	-11.6 dBm	OK
21/02/2018 15:41:15	    45.334 MHz	  4.3 V/m	-11.6 dBm	OK
21/02/2018 15:41:18	    45.787 MHz	  4.3 V/m	-11.6 dBm	OK
21/02/2018 15:41:22	    46.245 MHz	  4.3 V/m	-11.6 dBm	OK
21/02/2018 15:41:26	    46.708 MHz	  4.5 V/m	-11.6 dBm	OK
21/02/2018 15:41:29	    47.175 MHz	  4.7 V/m	-11.6 dBm	OK
21/02/2018 15:41:33	    47.646 MHz	  4.7 V/m	-11.7 dBm	OK
21/02/2018 15:41:36	    48.123 MHz	  4.7 V/m	-11.7 dBm	OK
