23/02/2018 13:23:59	    12.000 MHz	 11.9 V/m	-17.0 dBm	OK
23/02/2018 13:24:03	    12.060 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:06	    12.120 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:09	    12.181 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:12	    12.242 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:15	    12.303 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:18	    12.365 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:22	    12.426 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:25	    12.488 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:29	    12.551 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:32	    12.614 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:35	    12.677 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:38	    12.740 MHz	 11.9 V/m	-16.9 dBm	OK
23/02/2018 13:24:42	    12.804 MHz	 11.9 V/m	-16.7 dBm	OK
23/02/2018 13:24:45	    12.868 MHz	 11.9 V/m	-16.7 dBm	OK
23/02/2018 13:24:48	    12.932 MHz	 11.9 V/m	-16.7 dBm	OK
23/02/2018 13:24:51	    12.997 MHz	 11.9 V/m	-16.7 dBm	OK
23/02/2018 13:24:55	    13.062 MHz	 11.9 V/m	-16.5 dBm	OK
23/02/2018 13:24:58	    13.127 MHz	 11.9 V/m	-16.5 dBm	OK
23/02/2018 13:25:01	    13.193 MHz	 11.9 V/m	-16.5 dBm	OK
23/02/2018 13:25:05	    13.259 MHz	 11.9 V/m	-16.3 dBm	OK
23/02/2018 13:25:08	    13.325 MHz	 11.9 V/m	-16.3 dBm	OK
23/02/2018 13:25:11	    13.392 MHz	 11.9 V/m	-16.3 dBm	OK
23/02/2018 13:25:15	    13.459 MHz	 11.9 V/m	-16.2 dBm	OK
23/02/2018 13:25:19	    13.526 MHz	 11.9 V/m	-16.0 dBm	OK
23/02/2018 13:25:23	    13.594 MHz	 11.9 V/m	-16.0 dBm	OK
23/02/2018 13:25:26	    13.662 MHz	 11.9 V/m	-16.0 dBm	OK
23/02/2018 13:25:29	    13.730 MHz	 11.9 V/m	-16.0 dBm	OK
23/02/2018 13:25:33	    13.798 MHz	 11.9 V/m	-15.9 dBm	OK
