27/02/2018 12:09:13	     5.000 MHz	 11.4 V/m	-16.7 dBm	OK
27/02/2018 12:09:17	     5.025 MHz	 12.5 V/m	-16.8 dBm	OK
27/02/2018 12:09:20	     5.050 MHz	 12.5 V/m	-16.8 dBm	OK
27/02/2018 12:09:23	     5.075 MHz	 12.5 V/m	-16.8 dBm	OK
27/02/2018 12:09:26	     5.101 MHz	 12.3 V/m	-16.8 dBm	OK
27/02/2018 12:09:29	     5.126 MHz	 12.3 V/m	-16.8 dBm	OK
27/02/2018 12:09:32	     5.152 MHz	 12.3 V/m	-16.8 dBm	OK
27/02/2018 12:09:35	     5.178 MHz	 12.3 V/m	-16.8 dBm	OK
27/02/2018 12:09:39	     5.204 MHz	 11.9 V/m	-16.8 dBm	OK
27/02/2018 12:09:42	     5.230 MHz	 11.9 V/m	-16.8 dBm	OK
27/02/2018 12:09:45	     5.256 MHz	 11.9 V/m	-16.8 dBm	OK
27/02/2018 12:09:48	     5.282 MHz	 11.9 V/m	-16.8 dBm	OK
27/02/2018 12:09:51	     5.308 MHz	 11.7 V/m	-16.8 dBm	OK
27/02/2018 12:09:54	     5.335 MHz	 11.7 V/m	-16.8 dBm	OK
27/02/2018 12:09:57	     5.362 MHz	 11.7 V/m	-16.8 dBm	OK
27/02/2018 12:10:01	     5.388 MHz	 11.4 V/m	-16.8 dBm	OK
27/02/2018 12:10:04	     5.415 MHz	 11.4 V/m	-16.8 dBm	OK
27/02/2018 12:10:08	     5.442 MHz	 11.9 V/m	-16.4 dBm	OK
27/02/2018 12:10:11	     5.470 MHz	 11.7 V/m	-16.4 dBm	OK
27/02/2018 12:10:14	     5.497 MHz	 11.7 V/m	-16.4 dBm	OK
27/02/2018 12:10:18	     5.524 MHz	 11.4 V/m	-16.4 dBm	OK
27/02/2018 12:10:21	     5.552 MHz	 11.4 V/m	-16.4 dBm	OK
27/02/2018 12:10:25	     5.580 MHz	 11.4 V/m	-16.2 dBm	OK
27/02/2018 12:10:28	     5.608 MHz	 11.4 V/m	-16.2 dBm	OK
