02/03/2018 11:35:37	     0.150 MHz	 10.5 V/m	 -8.8 dBm	OK
02/03/2018 11:35:42	     0.160 MHz	 11.4 V/m	-10.1 dBm	OK
02/03/2018 11:35:46	     0.170 MHz	 11.4 V/m	-10.3 dBm	OK
02/03/2018 11:35:50	     0.180 MHz	 11.4 V/m	-10.6 dBm	OK
02/03/2018 11:35:54	     0.190 MHz	 11.4 V/m	-10.8 dBm	OK
02/03/2018 11:35:58	     0.200 MHz	 11.4 V/m	-10.9 dBm	OK
02/03/2018 11:36:02	     0.210 MHz	 11.2 V/m	-11.2 dBm	OK
02/03/2018 11:36:06	     0.220 MHz	 11.4 V/m	-11.4 dBm	OK
02/03/2018 11:36:10	     0.230 MHz	 11.4 V/m	-11.6 dBm	OK
02/03/2018 11:36:14	     0.240 MHz	 11.4 V/m	-11.8 dBm	OK
02/03/2018 11:36:18	     0.250 MHz	 11.4 V/m	-12.0 dBm	OK
02/03/2018 11:36:22	     0.260 MHz	 11.4 V/m	-12.2 dBm	OK
02/03/2018 11:36:26	     0.270 MHz	 11.4 V/m	-12.3 dBm	OK
02/03/2018 11:36:30	     0.280 MHz	 11.4 V/m	-12.5 dBm	OK
02/03/2018 11:36:34	     0.290 MHz	 11.4 V/m	-12.6 dBm	OK
02/03/2018 11:36:38	     0.300 MHz	 11.4 V/m	-12.7 dBm	OK
02/03/2018 11:36:42	     0.310 MHz	 11.4 V/m	-12.9 dBm	OK
02/03/2018 11:36:46	     0.320 MHz	 11.4 V/m	-13.1 dBm	OK
02/03/2018 11:36:49	     0.330 MHz	 11.4 V/m	-13.1 dBm	OK
02/03/2018 11:36:53	     0.340 MHz	 11.4 V/m	-13.2 dBm	OK
02/03/2018 11:36:57	     0.350 MHz	 11.4 V/m	-13.4 dBm	OK
02/03/2018 11:37:00	     0.360 MHz	 11.4 V/m	-13.4 dBm	OK
02/03/2018 11:37:03	     0.370 MHz	 11.4 V/m	-13.4 dBm	OK
02/03/2018 11:37:07	     0.380 MHz	 11.4 V/m	-13.5 dBm	OK
02/03/2018 11:37:11	     0.390 MHz	 11.4 V/m	-13.6 dBm	OK
02/03/2018 11:37:15	     0.400 MHz	 11.4 V/m	-13.7 dBm	OK
02/03/2018 11:37:18	     0.410 MHz	 11.4 V/m	-13.7 dBm	OK
02/03/2018 11:37:22	     0.420 MHz	 11.4 V/m	-13.8 dBm	OK
02/03/2018 11:37:25	     0.430 MHz	 11.4 V/m	-13.8 dBm	OK
02/03/2018 11:37:29	     0.440 MHz	 11.4 V/m	-13.9 dBm	OK
02/03/2018 11:37:32	     0.450 MHz	 11.4 V/m	-13.9 dBm	OK
02/03/2018 11:37:36	     0.460 MHz	 11.4 V/m	-13.9 dBm	OK
02/03/2018 11:37:40	     0.470 MHz	 11.4 V/m	-14.0 dBm	OK
02/03/2018 11:37:43	     0.480 MHz	 11.4 V/m	-14.0 dBm	OK
02/03/2018 11:37:46	     0.490 MHz	 11.4 V/m	-14.0 dBm	OK
02/03/2018 11:37:50	     0.500 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:37:54	     0.510 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:37:57	     0.520 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:38:00	     0.530 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:38:03	     0.540 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:38:07	     0.550 MHz	 11.4 V/m	-14.1 dBm	OK
02/03/2018 11:38:12	     0.560 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:16	     0.570 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:20	     0.580 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:23	     0.590 MHz	 11.4 V/m	-14.3 dBm	OK
02/03/2018 11:38:27	     0.600 MHz	 11.4 V/m	-14.3 dBm	OK
02/03/2018 11:38:30	     0.610 MHz	 11.4 V/m	-14.3 dBm	OK
02/03/2018 11:38:33	     0.620 MHz	 11.4 V/m	-14.3 dBm	OK
02/03/2018 11:38:36	     0.630 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:40	     0.640 MHz	 11.4 V/m	-14.3 dBm	OK
02/03/2018 11:38:43	     0.650 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:46	     0.660 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:50	     0.670 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:54	     0.680 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:38:58	     0.690 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:39:02	     0.700 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:39:05	     0.710 MHz	 11.2 V/m	-14.3 dBm	OK
02/03/2018 11:39:08	     0.720 MHz	 11.2 V/m	-14.3 dBm	OK
