11/09/2015 10:23:36	    80.000 MHz	 11.2 V/m	 -8.7 dBm	OK	IP0: 29995	(10.55 V/m)	Digital: 0XFF
11/09/2015 10:23:41	    80.400 MHz	 12.0 V/m	 -8.1 dBm	OK	IP0: 30246	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:23:47	    80.802 MHz	 11.9 V/m	 -8.2 dBm	OK	IP0: 30167	(11.44 V/m)	Digital: 0XFF
11/09/2015 10:23:52	    81.206 MHz	 11.7 V/m	 -8.4 dBm	OK	IP0: 30080	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:23:57	    81.612 MHz	 11.9 V/m	 -8.3 dBm	OK	IP0: 30061	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:24:03	    82.020 MHz	 11.7 V/m	 -8.5 dBm	OK	IP0: 29921	(11.47 V/m)	Digital: 0XFF
11/09/2015 10:24:08	    82.430 MHz	 11.6 V/m	 -8.6 dBm	OK	IP0: 29845	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:24:14	    82.842 MHz	 11.5 V/m	 -8.8 dBm	OK	IP0: 29759	(11.47 V/m)	Digital: 0XFF
11/09/2015 10:24:20	    83.257 MHz	 11.5 V/m	 -8.9 dBm	OK	IP0: 29655	(11.49 V/m)	Digital: 0XFF
11/09/2015 10:24:26	    83.673 MHz	 11.5 V/m	 -9.0 dBm	OK	IP0: 29557	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:24:32	    84.091 MHz	 11.5 V/m	 -9.1 dBm	OK	IP0: 29494	(11.47 V/m)	Digital: 0XFF
11/09/2015 10:24:38	    84.512 MHz	 11.6 V/m	 -9.1 dBm	OK	IP0: 29454	(11.48 V/m)	Digital: 0XFF
11/09/2015 10:24:44	    84.934 MHz	 11.6 V/m	 -9.2 dBm	OK	IP0: 29372	(11.46 V/m)	Digital: 0XFF
11/09/2015 10:24:50	    85.359 MHz	 11.7 V/m	 -9.2 dBm	OK	IP0: 29288	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:24:56	    85.786 MHz	 12.0 V/m	 -9.0 dBm	OK	IP0: 29308	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:25:02	    86.215 MHz	 12.0 V/m	 -9.0 dBm	OK	IP0: 29214	(11.46 V/m)	Digital: 0XFF
11/09/2015 10:25:08	    86.646 MHz	 12.0 V/m	 -9.0 dBm	OK	IP0: 29146	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:25:13	    87.079 MHz	 12.2 V/m	 -8.8 dBm	OK	IP0: 29146	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:25:19	    87.514 MHz	 12.1 V/m	 -8.9 dBm	OK	IP0: 29033	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:25:24	    87.952 MHz	 12.2 V/m	 -8.9 dBm	OK	IP0: 28947	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:25:29	    88.392 MHz	 12.5 V/m	 -8.7 dBm	OK	IP0: 28968	(11.57 V/m)	Digital: 0XFF
11/09/2015 10:25:35	    88.834 MHz	 12.4 V/m	 -8.8 dBm	OK	IP0: 28883	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:25:40	    89.278 MHz	 12.4 V/m	 -8.9 dBm	OK	IP0: 28797	(11.42 V/m)	Digital: 0XFF
11/09/2015 10:25:51	    89.724 MHz	 12.6 V/m	 -8.8 dBm	OK	IP0: 28780	(11.60 V/m)	Digital: 0XFF
11/09/2015 10:25:57	    90.173 MHz	 12.5 V/m	 -8.9 dBm	OK	IP0: 28662	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:26:03	    90.624 MHz	 12.7 V/m	 -8.8 dBm	OK	IP0: 28701	(11.58 V/m)	Digital: 0XFF
11/09/2015 10:26:09	    91.077 MHz	 12.5 V/m	 -9.1 dBm	OK	IP0: 28551	(11.44 V/m)	Digital: 0XFF
11/09/2015 10:26:15	    91.532 MHz	 12.6 V/m	 -9.1 dBm	OK	IP0: 28551	(11.58 V/m)	Digital: 0XFF
11/09/2015 10:26:21	    91.990 MHz	 12.3 V/m	 -9.4 dBm	OK	IP0: 28380	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:26:27	    92.450 MHz	 12.7 V/m	 -9.1 dBm	OK	IP0: 28467	(11.50 V/m)	Digital: 0XFF
11/09/2015 10:26:32	    92.912 MHz	 13.0 V/m	 -8.9 dBm	OK	IP0: 28567	(11.52 V/m)	Digital: 0XFF
11/09/2015 10:26:37	    93.377 MHz	 13.1 V/m	 -8.8 dBm	OK	IP0: 28640	(11.54 V/m)	Digital: 0XFF
11/09/2015 10:26:43	    93.843 MHz	 13.3 V/m	 -8.7 dBm	OK	IP0: 28699	(11.55 V/m)	Digital: 0XFF
11/09/2015 10:26:49	    94.313 MHz	 13.4 V/m	 -8.6 dBm	OK	IP0: 28747	(11.57 V/m)	Digital: 0XFF
11/09/2015 10:26:55	    94.784 MHz	 13.5 V/m	 -8.5 dBm	OK	IP0: 28807	(11.56 V/m)	Digital: 0XFF
11/09/2015 10:27:01	    95.258 MHz	 13.6 V/m	 -8.4 dBm	OK	IP0: 28893	(11.57 V/m)	Digital: 0XFF
11/09/2015 10:27:07	    95.734 MHz	 13.7 V/m	 -8.4 dBm	OK	IP0: 28986	(11.58 V/m)	Digital: 0XFF
11/09/2015 10:27:13	    96.213 MHz	 13.4 V/m	 -8.6 dBm	OK	IP0: 28930	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:27:19	    96.694 MHz	 13.6 V/m	 -8.5 dBm	OK	IP0: 29047	(11.56 V/m)	Digital: 0XFF
11/09/2015 10:27:24	    97.178 MHz	 13.6 V/m	 -8.4 dBm	OK	IP0: 29150	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:27:30	    97.664 MHz	 13.3 V/m	 -8.6 dBm	OK	IP0: 29142	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:27:36	    98.152 MHz	 13.4 V/m	 -8.5 dBm	OK	IP0: 29252	(11.58 V/m)	Digital: 0XFF
11/09/2015 10:27:42	    98.643 MHz	 13.1 V/m	 -8.7 dBm	OK	IP0: 29212	(11.41 V/m)	Digital: 0XFF
11/09/2015 10:27:48	    99.136 MHz	 13.3 V/m	 -8.5 dBm	OK	IP0: 29344	(11.55 V/m)	Digital: 0XFF
11/09/2015 10:27:53	    99.632 MHz	 13.4 V/m	 -8.4 dBm	OK	IP0: 29438	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:27:59	   100.130 MHz	 13.0 V/m	 -8.6 dBm	OK	IP0: 29404	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:28:04	   100.630 MHz	 12.7 V/m	 -8.8 dBm	OK	IP0: 29371	(11.48 V/m)	Digital: 0XFF
11/09/2015 10:28:10	   101.133 MHz	 12.3 V/m	 -9.1 dBm	OK	IP0: 29324	(11.46 V/m)	Digital: 0XFF
11/09/2015 10:28:16	   101.639 MHz	 11.9 V/m	 -9.3 dBm	OK	IP0: 29263	(11.49 V/m)	Digital: 0XFF
11/09/2015 10:28:22	   102.147 MHz	 11.6 V/m	 -9.5 dBm	OK	IP0: 29196	(11.49 V/m)	Digital: 0XFF
11/09/2015 10:28:28	   102.658 MHz	 11.4 V/m	 -9.7 dBm	OK	IP0: 29141	(11.49 V/m)	Digital: 0XFF
11/09/2015 10:28:34	   103.171 MHz	 11.2 V/m	 -9.9 dBm	OK	IP0: 29102	(11.50 V/m)	Digital: 0XFF
11/09/2015 10:28:40	   103.687 MHz	 10.9 V/m	-10.1 dBm	OK	IP0: 29077	(11.52 V/m)	Digital: 0XFF
11/09/2015 10:28:46	   104.206 MHz	 10.7 V/m	-10.2 dBm	OK	IP0: 29024	(11.52 V/m)	Digital: 0XFF
11/09/2015 10:28:52	   104.727 MHz	 10.6 V/m	-10.3 dBm	OK	IP0: 28972	(11.47 V/m)	Digital: 0XFF
11/09/2015 10:28:58	   105.250 MHz	 10.5 V/m	-10.3 dBm	OK	IP0: 28995	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:29:04	   105.777 MHz	 10.4 V/m	-10.3 dBm	OK	IP0: 29014	(11.47 V/m)	Digital: 0XFF
11/09/2015 10:29:10	   106.305 MHz	 10.3 V/m	-10.3 dBm	OK	IP0: 28975	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:29:16	   106.837 MHz	 10.3 V/m	-10.3 dBm	OK	IP0: 28972	(11.44 V/m)	Digital: 0XFF
11/09/2015 10:29:22	   107.371 MHz	 10.3 V/m	-10.2 dBm	OK	IP0: 29010	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:29:28	   107.908 MHz	 10.3 V/m	-10.2 dBm	OK	IP0: 28987	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:29:34	   108.448 MHz	 10.3 V/m	-10.2 dBm	OK	IP0: 28967	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:29:40	   108.990 MHz	 10.3 V/m	-10.2 dBm	OK	IP0: 29020	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:29:46	   109.535 MHz	 10.2 V/m	-10.2 dBm	OK	IP0: 28983	(11.46 V/m)	Digital: 0XFF
11/09/2015 10:29:52	   110.082 MHz	 10.3 V/m	-10.2 dBm	OK	IP0: 28969	(11.42 V/m)	Digital: 0XFF
11/09/2015 10:29:57	   110.633 MHz	 10.5 V/m	 -9.9 dBm	OK	IP0: 29081	(11.60 V/m)	Digital: 0XFF
11/09/2015 10:30:03	   111.186 MHz	 10.3 V/m	-10.0 dBm	OK	IP0: 28963	(11.45 V/m)	Digital: 0XFF
11/09/2015 10:30:08	   111.742 MHz	 10.5 V/m	 -9.8 dBm	OK	IP0: 29016	(11.55 V/m)	Digital: 0XFF
11/09/2015 10:30:14	   112.301 MHz	 10.3 V/m	 -9.8 dBm	OK	IP0: 28955	(11.44 V/m)	Digital: 0XFF
11/09/2015 10:30:20	   112.862 MHz	 10.3 V/m	 -9.7 dBm	OK	IP0: 28890	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:30:26	   113.426 MHz	 10.1 V/m	 -9.8 dBm	OK	IP0: 28793	(11.43 V/m)	Digital: 0XFF
11/09/2015 10:30:32	   113.994 MHz	 10.1 V/m	 -9.7 dBm	OK	IP0: 28740	(11.56 V/m)	Digital: 0XFF
11/09/2015 10:30:37	   114.564 MHz	 10.1 V/m	 -9.6 dBm	OK	IP0: 28720	(11.56 V/m)	Digital: 0XFF
11/09/2015 10:30:43	   115.136 MHz	 10.0 V/m	 -9.7 dBm	OK	IP0: 28581	(11.60 V/m)	Digital: 0XFF
11/09/2015 10:30:48	   115.712 MHz	 10.0 V/m	 -9.7 dBm	OK	IP0: 28535	(11.55 V/m)	Digital: 0XFF
11/09/2015 10:30:54	   116.291 MHz	  9.9 V/m	 -9.8 dBm	OK	IP0: 28383	(11.59 V/m)	Digital: 0XFF
11/09/2015 10:31:00	   116.872 MHz	  9.9 V/m	 -9.9 dBm	OK	IP0: 28272	(11.58 V/m)	Digital: 0XFF
