11/09/2015 14:05:55	    80.000 MHz	  4.8 V/m	-16.7 dBm	OK	IP0: 25668	(4.28 V/m)	Digital: 0XFF
11/09/2015 14:06:00	    80.400 MHz	  5.1 V/m	-16.2 dBm	OK	IP0: 25948	(4.94 V/m)	Digital: 0XFF
11/09/2015 14:06:06	    80.802 MHz	  5.2 V/m	-16.1 dBm	OK	IP0: 25975	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:06:11	    81.206 MHz	  5.2 V/m	-16.1 dBm	OK	IP0: 25916	(5.09 V/m)	Digital: 0XFF
11/09/2015 14:06:16	    81.612 MHz	  5.1 V/m	-16.2 dBm	OK	IP0: 25824	(5.10 V/m)	Digital: 0XFF
11/09/2015 14:06:22	    82.020 MHz	  5.1 V/m	-16.3 dBm	OK	IP0: 25716	(5.09 V/m)	Digital: 0XFF
11/09/2015 14:06:27	    82.430 MHz	  5.1 V/m	-16.4 dBm	OK	IP0: 25606	(5.08 V/m)	Digital: 0XFF
11/09/2015 14:06:32	    82.842 MHz	  5.1 V/m	-16.5 dBm	OK	IP0: 25508	(5.08 V/m)	Digital: 0XFF
11/09/2015 14:06:38	    83.257 MHz	  5.1 V/m	-16.6 dBm	OK	IP0: 25409	(5.08 V/m)	Digital: 0XFF
11/09/2015 14:06:43	    83.673 MHz	  5.0 V/m	-16.7 dBm	OK	IP0: 25287	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:06:48	    84.091 MHz	  5.1 V/m	-16.8 dBm	OK	IP0: 25193	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:06:54	    84.512 MHz	  5.1 V/m	-16.8 dBm	OK	IP0: 25115	(5.04 V/m)	Digital: 0XFF
11/09/2015 14:06:59	    84.934 MHz	  5.1 V/m	-16.9 dBm	OK	IP0: 25036	(5.05 V/m)	Digital: 0XFF
11/09/2015 14:07:04	    85.359 MHz	  5.1 V/m	-16.9 dBm	OK	IP0: 24953	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:07:10	    85.786 MHz	  5.1 V/m	-16.9 dBm	OK	IP0: 24865	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:07:15	    86.215 MHz	  5.1 V/m	-16.9 dBm	OK	IP0: 24769	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:07:20	    86.646 MHz	  5.2 V/m	-16.9 dBm	OK	IP0: 24687	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:07:26	    87.079 MHz	  5.2 V/m	-16.8 dBm	OK	IP0: 24618	(4.99 V/m)	Digital: 0XFF
11/09/2015 14:07:31	    87.514 MHz	  5.2 V/m	-16.7 dBm	OK	IP0: 24554	(4.99 V/m)	Digital: 0XFF
11/09/2015 14:07:36	    87.952 MHz	  5.3 V/m	-16.7 dBm	OK	IP0: 24490	(4.99 V/m)	Digital: 0XFF
11/09/2015 14:07:42	    88.392 MHz	  5.3 V/m	-16.7 dBm	OK	IP0: 24408	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:07:47	    88.834 MHz	  5.3 V/m	-16.7 dBm	OK	IP0: 24308	(5.01 V/m)	Digital: 0XFF
11/09/2015 14:07:53	    89.278 MHz	  5.3 V/m	-16.7 dBm	OK	IP0: 24219	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:07:59	    89.724 MHz	  5.3 V/m	-16.8 dBm	OK	IP0: 24124	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:08:05	    90.173 MHz	  5.3 V/m	-16.8 dBm	OK	IP0: 24035	(5.05 V/m)	Digital: 0XFF
11/09/2015 14:08:11	    90.624 MHz	  5.3 V/m	-16.9 dBm	OK	IP0: 23940	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:08:17	    91.077 MHz	  5.3 V/m	-17.0 dBm	OK	IP0: 23854	(5.07 V/m)	Digital: 0XFF
11/09/2015 14:08:22	    91.532 MHz	  5.0 V/m	-17.7 dBm	OK	IP0: 23385	(4.76 V/m)	Digital: 0XFF
11/09/2015 14:08:27	    91.990 MHz	  5.1 V/m	-17.5 dBm	OK	IP0: 23515	(4.97 V/m)	Digital: 0XFF
11/09/2015 14:08:32	    92.450 MHz	  5.2 V/m	-17.3 dBm	OK	IP0: 23632	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:08:38	    92.912 MHz	  5.3 V/m	-17.2 dBm	OK	IP0: 23727	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:08:43	    93.377 MHz	  5.4 V/m	-17.1 dBm	OK	IP0: 23828	(5.04 V/m)	Digital: 0XFF
11/09/2015 14:08:49	    93.843 MHz	  5.5 V/m	-16.9 dBm	OK	IP0: 23923	(5.05 V/m)	Digital: 0XFF
11/09/2015 14:08:54	    94.313 MHz	  5.5 V/m	-16.8 dBm	OK	IP0: 24018	(5.07 V/m)	Digital: 0XFF
11/09/2015 14:08:59	    94.784 MHz	  5.6 V/m	-16.7 dBm	OK	IP0: 24105	(5.10 V/m)	Digital: 0XFF
11/09/2015 14:09:05	    95.258 MHz	  5.3 V/m	-17.1 dBm	OK	IP0: 23871	(4.81 V/m)	Digital: 0XFF
11/09/2015 14:09:10	    95.734 MHz	  5.5 V/m	-16.9 dBm	OK	IP0: 24121	(4.96 V/m)	Digital: 0XFF
11/09/2015 14:09:15	    96.213 MHz	  5.6 V/m	-16.7 dBm	OK	IP0: 24302	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:09:21	    96.694 MHz	  5.4 V/m	-17.1 dBm	OK	IP0: 24115	(4.83 V/m)	Digital: 0XFF
11/09/2015 14:09:27	    97.178 MHz	  5.5 V/m	-16.8 dBm	OK	IP0: 24378	(4.99 V/m)	Digital: 0XFF
11/09/2015 14:09:33	    97.664 MHz	  5.6 V/m	-16.6 dBm	OK	IP0: 24570	(5.09 V/m)	Digital: 0XFF
11/09/2015 14:09:38	    98.152 MHz	  5.3 V/m	-17.0 dBm	OK	IP0: 24388	(4.85 V/m)	Digital: 0XFF
11/09/2015 14:09:43	    98.643 MHz	  5.5 V/m	-16.7 dBm	OK	IP0: 24654	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:09:49	    99.136 MHz	  5.3 V/m	-17.1 dBm	OK	IP0: 24527	(4.84 V/m)	Digital: 0XFF
11/09/2015 14:09:54	    99.632 MHz	  5.5 V/m	-16.7 dBm	OK	IP0: 24792	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:10:10	   100.130 MHz	  5.0 V/m	-17.4 dBm	OK	IP0: 24436	(4.96 V/m)	Digital: 0XFF
11/09/2015 14:10:15	   100.630 MHz	  5.2 V/m	-17.0 dBm	OK	IP0: 24745	(4.97 V/m)	Digital: 0XFF
11/09/2015 14:10:21	   101.133 MHz	  5.0 V/m	-17.4 dBm	OK	IP0: 24566	(4.84 V/m)	Digital: 0XFF
11/09/2015 14:10:26	   101.639 MHz	  5.1 V/m	-17.2 dBm	OK	IP0: 24778	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:10:31	   102.147 MHz	  4.7 V/m	-17.9 dBm	OK	IP0: 24460	(4.83 V/m)	Digital: 0XFF
11/09/2015 14:10:36	   102.658 MHz	  4.8 V/m	-17.7 dBm	OK	IP0: 24659	(5.04 V/m)	Digital: 0XFF
11/09/2015 14:10:42	   103.171 MHz	  4.8 V/m	-17.7 dBm	OK	IP0: 24667	(5.08 V/m)	Digital: 0XFF
11/09/2015 14:10:47	   103.687 MHz	  4.7 V/m	-17.9 dBm	OK	IP0: 24617	(5.09 V/m)	Digital: 0XFF
11/09/2015 14:10:52	   104.206 MHz	  4.6 V/m	-18.0 dBm	OK	IP0: 24554	(5.07 V/m)	Digital: 0XFF
11/09/2015 14:10:58	   104.727 MHz	  4.6 V/m	-18.1 dBm	OK	IP0: 24540	(5.05 V/m)	Digital: 0XFF
11/09/2015 14:11:03	   105.250 MHz	  4.5 V/m	-18.1 dBm	OK	IP0: 24544	(5.06 V/m)	Digital: 0XFF
11/09/2015 14:11:08	   105.777 MHz	  4.5 V/m	-18.1 dBm	OK	IP0: 24506	(5.04 V/m)	Digital: 0XFF
11/09/2015 14:11:14	   106.305 MHz	  4.5 V/m	-18.1 dBm	OK	IP0: 24526	(5.05 V/m)	Digital: 0XFF
11/09/2015 14:11:19	   106.837 MHz	  4.4 V/m	-18.1 dBm	OK	IP0: 24529	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:11:24	   107.371 MHz	  4.4 V/m	-18.1 dBm	OK	IP0: 24536	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:11:30	   107.908 MHz	  4.4 V/m	-18.1 dBm	OK	IP0: 24519	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:11:35	   108.448 MHz	  4.4 V/m	-18.0 dBm	OK	IP0: 24505	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:11:40	   108.990 MHz	  4.4 V/m	-18.0 dBm	OK	IP0: 24519	(5.03 V/m)	Digital: 0XFF
11/09/2015 14:11:46	   109.535 MHz	  4.4 V/m	-18.0 dBm	OK	IP0: 24519	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:11:51	   110.082 MHz	  4.4 V/m	-18.0 dBm	OK	IP0: 24513	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:11:56	   110.633 MHz	  4.4 V/m	-17.9 dBm	OK	IP0: 24518	(5.02 V/m)	Digital: 0XFF
11/09/2015 14:12:02	   111.186 MHz	  4.4 V/m	-17.9 dBm	OK	IP0: 24496	(5.01 V/m)	Digital: 0XFF
11/09/2015 14:12:07	   111.742 MHz	  4.4 V/m	-17.8 dBm	OK	IP0: 24470	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:12:12	   112.301 MHz	  4.4 V/m	-17.7 dBm	OK	IP0: 24410	(5.01 V/m)	Digital: 0XFF
11/09/2015 14:12:18	   112.862 MHz	  4.3 V/m	-17.7 dBm	OK	IP0: 24284	(5.00 V/m)	Digital: 0XFF
11/09/2015 14:12:23	   113.426 MHz	  4.2 V/m	-17.8 dBm	OK	IP0: 24164	(5.01 V/m)	Digital: 0XFF
