21/09/2015 12:45:29	   550.000 MHz	 -1.0 V/m	-23.1 dBm	OK	IP0: 20495	(4.29 V/m)	Digital: 0XFF
21/09/2015 12:45:33	   552.750 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 20452	(4.70 V/m)	Digital: 0XFF
21/09/2015 12:45:36	   555.514 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 20661	(4.85 V/m)	Digital: 0XFF
21/09/2015 12:45:39	   558.291 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 20337	(4.05 V/m)	Digital: 0XFF
21/09/2015 12:45:42	   561.083 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 20529	(4.12 V/m)	Digital: 0XFF
21/09/2015 12:45:45	   563.888 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 20331	(4.26 V/m)	Digital: 0XFF
21/09/2015 12:45:48	   566.708 MHz	 -1.0 V/m	-24.0 dBm	OK	IP0: 19823	(4.12 V/m)	Digital: 0XFF
21/09/2015 12:45:52	   569.541 MHz	 -1.0 V/m	-23.9 dBm	OK	IP0: 19410	(4.72 V/m)	Digital: 0XFF
21/09/2015 12:45:55	   572.389 MHz	 -1.0 V/m	-22.9 dBm	OK	IP0: 19893	(5.05 V/m)	Digital: 0XFF
21/09/2015 12:45:59	   575.251 MHz	 -1.0 V/m	-23.9 dBm	OK	IP0: 19353	(4.68 V/m)	Digital: 0XFF
21/09/2015 12:46:02	   578.127 MHz	 -1.0 V/m	-23.9 dBm	OK	IP0: 19831	(4.73 V/m)	Digital: 0XFF
21/09/2015 12:46:05	   581.018 MHz	 -1.0 V/m	-22.9 dBm	OK	IP0: 20685	(4.66 V/m)	Digital: 0XFF
21/09/2015 12:46:08	   583.923 MHz	 -1.0 V/m	-21.9 dBm	OK	IP0: 21795	(4.21 V/m)	Digital: 0XFF
21/09/2015 12:46:11	   586.842 MHz	 -1.0 V/m	-20.9 dBm	OK	IP0: 22786	(4.54 V/m)	Digital: 0XFF
21/09/2015 12:46:14	   589.777 MHz	 -1.0 V/m	-19.9 dBm	OK	IP0: 23379	(4.58 V/m)	Digital: 0XFF
21/09/2015 12:46:18	   592.726 MHz	 -1.0 V/m	-19.6 dBm	OK	IP0: 23839	(4.91 V/m)	Digital: 0XFF
21/09/2015 12:46:21	   595.689 MHz	 -1.0 V/m	-19.6 dBm	OK	IP0: 23917	(4.64 V/m)	Digital: 0XFF
21/09/2015 12:46:25	   598.668 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 21303	(5.09 V/m)	Digital: 0XFF
21/09/2015 12:46:28	   601.661 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 20981	(4.46 V/m)	Digital: 0XFF
21/09/2015 12:46:31	   604.669 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 20854	(4.57 V/m)	Digital: 0XFF
21/09/2015 12:46:34	   607.693 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 20664	(4.48 V/m)	Digital: 0XFF
21/09/2015 12:46:37	   610.731 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 20688	(4.25 V/m)	Digital: 0XFF
21/09/2015 12:46:40	   613.785 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 21173	(4.04 V/m)	Digital: 0XFF
21/09/2015 12:46:43	   616.854 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 21060	(4.00 V/m)	Digital: 0XFF
21/09/2015 12:46:46	   619.938 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 21191	(4.92 V/m)	Digital: 0XFF
21/09/2015 12:46:50	   623.038 MHz	 -1.0 V/m	-23.6 dBm	OK	IP0: 21151	(4.85 V/m)	Digital: 0XFF
21/09/2015 12:46:54	   626.153 MHz	 -1.0 V/m	-23.8 dBm	OK	IP0: 20778	(4.89 V/m)	Digital: 0XFF
21/09/2015 12:46:57	   629.284 MHz	 -1.0 V/m	-23.8 dBm	OK	IP0: 20860	(4.23 V/m)	Digital: 0XFF
21/09/2015 12:47:01	   632.430 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 18926	(5.01 V/m)	Digital: 0XFF
21/09/2015 12:47:04	   635.592 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 18616	(4.26 V/m)	Digital: 0XFF
21/09/2015 12:47:07	   638.770 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 18127	(4.73 V/m)	Digital: 0XFF
21/09/2015 12:47:10	   641.964 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 17818	(4.28 V/m)	Digital: 0XFF
21/09/2015 12:47:14	   645.174 MHz	 -1.0 V/m	-26.6 dBm	OK	IP0: 17879	(4.65 V/m)	Digital: 0XFF
21/09/2015 12:47:17	   648.400 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 18341	(4.46 V/m)	Digital: 0XFF
21/09/2015 12:47:20	   651.642 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 19076	(4.51 V/m)	Digital: 0XFF
21/09/2015 12:47:24	   654.900 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 20007	(4.98 V/m)	Digital: 0XFF
21/09/2015 12:47:27	   658.174 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 19031	(4.15 V/m)	Digital: 0XFF
21/09/2015 12:47:31	   661.465 MHz	 -1.0 V/m	-25.6 dBm	OK	IP0: 19232	(5.08 V/m)	Digital: 0XFF
21/09/2015 12:47:34	   664.772 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 19245	(4.96 V/m)	Digital: 0XFF
21/09/2015 12:47:37	   668.096 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 19043	(3.95 V/m)	Digital: 0XFF
21/09/2015 12:47:41	   671.437 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 18879	(4.92 V/m)	Digital: 0XFF
21/09/2015 12:47:44	   674.794 MHz	 -1.0 V/m	-23.6 dBm	OK	IP0: 18979	(4.97 V/m)	Digital: 0XFF
21/09/2015 12:47:48	   678.168 MHz	 -1.0 V/m	-24.6 dBm	OK	IP0: 18834	(4.76 V/m)	Digital: 0XFF
21/09/2015 12:47:51	   681.559 MHz	 -1.0 V/m	-23.6 dBm	OK	IP0: 18809	(4.47 V/m)	Digital: 0XFF
21/09/2015 12:47:54	   684.967 MHz	 -1.0 V/m	-22.6 dBm	OK	IP0: 20105	(4.61 V/m)	Digital: 0XFF
21/09/2015 12:47:58	   688.391 MHz	 -1.0 V/m	-20.6 dBm	OK	IP0: 21243	(4.10 V/m)	Digital: 0XFF
21/09/2015 12:48:02	   691.833 MHz	 -1.0 V/m	-18.6 dBm	OK	IP0: 22353	(4.02 V/m)	Digital: 0XFF
21/09/2015 12:48:06	   695.293 MHz	 -1.0 V/m	-18.5 dBm	OK	IP0: 23069	(4.89 V/m)	Digital: 0XFF
21/09/2015 12:48:09	   698.769 MHz	 -1.0 V/m	-17.5 dBm	OK	IP0: 22675	(4.41 V/m)	Digital: 0XFF
21/09/2015 12:48:13	   702.263 MHz	 -1.0 V/m	-18.2 dBm	OK	IP0: 22908	(4.78 V/m)	Digital: 0XFF
21/09/2015 12:48:16	   705.774 MHz	 -1.0 V/m	-17.2 dBm	OK	IP0: 22688	(4.86 V/m)	Digital: 0XFF
21/09/2015 12:48:20	   709.303 MHz	 -1.0 V/m	-18.0 dBm	OK	IP0: 22316	(4.79 V/m)	Digital: 0XFF
21/09/2015 12:48:24	   712.850 MHz	 -1.0 V/m	-18.0 dBm	OK	IP0: 22325	(4.92 V/m)	Digital: 0XFF
21/09/2015 12:48:27	   716.414 MHz	 -1.0 V/m	-17.0 dBm	OK	IP0: 22764	(4.26 V/m)	Digital: 0XFF
21/09/2015 12:48:30	   719.996 MHz	 -1.0 V/m	-16.0 dBm	OK	IP0: 23037	(3.91 V/m)	Digital: 0XFF
21/09/2015 12:48:33	   723.596 MHz	 -1.0 V/m	-15.0 dBm	OK	IP0: 23162	(3.95 V/m)	Digital: 0XFF
21/09/2015 12:48:37	   727.214 MHz	 -1.0 V/m	-13.2 dBm	OK	IP0: 23751	(4.07 V/m)	Digital: 0XFF
21/09/2015 12:48:40	   730.850 MHz	 -1.0 V/m	-12.2 dBm	OK	IP0: 24219	(5.01 V/m)	Digital: 0XFF
21/09/2015 12:48:43	   734.504 MHz	 -1.0 V/m	-12.2 dBm	OK	IP0: 23703	(4.30 V/m)	Digital: 0XFF
21/09/2015 12:48:47	   738.177 MHz	 -1.0 V/m	-13.3 dBm	OK	IP0: 23398	(4.89 V/m)	Digital: 0XFF
21/09/2015 12:48:50	   741.868 MHz	 -1.0 V/m	-12.3 dBm	OK	IP0: 23813	(4.82 V/m)	Digital: 0XFF
21/09/2015 12:48:53	   745.577 MHz	 -1.0 V/m	-12.0 dBm	OK	IP0: 25024	(4.98 V/m)	Digital: 0XFF
21/09/2015 12:48:57	   749.305 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 25506	(4.07 V/m)	Digital: 0XFF
21/09/2015 12:49:00	   753.051 MHz	 -1.0 V/m	 -9.4 dBm	OK	IP0: 25842	(4.45 V/m)	Digital: 0XFF
21/09/2015 12:49:03	   756.817 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 25326	(4.83 V/m)	Digital: 0XFF
21/09/2015 12:49:06	   760.601 MHz	 -1.0 V/m	 -7.9 dBm	OK	IP0: 26011	(4.46 V/m)	Digital: 0XFF
21/09/2015 12:49:09	   764.404 MHz	 -1.0 V/m	 -7.9 dBm	OK	IP0: 26138	(4.49 V/m)	Digital: 0XFF
21/09/2015 12:49:13	   768.226 MHz	 -1.0 V/m	-12.1 dBm	OK	IP0: 24048	(4.88 V/m)	Digital: 0XFF
21/09/2015 12:49:16	   772.067 MHz	 -1.0 V/m	-12.1 dBm	OK	IP0: 24311	(4.35 V/m)	Digital: 0XFF
21/09/2015 12:49:20	   775.927 MHz	 -1.0 V/m	-13.0 dBm	OK	IP0: 24228	(4.98 V/m)	Digital: 0XFF
21/09/2015 12:50:14	   779.807 MHz	 -1.0 V/m	-12.1 dBm	OK	IP0: 25060	(4.18 V/m)	Digital: 0XFF
21/09/2015 12:50:17	   783.706 MHz	 -1.0 V/m	-11.2 dBm	OK	IP0: 25234	(5.05 V/m)	Digital: 0XFF
21/09/2015 12:50:20	   787.624 MHz	 -1.0 V/m	-10.2 dBm	OK	IP0: 25884	(5.00 V/m)	Digital: 0XFF
21/09/2015 12:50:23	   791.562 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 25897	(4.07 V/m)	Digital: 0XFF
21/09/2015 12:50:27	   795.520 MHz	 -1.0 V/m	-10.5 dBm	OK	IP0: 26426	(4.88 V/m)	Digital: 0XFF
21/09/2015 12:50:31	   799.498 MHz	 -1.0 V/m	-10.0 dBm	OK	IP0: 26824	(4.99 V/m)	Digital: 0XFF
21/09/2015 12:50:35	   803.495 MHz	 -1.0 V/m	-16.0 dBm	OK	IP0: 24044	(5.05 V/m)	Digital: 0XFF
21/09/2015 12:50:38	   807.513 MHz	 -1.0 V/m	-16.0 dBm	OK	IP0: 24002	(4.32 V/m)	Digital: 0XFF
21/09/2015 12:50:41	   811.550 MHz	 -1.0 V/m	-16.0 dBm	OK	IP0: 24172	(4.99 V/m)	Digital: 0XFF
21/09/2015 12:50:44	   815.608 MHz	 -1.0 V/m	-16.0 dBm	OK	IP0: 23911	(4.53 V/m)	Digital: 0XFF
21/09/2015 12:50:47	   819.686 MHz	 -1.0 V/m	-15.6 dBm	OK	IP0: 23992	(4.85 V/m)	Digital: 0XFF
21/09/2015 12:50:50	   823.785 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 23852	(4.52 V/m)	Digital: 0XFF
21/09/2015 12:50:54	   827.904 MHz	 -1.0 V/m	-16.6 dBm	OK	IP0: 23401	(4.92 V/m)	Digital: 0XFF
21/09/2015 12:50:57	   832.043 MHz	 -1.0 V/m	-15.6 dBm	OK	IP0: 24411	(3.94 V/m)	Digital: 0XFF
21/09/2015 12:51:00	   836.203 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 25521	(4.97 V/m)	Digital: 0XFF
21/09/2015 12:51:03	   840.384 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 25861	(4.04 V/m)	Digital: 0XFF
21/09/2015 12:51:06	   844.586 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 25424	(4.89 V/m)	Digital: 0XFF
21/09/2015 12:51:09	   848.809 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 25861	(4.47 V/m)	Digital: 0XFF
21/09/2015 12:51:12	   853.053 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 24834	(4.46 V/m)	Digital: 0XFF
21/09/2015 12:51:15	   857.318 MHz	 -1.0 V/m	-13.6 dBm	OK	IP0: 25393	(4.92 V/m)	Digital: 0XFF
21/09/2015 12:51:18	   861.605 MHz	 -1.0 V/m	-13.6 dBm	OK	IP0: 25324	(4.22 V/m)	Digital: 0XFF
21/09/2015 12:51:21	   865.913 MHz	 -1.0 V/m	-13.6 dBm	OK	IP0: 26250	(4.88 V/m)	Digital: 0XFF
21/09/2015 12:51:25	   870.243 MHz	 -1.0 V/m	-17.1 dBm	OK	IP0: 23702	(4.81 V/m)	Digital: 0XFF
21/09/2015 12:51:28	   874.594 MHz	 -1.0 V/m	-16.1 dBm	OK	IP0: 25085	(4.98 V/m)	Digital: 0XFF
21/09/2015 12:51:31	   878.967 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 25303	(4.79 V/m)	Digital: 0XFF
21/09/2015 12:51:34	   883.362 MHz	 -1.0 V/m	-14.1 dBm	OK	IP0: 25579	(4.78 V/m)	Digital: 0XFF
21/09/2015 12:51:37	   887.778 MHz	 -1.0 V/m	-14.1 dBm	OK	IP0: 24865	(4.57 V/m)	Digital: 0XFF
21/09/2015 12:51:40	   892.217 MHz	 -1.0 V/m	-13.1 dBm	OK	IP0: 25149	(5.00 V/m)	Digital: 0XFF
21/09/2015 12:51:44	   896.678 MHz	 -1.0 V/m	-14.2 dBm	OK	IP0: 25004	(5.07 V/m)	Digital: 0XFF
21/09/2015 12:51:48	   901.162 MHz	 -1.0 V/m	-14.6 dBm	OK	IP0: 24943	(4.91 V/m)	Digital: 0XFF
21/09/2015 12:51:52	   905.668 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 25299	(4.90 V/m)	Digital: 0XFF
21/09/2015 12:51:55	   910.196 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 25110	(4.07 V/m)	Digital: 0XFF
21/09/2015 12:51:58	   914.747 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 25057	(4.14 V/m)	Digital: 0XFF
21/09/2015 12:52:05	   919.321 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 24311	(5.02 V/m)	Digital: 0XFF
21/09/2015 12:52:08	   923.917 MHz	 -1.0 V/m	-14.1 dBm	OK	IP0: 24263	(4.85 V/m)	Digital: 0XFF
21/09/2015 12:52:11	   928.537 MHz	 -1.0 V/m	-13.1 dBm	OK	IP0: 24642	(4.32 V/m)	Digital: 0XFF
21/09/2015 12:52:14	   933.180 MHz	 -1.0 V/m	-13.1 dBm	OK	IP0: 25148	(3.93 V/m)	Digital: 0XFF
21/09/2015 12:52:17	   937.845 MHz	 -1.0 V/m	-13.1 dBm	OK	IP0: 25585	(5.01 V/m)	Digital: 0XFF
21/09/2015 12:52:21	   942.535 MHz	 -1.0 V/m	-18.0 dBm	OK	IP0: 22491	(4.87 V/m)	Digital: 0XFF
21/09/2015 12:52:25	   947.247 MHz	 -1.0 V/m	-19.1 dBm	OK	IP0: 21863	(4.82 V/m)	Digital: 0XFF
21/09/2015 12:52:28	   951.984 MHz	 -1.0 V/m	-18.1 dBm	OK	IP0: 22075	(4.96 V/m)	Digital: 0XFF
21/09/2015 12:52:31	   956.744 MHz	 -1.0 V/m	-17.1 dBm	OK	IP0: 22000	(4.31 V/m)	Digital: 0XFF
21/09/2015 12:52:34	   961.527 MHz	 -1.0 V/m	-16.1 dBm	OK	IP0: 22406	(4.47 V/m)	Digital: 0XFF
21/09/2015 12:52:37	   966.335 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 23601	(5.02 V/m)	Digital: 0XFF
21/09/2015 12:52:41	   971.167 MHz	 -1.0 V/m	-15.0 dBm	OK	IP0: 23694	(4.98 V/m)	Digital: 0XFF
21/09/2015 12:52:44	   976.022 MHz	 -1.0 V/m	-15.0 dBm	OK	IP0: 23475	(4.11 V/m)	Digital: 0XFF
21/09/2015 12:52:48	   980.903 MHz	 -1.0 V/m	-16.1 dBm	OK	IP0: 22996	(4.85 V/m)	Digital: 0XFF
21/09/2015 12:52:51	   985.807 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 22451	(4.29 V/m)	Digital: 0XFF
21/09/2015 12:52:55	   990.736 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 22931	(5.00 V/m)	Digital: 0XFF
21/09/2015 12:52:58	   995.690 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 23381	(4.74 V/m)	Digital: 0XFF
21/09/2015 12:53:01	  1000.000 MHz	 -1.0 V/m	-15.1 dBm	OK	IP0: 22813	(4.00 V/m)	Digital: 0XFF


