23/09/2015 13:55:51	    80.000 MHz	  5.5 V/m	-17.5 dBm	OK	IP0: 25119	(4.07 V/m)	Digital: 0XFF
23/09/2015 13:55:56	    80.400 MHz	  6.2 V/m	-16.5 dBm	OK	IP0: 25706	(4.69 V/m)	Digital: 0XFF
23/09/2015 13:56:01	    80.802 MHz	  6.5 V/m	-16.1 dBm	OK	IP0: 25894	(4.98 V/m)	Digital: 0XFF
23/09/2015 13:56:07	    81.206 MHz	  6.6 V/m	-16.0 dBm	OK	IP0: 25852	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:56:12	    81.612 MHz	  6.6 V/m	-16.0 dBm	OK	IP0: 25811	(5.07 V/m)	Digital: 0XFF
23/09/2015 13:56:17	    82.020 MHz	  6.6 V/m	-16.1 dBm	OK	IP0: 25724	(5.10 V/m)	Digital: 0XFF
23/09/2015 13:56:23	    82.430 MHz	  6.6 V/m	-16.2 dBm	OK	IP0: 25587	(5.08 V/m)	Digital: 0XFF
23/09/2015 13:56:28	    82.842 MHz	  6.6 V/m	-16.3 dBm	OK	IP0: 25512	(5.07 V/m)	Digital: 0XFF
23/09/2015 13:56:33	    83.257 MHz	  6.5 V/m	-16.4 dBm	OK	IP0: 25416	(5.08 V/m)	Digital: 0XFF
23/09/2015 13:56:39	    83.673 MHz	  6.4 V/m	-16.5 dBm	OK	IP0: 25282	(5.08 V/m)	Digital: 0XFF
23/09/2015 13:56:44	    84.091 MHz	  6.4 V/m	-16.6 dBm	OK	IP0: 25178	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:56:49	    84.512 MHz	  6.4 V/m	-16.7 dBm	OK	IP0: 25126	(5.05 V/m)	Digital: 0XFF
23/09/2015 13:56:55	    84.934 MHz	  6.4 V/m	-16.8 dBm	OK	IP0: 25025	(5.04 V/m)	Digital: 0XFF
23/09/2015 13:57:00	    85.359 MHz	  6.4 V/m	-16.8 dBm	OK	IP0: 24929	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:57:05	    85.786 MHz	  6.4 V/m	-16.8 dBm	OK	IP0: 24891	(5.03 V/m)	Digital: 0XFF
23/09/2015 13:57:11	    86.215 MHz	  6.4 V/m	-16.8 dBm	OK	IP0: 24784	(5.03 V/m)	Digital: 0XFF
23/09/2015 13:57:16	    86.646 MHz	  6.5 V/m	-16.8 dBm	OK	IP0: 24706	(5.01 V/m)	Digital: 0XFF
23/09/2015 13:57:21	    87.079 MHz	  6.5 V/m	-16.8 dBm	OK	IP0: 24659	(5.01 V/m)	Digital: 0XFF
23/09/2015 13:57:27	    87.514 MHz	  6.5 V/m	-16.8 dBm	OK	IP0: 24543	(5.01 V/m)	Digital: 0XFF
23/09/2015 13:57:32	    87.952 MHz	  6.5 V/m	-16.7 dBm	OK	IP0: 24507	(4.99 V/m)	Digital: 0XFF
23/09/2015 13:57:37	    88.392 MHz	  6.5 V/m	-16.8 dBm	OK	IP0: 24393	(5.04 V/m)	Digital: 0XFF
23/09/2015 13:57:43	    88.834 MHz	  6.6 V/m	-16.8 dBm	OK	IP0: 24329	(5.02 V/m)	Digital: 0XFF
23/09/2015 13:57:48	    89.278 MHz	  6.5 V/m	-16.8 dBm	OK	IP0: 24218	(5.04 V/m)	Digital: 0XFF
23/09/2015 13:57:53	    89.724 MHz	  6.5 V/m	-16.9 dBm	OK	IP0: 24118	(5.05 V/m)	Digital: 0XFF
23/09/2015 13:57:59	    90.173 MHz	  6.5 V/m	-17.0 dBm	OK	IP0: 24064	(5.05 V/m)	Digital: 0XFF
23/09/2015 13:58:04	    90.624 MHz	  6.5 V/m	-17.1 dBm	OK	IP0: 23925	(5.07 V/m)	Digital: 0XFF
23/09/2015 13:58:09	    91.077 MHz	  6.5 V/m	-17.2 dBm	OK	IP0: 23865	(5.07 V/m)	Digital: 0XFF
23/09/2015 13:58:15	    91.532 MHz	  6.4 V/m	-17.3 dBm	OK	IP0: 23745	(5.09 V/m)	Digital: 0XFF
23/09/2015 13:58:20	    91.990 MHz	  6.4 V/m	-17.5 dBm	OK	IP0: 23681	(5.09 V/m)	Digital: 0XFF
23/09/2015 13:58:26	    92.450 MHz	  6.4 V/m	-17.4 dBm	OK	IP0: 23686	(5.08 V/m)	Digital: 0XFF
23/09/2015 13:58:32	    92.912 MHz	  6.5 V/m	-17.3 dBm	OK	IP0: 23756	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:58:37	    93.377 MHz	  6.6 V/m	-17.2 dBm	OK	IP0: 23848	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:58:43	    93.843 MHz	  6.7 V/m	-17.1 dBm	OK	IP0: 23896	(5.06 V/m)	Digital: 0XFF
23/09/2015 13:58:48	    94.313 MHz	  6.8 V/m	-17.0 dBm	OK	IP0: 24025	(5.07 V/m)	Digital: 0XFF
23/09/2015 13:58:53	    94.784 MHz	  6.8 V/m	-16.9 dBm	OK	IP0: 24090	(5.09 V/m)	Digital: 0XFF
23/09/2015 13:58:59	    95.258 MHz	  6.9 V/m	-16.8 dBm	OK	IP0: 24163	(5.09 V/m)	Digital: 0XFF
23/09/2015 13:59:04	    95.734 MHz	  6.6 V/m	-17.2 dBm	OK	IP0: 23952	(4.82 V/m)	Digital: 0XFF
23/09/2015 13:59:09	    96.213 MHz	  6.8 V/m	-16.9 dBm	OK	IP0: 24222	(4.97 V/m)	Digital: 0XFF
23/09/2015 13:59:15	    96.694 MHz	  6.9 V/m	-16.8 dBm	OK	IP0: 24390	(5.08 V/m)	Digital: 0XFF
23/09/2015 13:59:20	    97.178 MHz	  6.6 V/m	-17.2 dBm	OK	IP0: 24179	(4.83 V/m)	Digital: 0XFF
23/09/2015 13:59:25	    97.664 MHz	  6.8 V/m	-16.9 dBm	OK	IP0: 24477	(4.99 V/m)	Digital: 0XFF
23/09/2015 13:59:31	    98.152 MHz	  6.6 V/m	-17.2 dBm	OK	IP0: 24340	(4.84 V/m)	Digital: 0XFF
23/09/2015 13:59:36	    98.643 MHz	  6.8 V/m	-16.9 dBm	OK	IP0: 24625	(4.99 V/m)	Digital: 0XFF
23/09/2015 13:59:42	    99.136 MHz	  6.6 V/m	-17.2 dBm	OK	IP0: 24504	(4.83 V/m)	Digital: 0XFF
23/09/2015 13:59:47	    99.632 MHz	  6.8 V/m	-16.8 dBm	OK	IP0: 24770	(4.99 V/m)	Digital: 0XFF
23/09/2015 13:59:52	   100.130 MHz	  6.6 V/m	-17.1 dBm	OK	IP0: 24669	(4.84 V/m)	Digital: 0XFF
23/09/2015 13:59:57	   100.630 MHz	  6.7 V/m	-16.9 dBm	OK	IP0: 24843	(5.07 V/m)	Digital: 0XFF
23/09/2015 14:00:03	   101.133 MHz	  6.3 V/m	-17.5 dBm	OK	IP0: 24588	(4.86 V/m)	Digital: 0XFF
23/09/2015 14:00:08	   101.639 MHz	  6.4 V/m	-17.3 dBm	OK	IP0: 24747	(5.06 V/m)	Digital: 0XFF
23/09/2015 14:00:14	   102.147 MHz	  6.0 V/m	-17.8 dBm	OK	IP0: 24480	(4.83 V/m)	Digital: 0XFF
