22/09/2015 14:34:32	    80.000 MHz	  4.9 V/m	-17.2 dBm	OK	IP0: 25493	(4.11 V/m)	Digital: 0XFF
22/09/2015 14:34:37	    80.400 MHz	  5.4 V/m	-16.2 dBm	OK	IP0: 26077	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:34:42	    80.802 MHz	  5.3 V/m	-16.2 dBm	OK	IP0: 27558	(5.09 V/m)	Digital: 0XFF
22/09/2015 14:34:47	    81.206 MHz	  4.9 V/m	-16.7 dBm	OK	IP0: 25649	(4.85 V/m)	Digital: 0XFF
22/09/2015 14:34:52	    81.612 MHz	  5.0 V/m	-16.5 dBm	OK	IP0: 25747	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:34:58	    82.020 MHz	  4.9 V/m	-16.5 dBm	OK	IP0: 25665	(5.07 V/m)	Digital: 0XFF
22/09/2015 14:35:03	    82.430 MHz	  4.9 V/m	-16.5 dBm	OK	IP0: 25588	(5.08 V/m)	Digital: 0XFF
22/09/2015 14:35:08	    82.842 MHz	  4.9 V/m	-16.6 dBm	OK	IP0: 25511	(5.07 V/m)	Digital: 0XFF
22/09/2015 14:35:14	    83.257 MHz	  4.9 V/m	-16.7 dBm	OK	IP0: 25400	(5.09 V/m)	Digital: 0XFF
22/09/2015 14:35:19	    83.673 MHz	  5.0 V/m	-16.8 dBm	OK	IP0: 25257	(5.07 V/m)	Digital: 0XFF
22/09/2015 14:35:25	    84.091 MHz	  5.0 V/m	-16.8 dBm	OK	IP0: 25187	(5.05 V/m)	Digital: 0XFF
22/09/2015 14:35:30	    84.512 MHz	  5.1 V/m	-16.9 dBm	OK	IP0: 25120	(5.05 V/m)	Digital: 0XFF
22/09/2015 14:35:35	    84.934 MHz	  5.2 V/m	-17.0 dBm	OK	IP0: 25012	(5.04 V/m)	Digital: 0XFF
22/09/2015 14:35:40	    85.359 MHz	  5.3 V/m	-17.0 dBm	OK	IP0: 24922	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:35:46	    85.786 MHz	  5.4 V/m	-17.0 dBm	OK	IP0: 24852	(5.03 V/m)	Digital: 0XFF
22/09/2015 14:35:51	    86.215 MHz	  5.5 V/m	-17.0 dBm	OK	IP0: 24809	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:35:57	    86.646 MHz	  5.5 V/m	-17.0 dBm	OK	IP0: 24710	(5.01 V/m)	Digital: 0XFF
22/09/2015 14:36:02	    87.079 MHz	  5.6 V/m	-16.9 dBm	OK	IP0: 24612	(5.00 V/m)	Digital: 0XFF
22/09/2015 14:36:07	    87.514 MHz	  5.7 V/m	-16.9 dBm	OK	IP0: 24549	(4.99 V/m)	Digital: 0XFF
22/09/2015 14:36:13	    87.952 MHz	  5.8 V/m	-16.8 dBm	OK	IP0: 24511	(5.00 V/m)	Digital: 0XFF
22/09/2015 14:36:18	    88.392 MHz	  5.9 V/m	-16.9 dBm	OK	IP0: 24398	(5.01 V/m)	Digital: 0XFF
22/09/2015 14:36:23	    88.834 MHz	  5.9 V/m	-16.9 dBm	OK	IP0: 24272	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:36:29	    89.278 MHz	  6.1 V/m	-16.8 dBm	OK	IP0: 24219	(5.02 V/m)	Digital: 0XFF
22/09/2015 14:36:34	    89.724 MHz	  6.2 V/m	-16.9 dBm	OK	IP0: 24133	(5.03 V/m)	Digital: 0XFF
22/09/2015 14:36:39	    90.173 MHz	  6.2 V/m	-17.0 dBm	OK	IP0: 24025	(5.05 V/m)	Digital: 0XFF
22/09/2015 14:36:45	    90.624 MHz	  6.3 V/m	-17.0 dBm	OK	IP0: 23932	(5.06 V/m)	Digital: 0XFF
22/09/2015 14:36:50	    91.077 MHz	  6.3 V/m	-17.1 dBm	OK	IP0: 23836	(5.06 V/m)	Digital: 0XFF
