09/10/2015 10:39:54	    80.000 MHz	  6.3 V/m	-17.5 dBm	OK	IP0: 25153	(4.06 V/m)	Digital: 0XFF
09/10/2015 10:39:59	    80.400 MHz	  7.1 V/m	-16.5 dBm	OK	IP0: 25748	(4.74 V/m)	Digital: 0XFF
09/10/2015 10:40:05	    80.802 MHz	  7.4 V/m	-16.1 dBm	OK	IP0: 25925	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:40:10	    81.206 MHz	  7.4 V/m	-16.1 dBm	OK	IP0: 25886	(5.08 V/m)	Digital: 0XFF
09/10/2015 10:40:15	    81.612 MHz	  7.3 V/m	-16.1 dBm	OK	IP0: 25797	(5.09 V/m)	Digital: 0XFF
09/10/2015 10:40:21	    82.020 MHz	  7.3 V/m	-16.2 dBm	OK	IP0: 25724	(5.10 V/m)	Digital: 0XFF
09/10/2015 10:40:26	    82.430 MHz	  7.2 V/m	-16.3 dBm	OK	IP0: 25631	(5.10 V/m)	Digital: 0XFF
09/10/2015 10:40:32	    82.842 MHz	  6.8 V/m	-16.9 dBm	OK	IP0: 25226	(4.84 V/m)	Digital: 0XFF
09/10/2015 10:40:38	    83.257 MHz	  7.0 V/m	-16.7 dBm	OK	IP0: 25324	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:40:43	    83.673 MHz	  7.0 V/m	-16.7 dBm	OK	IP0: 25281	(5.06 V/m)	Digital: 0XFF
09/10/2015 10:40:49	    84.091 MHz	  7.0 V/m	-16.8 dBm	OK	IP0: 25193	(5.06 V/m)	Digital: 0XFF
09/10/2015 10:40:54	    84.512 MHz	  7.0 V/m	-16.9 dBm	OK	IP0: 25099	(5.07 V/m)	Digital: 0XFF
09/10/2015 10:40:59	    84.934 MHz	  7.0 V/m	-16.9 dBm	OK	IP0: 25019	(5.04 V/m)	Digital: 0XFF
09/10/2015 10:41:05	    85.359 MHz	  7.0 V/m	-16.9 dBm	OK	IP0: 24929	(5.03 V/m)	Digital: 0XFF
09/10/2015 10:41:10	    85.786 MHz	  7.1 V/m	-16.9 dBm	OK	IP0: 24846	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:41:15	    86.215 MHz	  7.1 V/m	-16.9 dBm	OK	IP0: 24781	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:41:21	    86.646 MHz	  7.2 V/m	-16.8 dBm	OK	IP0: 24723	(5.00 V/m)	Digital: 0XFF
09/10/2015 10:41:26	    87.079 MHz	  7.2 V/m	-16.8 dBm	OK	IP0: 24639	(5.02 V/m)	Digital: 0XFF
09/10/2015 10:41:31	    87.514 MHz	  7.2 V/m	-16.8 dBm	OK	IP0: 24562	(4.99 V/m)	Digital: 0XFF
09/10/2015 10:41:37	    87.952 MHz	  7.3 V/m	-16.7 dBm	OK	IP0: 24484	(4.99 V/m)	Digital: 0XFF
09/10/2015 10:41:42	    88.392 MHz	  7.4 V/m	-16.7 dBm	OK	IP0: 24398	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:41:47	    88.834 MHz	  7.5 V/m	-16.7 dBm	OK	IP0: 24294	(5.02 V/m)	Digital: 0XFF
09/10/2015 10:41:53	    89.278 MHz	  7.6 V/m	-16.7 dBm	OK	IP0: 24211	(5.02 V/m)	Digital: 0XFF
09/10/2015 10:41:58	    89.724 MHz	  7.7 V/m	-16.8 dBm	OK	IP0: 24120	(5.03 V/m)	Digital: 0XFF
09/10/2015 10:42:03	    90.173 MHz	  7.8 V/m	-16.8 dBm	OK	IP0: 24022	(5.04 V/m)	Digital: 0XFF
09/10/2015 10:42:09	    90.624 MHz	  8.0 V/m	-16.9 dBm	OK	IP0: 23931	(5.05 V/m)	Digital: 0XFF
09/10/2015 10:42:14	    91.077 MHz	  8.2 V/m	-17.0 dBm	OK	IP0: 23821	(5.05 V/m)	Digital: 0XFF
09/10/2015 10:42:19	    91.532 MHz	  8.4 V/m	-17.0 dBm	OK	IP0: 23726	(5.08 V/m)	Digital: 0XFF
09/10/2015 10:42:25	    91.990 MHz	  8.7 V/m	-17.1 dBm	OK	IP0: 23634	(5.07 V/m)	Digital: 0XFF
09/10/2015 10:42:30	    92.450 MHz	  9.0 V/m	-17.0 dBm	OK	IP0: 23672	(5.04 V/m)	Digital: 0XFF
09/10/2015 10:42:35	    92.912 MHz	  9.3 V/m	-16.9 dBm	OK	IP0: 23745	(5.07 V/m)	Digital: 0XFF
09/10/2015 10:42:41	    93.377 MHz	  9.6 V/m	-16.8 dBm	OK	IP0: 23851	(5.05 V/m)	Digital: 0XFF
09/10/2015 10:42:46	    93.843 MHz	  9.7 V/m	-16.7 dBm	OK	IP0: 23962	(5.08 V/m)	Digital: 0XFF
09/10/2015 10:42:52	    94.313 MHz	  9.1 V/m	-17.1 dBm	OK	IP0: 23702	(4.79 V/m)	Digital: 0XFF
09/10/2015 10:42:58	    94.784 MHz	  9.3 V/m	-16.9 dBm	OK	IP0: 23965	(4.98 V/m)	Digital: 0XFF
09/10/2015 10:43:03	    95.258 MHz	  9.3 V/m	-16.7 dBm	OK	IP0: 24146	(5.06 V/m)	Digital: 0XFF
09/10/2015 10:43:09	    95.734 MHz	  8.7 V/m	-17.1 dBm	OK	IP0: 23937	(4.82 V/m)	Digital: 0XFF
09/10/2015 10:43:14	    96.213 MHz	  8.8 V/m	-16.8 dBm	OK	IP0: 24224	(4.99 V/m)	Digital: 0XFF
09/10/2015 10:43:19	    96.694 MHz	  8.3 V/m	-17.2 dBm	OK	IP0: 24126	(4.81 V/m)	Digital: 0XFF
09/10/2015 10:43:25	    97.178 MHz	  8.4 V/m	-16.9 dBm	OK	IP0: 24421	(5.01 V/m)	Digital: 0XFF
09/10/2015 10:43:30	    97.664 MHz	  7.9 V/m	-17.3 dBm	OK	IP0: 24283	(4.84 V/m)	Digital: 0XFF
09/10/2015 10:43:35	    98.152 MHz	  8.0 V/m	-17.0 dBm	OK	IP0: 24548	(5.02 V/m)	Digital: 0XFF
09/10/2015 10:43:41	    98.643 MHz	  7.6 V/m	-17.3 dBm	OK	IP0: 24425	(4.83 V/m)	Digital: 0XFF
09/10/2015 10:43:46	    99.136 MHz	  7.7 V/m	-17.0 dBm	OK	IP0: 24712	(5.00 V/m)	Digital: 0XFF
09/10/2015 10:43:51	    99.632 MHz	  7.8 V/m	-16.8 dBm	OK	IP0: 24896	(5.10 V/m)	Digital: 0XFF
09/10/2015 10:43:57	   100.130 MHz	  7.3 V/m	-17.3 dBm	OK	IP0: 24682	(4.86 V/m)	Digital: 0XFF
