13/10/2015 13:32:30	     1.000 MHz	  4.3 V/m	-29.6 dBm	OK
13/10/2015 13:32:34	     1.010 MHz	  4.7 V/m	-30.3 dBm	OK
13/10/2015 13:32:37	     1.020 MHz	  4.7 V/m	-30.3 dBm	OK
13/10/2015 13:32:41	     1.030 MHz	  4.7 V/m	-30.3 dBm	OK
13/10/2015 13:32:44	     1.041 MHz	  4.7 V/m	-30.3 dBm	OK
13/10/2015 13:32:48	     1.051 MHz	  4.7 V/m	-30.5 dBm	OK
13/10/2015 13:32:51	     1.062 MHz	  4.7 V/m	-30.5 dBm	OK
13/10/2015 13:32:54	     1.072 MHz	  4.7 V/m	-30.5 dBm	OK
13/10/2015 13:32:57	     1.083 MHz	  4.7 V/m	-30.5 dBm	OK
13/10/2015 13:33:00	     1.094 MHz	  4.7 V/m	-30.5 dBm	OK
13/10/2015 13:33:04	     1.105 MHz	  4.7 V/m	-30.6 dBm	OK
13/10/2015 13:33:07	     1.116 MHz	  4.7 V/m	-30.6 dBm	OK
13/10/2015 13:33:11	     1.127 MHz	  4.7 V/m	-30.7 dBm	OK
13/10/2015 13:33:14	     1.138 MHz	  4.7 V/m	-30.7 dBm	OK
13/10/2015 13:33:17	     1.149 MHz	  4.7 V/m	-30.7 dBm	OK
13/10/2015 13:33:21	     1.161 MHz	  4.7 V/m	-30.9 dBm	OK
13/10/2015 13:33:24	     1.173 MHz	  4.7 V/m	-30.9 dBm	OK
13/10/2015 13:33:28	     1.184 MHz	  4.7 V/m	-30.9 dBm	OK
13/10/2015 13:33:31	     1.196 MHz	  4.7 V/m	-30.9 dBm	OK
13/10/2015 13:33:35	     1.208 MHz	  4.7 V/m	-31.1 dBm	OK
13/10/2015 13:33:38	     1.220 MHz	  4.7 V/m	-31.1 dBm	OK
13/10/2015 13:33:41	     1.232 MHz	  4.7 V/m	-31.1 dBm	OK
13/10/2015 13:33:45	     1.245 MHz	  4.7 V/m	-31.1 dBm	OK
13/10/2015 13:33:48	     1.257 MHz	  4.7 V/m	-31.1 dBm	OK
13/10/2015 13:33:52	     1.270 MHz	  4.7 V/m	-31.2 dBm	OK
13/10/2015 13:33:55	     1.282 MHz	  4.7 V/m	-31.2 dBm	OK
13/10/2015 13:33:59	     1.295 MHz	  4.7 V/m	-31.3 dBm	OK
13/10/2015 13:34:02	     1.308 MHz	  4.7 V/m	-31.3 dBm	OK
13/10/2015 13:34:06	     1.321 MHz	  4.7 V/m	-31.5 dBm	OK
13/10/2015 13:34:09	     1.335 MHz	  4.7 V/m	-31.5 dBm	OK
13/10/2015 13:34:12	     1.348 MHz	  4.7 V/m	-31.5 dBm	OK
13/10/2015 13:34:15	     1.361 MHz	  4.7 V/m	-31.5 dBm	OK
13/10/2015 13:34:18	     1.375 MHz	  4.7 V/m	-31.5 dBm	OK
13/10/2015 13:34:22	     1.389 MHz	  4.7 V/m	-31.7 dBm	OK
13/10/2015 13:34:25	     1.403 MHz	  4.7 V/m	-31.7 dBm	OK
13/10/2015 13:34:29	     1.417 MHz	  4.7 V/m	-31.7 dBm	OK
13/10/2015 13:34:32	     1.431 MHz	  4.7 V/m	-31.7 dBm	OK
13/10/2015 13:34:36	     1.445 MHz	  4.7 V/m	-31.9 dBm	OK
13/10/2015 13:34:39	     1.460 MHz	  4.7 V/m	-31.9 dBm	OK
13/10/2015 13:34:42	     1.474 MHz	  4.7 V/m	-31.9 dBm	OK
13/10/2015 13:34:45	     1.489 MHz	  4.7 V/m	-31.9 dBm	OK
13/10/2015 13:34:48	     1.504 MHz	  4.7 V/m	-31.9 dBm	OK
13/10/2015 13:34:52	     1.519 MHz	  4.7 V/m	-32.0 dBm	OK
13/10/2015 13:34:55	     1.534 MHz	  4.7 V/m	-32.0 dBm	OK
13/10/2015 13:34:58	     1.549 MHz	  4.7 V/m	-32.0 dBm	OK
13/10/2015 13:35:02	     1.565 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:05	     1.580 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:09	     1.596 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:12	     1.612 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:16	     1.628 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:19	     1.645 MHz	  4.7 V/m	-32.2 dBm	OK
13/10/2015 13:35:23	     1.661 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:26	     1.678 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:29	     1.694 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:33	     1.711 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:36	     1.729 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:40	     1.746 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:43	     1.763 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:46	     1.781 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:49	     1.799 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:52	     1.817 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:55	     1.835 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:35:59	     1.853 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:02	     1.872 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:05	     1.890 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:08	     1.909 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:11	     1.928 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:14	     1.948 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:18	     1.967 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:21	     1.987 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:24	     2.007 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:27	     2.027 MHz	  4.7 V/m	-32.4 dBm	OK
13/10/2015 13:36:31	     2.047 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:35	     2.068 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:38	     2.088 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:42	     2.109 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:45	     2.130 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:49	     2.152 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:52	     2.173 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:56	     2.195 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:36:59	     2.217 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:37:02	     2.239 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:37:05	     2.261 MHz	  4.5 V/m	-32.4 dBm	OK
13/10/2015 13:37:09	     2.284 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:12	     2.307 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:15	     2.330 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:18	     2.353 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:21	     2.377 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:24	     2.400 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:27	     2.424 MHz	  4.3 V/m	-32.4 dBm	OK
13/10/2015 13:37:31	     2.449 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:34	     2.473 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:37	     2.498 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:40	     2.523 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:43	     2.548 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:46	     2.574 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:49	     2.599 MHz	  4.3 V/m	-32.0 dBm	OK
13/10/2015 13:37:53	     2.625 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:37:56	     2.652 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:37:59	     2.678 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:03	     2.705 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:07	     2.732 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:10	     2.759 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:13	     2.787 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:17	     2.815 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:20	     2.843 MHz	  4.3 V/m	-31.6 dBm	OK
13/10/2015 13:38:24	     2.871 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:27	     2.900 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:31	     2.929 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:34	     2.958 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:37	     2.988 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:41	     3.018 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:45	     3.048 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:48	     3.078 MHz	  4.3 V/m	-31.2 dBm	OK
13/10/2015 13:38:52	     3.109 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:38:55	     3.140 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:38:58	     3.172 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:02	     3.203 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:05	     3.235 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:09	     3.268 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:12	     3.300 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:16	     3.333 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:19	     3.367 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:23	     3.400 MHz	  4.3 V/m	-30.8 dBm	OK
13/10/2015 13:39:27	     3.434 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:30	     3.469 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:33	     3.503 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:36	     3.538 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:40	     3.574 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:43	     3.610 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:47	     3.646 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:50	     3.682 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:54	     3.719 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:39:57	     3.756 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:00	     3.794 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:03	     3.832 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:06	     3.870 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:09	     3.909 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:12	     3.948 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:15	     3.987 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:18	     4.027 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:21	     4.067 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:25	     4.108 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:28	     4.149 MHz	  4.3 V/m	-30.6 dBm	OK
13/10/2015 13:40:32	     4.191 MHz	  4.5 V/m	-30.6 dBm	OK
