13/10/2015 11:12:09	     0.150 MHz	  3.9 V/m	-26.2 dBm	OK
13/10/2015 11:12:13	     0.160 MHz	  4.0 V/m	-25.0 dBm	OK
13/10/2015 11:12:17	     0.170 MHz	  4.3 V/m	-24.0 dBm	OK
13/10/2015 11:12:21	     0.180 MHz	  4.0 V/m	-24.0 dBm	OK
13/10/2015 11:12:25	     0.190 MHz	  3.9 V/m	-22.8 dBm	OK
13/10/2015 11:12:30	     0.200 MHz	  4.0 V/m	-20.9 dBm	OK
13/10/2015 11:12:34	     0.210 MHz	  3.9 V/m	-20.3 dBm	OK
13/10/2015 11:12:38	     0.220 MHz	  4.3 V/m	-19.3 dBm	OK
13/10/2015 11:12:41	     0.230 MHz	  4.3 V/m	-19.3 dBm	OK
13/10/2015 11:12:44	     0.240 MHz	  4.5 V/m	-19.3 dBm	OK
13/10/2015 11:12:47	     0.250 MHz	  4.8 V/m	-19.3 dBm	OK
13/10/2015 11:12:51	     0.260 MHz	  4.5 V/m	-20.1 dBm	OK
13/10/2015 11:12:54	     0.270 MHz	  4.8 V/m	-20.1 dBm	OK
13/10/2015 11:12:58	     0.280 MHz	  4.8 V/m	-20.5 dBm	OK
13/10/2015 11:13:01	     0.290 MHz	  5.0 V/m	-20.5 dBm	OK
13/10/2015 11:13:05	     0.300 MHz	  4.5 V/m	-21.5 dBm	OK
13/10/2015 11:13:09	     0.310 MHz	  4.8 V/m	-21.5 dBm	OK
13/10/2015 11:13:12	     0.320 MHz	  5.0 V/m	-21.5 dBm	OK
13/10/2015 11:13:16	     0.330 MHz	  4.7 V/m	-22.3 dBm	OK
13/10/2015 11:13:19	     0.340 MHz	  4.9 V/m	-22.3 dBm	OK
13/10/2015 11:13:23	     0.350 MHz	  4.9 V/m	-22.7 dBm	OK
13/10/2015 11:13:26	     0.360 MHz	  5.0 V/m	-22.7 dBm	OK
13/10/2015 11:13:30	     0.370 MHz	  4.9 V/m	-23.1 dBm	OK
13/10/2015 11:13:33	     0.380 MHz	  5.0 V/m	-23.1 dBm	OK
13/10/2015 11:13:37	     0.390 MHz	  4.7 V/m	-23.9 dBm	OK
13/10/2015 11:13:40	     0.400 MHz	  4.8 V/m	-23.9 dBm	OK
13/10/2015 11:13:44	     0.410 MHz	  4.9 V/m	-23.9 dBm	OK
13/10/2015 11:13:47	     0.420 MHz	  5.0 V/m	-23.9 dBm	OK
13/10/2015 11:13:51	     0.430 MHz	  4.7 V/m	-24.7 dBm	OK
13/10/2015 11:13:54	     0.440 MHz	  4.8 V/m	-24.7 dBm	OK
13/10/2015 11:13:57	     0.450 MHz	  4.9 V/m	-24.7 dBm	OK
13/10/2015 11:14:00	     0.460 MHz	  4.9 V/m	-24.7 dBm	OK
13/10/2015 11:14:03	     0.470 MHz	  5.0 V/m	-24.7 dBm	OK
13/10/2015 11:14:07	     0.480 MHz	  4.7 V/m	-25.5 dBm	OK
13/10/2015 11:14:10	     0.490 MHz	  4.7 V/m	-25.5 dBm	OK
13/10/2015 11:14:13	     0.500 MHz	  4.8 V/m	-25.5 dBm	OK
13/10/2015 11:14:16	     0.510 MHz	  4.9 V/m	-25.5 dBm	OK
13/10/2015 11:14:19	     0.520 MHz	  4.9 V/m	-25.5 dBm	OK
13/10/2015 11:14:22	     0.530 MHz	  5.0 V/m	-25.5 dBm	OK
13/10/2015 11:14:25	     0.540 MHz	  5.0 V/m	-25.5 dBm	OK
13/10/2015 11:14:29	     0.550 MHz	  4.7 V/m	-26.3 dBm	OK
13/10/2015 11:14:32	     0.560 MHz	  4.7 V/m	-26.3 dBm	OK
13/10/2015 11:14:35	     0.570 MHz	  4.8 V/m	-26.3 dBm	OK
13/10/2015 11:14:38	     0.580 MHz	  4.8 V/m	-26.3 dBm	OK
13/10/2015 11:14:41	     0.590 MHz	  4.9 V/m	-26.3 dBm	OK
13/10/2015 11:14:44	     0.600 MHz	  4.9 V/m	-26.3 dBm	OK
13/10/2015 11:14:47	     0.610 MHz	  5.0 V/m	-26.3 dBm	OK
13/10/2015 11:14:50	     0.620 MHz	  5.0 V/m	-26.3 dBm	OK
13/10/2015 11:14:53	     0.630 MHz	  5.0 V/m	-26.3 dBm	OK
13/10/2015 11:14:57	     0.640 MHz	  4.7 V/m	-27.1 dBm	OK
13/10/2015 11:15:00	     0.650 MHz	  4.7 V/m	-27.1 dBm	OK
13/10/2015 11:15:03	     0.660 MHz	  4.8 V/m	-27.1 dBm	OK
13/10/2015 11:15:06	     0.670 MHz	  4.8 V/m	-27.1 dBm	OK
13/10/2015 11:15:09	     0.680 MHz	  4.8 V/m	-27.1 dBm	OK
13/10/2015 11:15:12	     0.690 MHz	  4.9 V/m	-27.1 dBm	OK
13/10/2015 11:15:15	     0.700 MHz	  4.9 V/m	-27.1 dBm	OK
13/10/2015 11:15:19	     0.710 MHz	  4.9 V/m	-27.1 dBm	OK
13/10/2015 11:15:22	     0.720 MHz	  5.0 V/m	-27.1 dBm	OK
13/10/2015 11:15:25	     0.730 MHz	  5.0 V/m	-27.1 dBm	OK
13/10/2015 11:15:29	     0.740 MHz	  5.0 V/m	-27.1 dBm	OK
13/10/2015 11:15:33	     0.750 MHz	  4.9 V/m	-27.5 dBm	OK
13/10/2015 11:15:37	     0.760 MHz	  4.9 V/m	-27.5 dBm	OK
13/10/2015 11:15:40	     0.770 MHz	  4.9 V/m	-27.5 dBm	OK
13/10/2015 11:15:44	     0.780 MHz	  5.0 V/m	-27.5 dBm	OK
13/10/2015 11:15:47	     0.790 MHz	  5.0 V/m	-27.5 dBm	OK
13/10/2015 11:15:50	     0.800 MHz	  5.0 V/m	-27.5 dBm	OK
