21/10/2015 12:51:26	    80.000 MHz	  9.4 V/m	-16.7 dBm	OK	IP0: 25734	(4.43 V/m)	Digital: 0XFF
21/10/2015 12:51:32	    80.400 MHz	  9.5 V/m	-16.9 dBm	OK	IP0: 25618	(4.68 V/m)	Digital: 0XFF
21/10/2015 12:51:38	    80.802 MHz	  9.4 V/m	-17.1 dBm	OK	IP0: 25513	(4.67 V/m)	Digital: 0XFF
21/10/2015 12:51:44	    81.206 MHz	  9.4 V/m	-17.2 dBm	OK	IP0: 25413	(4.67 V/m)	Digital: 0XFF
21/10/2015 12:51:50	    81.612 MHz	  9.3 V/m	-17.3 dBm	OK	IP0: 25317	(4.65 V/m)	Digital: 0XFF
21/10/2015 12:51:56	    82.020 MHz	  9.3 V/m	-17.4 dBm	OK	IP0: 25220	(4.64 V/m)	Digital: 0XFF
21/10/2015 12:52:02	    82.430 MHz	  9.2 V/m	-17.5 dBm	OK	IP0: 25124	(4.64 V/m)	Digital: 0XFF
21/10/2015 12:52:08	    82.842 MHz	  9.1 V/m	-17.6 dBm	OK	IP0: 25024	(4.63 V/m)	Digital: 0XFF
21/10/2015 12:52:14	    83.257 MHz	  9.2 V/m	-17.7 dBm	OK	IP0: 24921	(4.63 V/m)	Digital: 0XFF
21/10/2015 12:52:20	    83.673 MHz	  9.2 V/m	-17.8 dBm	OK	IP0: 24818	(4.62 V/m)	Digital: 0XFF
21/10/2015 12:52:26	    84.091 MHz	  9.3 V/m	-17.9 dBm	OK	IP0: 24700	(4.62 V/m)	Digital: 0XFF
21/10/2015 12:52:32	    84.512 MHz	  9.7 V/m	-17.7 dBm	OK	IP0: 24735	(4.69 V/m)	Digital: 0XFF
21/10/2015 12:52:38	    84.934 MHz	  9.7 V/m	-17.8 dBm	OK	IP0: 24575	(4.61 V/m)	Digital: 0XFF
21/10/2015 12:52:42	    85.359 MHz	 10.5 V/m	-17.7 dBm	OK	IP0: 24593	(4.68 V/m)	Digital: 0XFF
21/10/2015 12:52:48	    85.786 MHz	  9.9 V/m	-17.8 dBm	OK	IP0: 24416	(4.61 V/m)	Digital: 0XFF
21/10/2015 12:52:54	    86.215 MHz	 10.1 V/m	-17.7 dBm	OK	IP0: 24420	(4.69 V/m)	Digital: 0XFF
21/10/2015 12:53:00	    86.646 MHz	  9.8 V/m	-17.8 dBm	OK	IP0: 24205	(4.61 V/m)	Digital: 0XFF
21/10/2015 12:53:05	    87.079 MHz	  9.8 V/m	-17.7 dBm	OK	IP0: 24197	(4.69 V/m)	Digital: 0XFF
21/10/2015 12:53:11	    87.514 MHz	  9.4 V/m	-17.9 dBm	OK	IP0: 24040	(4.62 V/m)	Digital: 0XFF
21/10/2015 12:53:17	    87.952 MHz	  9.1 V/m	-18.0 dBm	OK	IP0: 23953	(4.61 V/m)	Digital: 0XFF
21/10/2015 12:53:23	    88.392 MHz	  8.8 V/m	-18.1 dBm	OK	IP0: 23841	(4.61 V/m)	Digital: 0XFF
21/10/2015 12:53:29	    88.834 MHz	  8.6 V/m	-18.0 dBm	OK	IP0: 23846	(4.69 V/m)	Digital: 0XFF
21/10/2015 12:53:35	    89.278 MHz	  8.2 V/m	-18.3 dBm	OK	IP0: 23697	(4.60 V/m)	Digital: 0XFF
21/10/2015 12:53:41	    89.724 MHz	  8.0 V/m	-18.2 dBm	OK	IP0: 23692	(4.69 V/m)	Digital: 0XFF
21/10/2015 12:53:47	    90.173 MHz	  7.6 V/m	-18.5 dBm	OK	IP0: 23483	(4.60 V/m)	Digital: 0XFF
21/10/2015 12:53:53	    90.624 MHz	  7.5 V/m	-18.4 dBm	OK	IP0: 23497	(4.67 V/m)	Digital: 0XFF
21/10/2015 12:53:58	    91.077 MHz	  7.3 V/m	-18.4 dBm	OK	IP0: 23449	(4.70 V/m)	Digital: 0XFF
21/10/2015 12:54:04	    91.532 MHz	  7.0 V/m	-18.6 dBm	OK	IP0: 23233	(4.60 V/m)	Digital: 0XFF
21/10/2015 12:54:10	    91.990 MHz	  7.0 V/m	-18.6 dBm	OK	IP0: 23215	(4.68 V/m)	Digital: 0XFF
21/10/2015 12:54:16	    92.450 MHz	  7.0 V/m	-18.5 dBm	OK	IP0: 23244	(4.66 V/m)	Digital: 0XFF
21/10/2015 12:54:22	    92.912 MHz	  7.0 V/m	-18.3 dBm	OK	IP0: 23316	(4.66 V/m)	Digital: 0XFF
