08/12/2015 13:29:02	    80.000 MHz	 11.9 V/m	 -8.6 dBm	OK	IP0: 30007	(10.71 V/m)	Digital: 0XFF
08/12/2015 13:29:06	    80.800 MHz	 12.6 V/m	 -8.1 dBm	OK	IP0: 30176	(11.50 V/m)	Digital: 0XFF
08/12/2015 13:29:12	    81.608 MHz	 12.2 V/m	 -8.3 dBm	OK	IP0: 30017	(11.47 V/m)	Digital: 0XFF
08/12/2015 13:29:18	    82.424 MHz	 11.9 V/m	 -8.5 dBm	OK	IP0: 29865	(11.49 V/m)	Digital: 0XFF
08/12/2015 13:29:24	    83.248 MHz	 11.6 V/m	 -8.8 dBm	OK	IP0: 29677	(11.51 V/m)	Digital: 0XFF
08/12/2015 13:29:30	    84.081 MHz	 11.6 V/m	 -9.0 dBm	OK	IP0: 29535	(11.58 V/m)	Digital: 0XFF
08/12/2015 13:29:36	    84.922 MHz	 11.6 V/m	 -9.2 dBm	OK	IP0: 29382	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:29:42	    85.771 MHz	 11.6 V/m	 -9.2 dBm	OK	IP0: 29239	(11.45 V/m)	Digital: 0XFF
08/12/2015 13:29:47	    86.629 MHz	 11.8 V/m	 -9.0 dBm	OK	IP0: 29175	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:29:53	    87.495 MHz	 11.9 V/m	 -8.9 dBm	OK	IP0: 29095	(11.59 V/m)	Digital: 0XFF
08/12/2015 13:29:58	    88.370 MHz	 11.6 V/m	 -9.0 dBm	OK	IP0: 28926	(11.44 V/m)	Digital: 0XFF
08/12/2015 13:30:03	    89.253 MHz	 12.0 V/m	 -8.9 dBm	OK	IP0: 28867	(11.56 V/m)	Digital: 0XFF
08/12/2015 13:30:09	    90.146 MHz	 12.2 V/m	 -9.2 dBm	OK	IP0: 28687	(11.43 V/m)	Digital: 0XFF
08/12/2015 13:30:14	    91.047 MHz	 12.7 V/m	 -9.2 dBm	OK	IP0: 28627	(11.60 V/m)	Digital: 0XFF
08/12/2015 13:30:20	    91.958 MHz	 12.7 V/m	 -9.5 dBm	OK	IP0: 28401	(11.43 V/m)	Digital: 0XFF
08/12/2015 13:30:24	    92.878 MHz	 13.9 V/m	 -9.3 dBm	OK	IP0: 28530	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:30:28	    93.806 MHz	 15.2 V/m	 -9.0 dBm	OK	IP0: 28660	(11.50 V/m)	Digital: 0XFF
08/12/2015 13:30:32	    94.744 MHz	 15.9 V/m	 -8.9 dBm	OK	IP0: 28803	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:30:38	    95.692 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 28944	(11.56 V/m)	Digital: 0XFF
08/12/2015 13:30:44	    96.649 MHz	 15.9 V/m	 -8.8 dBm	OK	IP0: 28977	(11.41 V/m)	Digital: 0XFF
08/12/2015 13:30:50	    97.615 MHz	 16.7 V/m	 -8.6 dBm	OK	IP0: 29173	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:30:55	    98.591 MHz	 17.1 V/m	 -8.5 dBm	OK	IP0: 29316	(11.60 V/m)	Digital: 0XFF
08/12/2015 13:31:01	    99.577 MHz	 17.2 V/m	 -8.5 dBm	OK	IP0: 29437	(11.59 V/m)	Digital: 0XFF
08/12/2015 13:31:06	   100.573 MHz	 16.5 V/m	 -8.8 dBm	OK	IP0: 29379	(11.50 V/m)	Digital: 0XFF
08/12/2015 13:31:12	   101.579 MHz	 15.8 V/m	 -9.1 dBm	OK	IP0: 29304	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:31:18	   102.595 MHz	 15.5 V/m	 -9.5 dBm	OK	IP0: 29207	(11.58 V/m)	Digital: 0XFF
08/12/2015 13:31:24	   103.621 MHz	 14.9 V/m	-10.1 dBm	OK	IP0: 28998	(11.41 V/m)	Digital: 0XFF
08/12/2015 13:31:30	   104.657 MHz	 14.9 V/m	-10.1 dBm	OK	IP0: 29008	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:31:36	   105.703 MHz	 14.7 V/m	-10.2 dBm	OK	IP0: 29001	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:31:42	   106.760 MHz	 14.2 V/m	-10.2 dBm	OK	IP0: 29002	(11.44 V/m)	Digital: 0XFF
08/12/2015 13:31:48	   107.828 MHz	 13.5 V/m	-10.2 dBm	OK	IP0: 29009	(11.45 V/m)	Digital: 0XFF
08/12/2015 13:31:54	   108.906 MHz	 12.7 V/m	-10.2 dBm	OK	IP0: 29005	(11.47 V/m)	Digital: 0XFF
08/12/2015 13:32:00	   109.995 MHz	 11.9 V/m	-10.3 dBm	OK	IP0: 28990	(11.46 V/m)	Digital: 0XFF
08/12/2015 13:32:06	   111.095 MHz	 11.4 V/m	-10.1 dBm	OK	IP0: 29056	(11.59 V/m)	Digital: 0XFF
08/12/2015 13:32:11	   112.206 MHz	 11.0 V/m	 -9.9 dBm	OK	IP0: 29007	(11.58 V/m)	Digital: 0XFF
08/12/2015 13:32:17	   113.328 MHz	 10.7 V/m	 -9.9 dBm	OK	IP0: 28842	(11.56 V/m)	Digital: 0XFF
08/12/2015 13:32:22	   114.462 MHz	 10.5 V/m	 -9.8 dBm	OK	IP0: 28658	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:32:27	   115.606 MHz	 10.0 V/m	 -9.8 dBm	OK	IP0: 28488	(11.51 V/m)	Digital: 0XFF
08/12/2015 13:32:33	   116.762 MHz	  9.7 V/m	 -9.9 dBm	OK	IP0: 28260	(11.56 V/m)	Digital: 0XFF
08/12/2015 13:32:38	   117.930 MHz	  9.5 V/m	-10.1 dBm	OK	IP0: 27940	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:32:43	   119.109 MHz	  9.3 V/m	-10.2 dBm	OK	IP0: 27562	(11.46 V/m)	Digital: 0XFF
08/12/2015 13:32:49	   120.300 MHz	  9.4 V/m	-10.2 dBm	OK	IP0: 27227	(11.43 V/m)	Digital: 0XFF
08/12/2015 13:32:54	   121.503 MHz	 10.2 V/m	-10.3 dBm	OK	IP0: 26903	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:32:59	   122.718 MHz	 11.3 V/m	-10.4 dBm	OK	IP0: 26571	(11.52 V/m)	Digital: 0XFF
08/12/2015 13:33:05	   123.945 MHz	 11.2 V/m	-10.7 dBm	OK	IP0: 26241	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:33:10	   125.185 MHz	 11.6 V/m	-10.4 dBm	OK	IP0: 26357	(11.46 V/m)	Digital: 0XFF
08/12/2015 13:33:16	   126.437 MHz	 11.2 V/m	-10.1 dBm	OK	IP0: 26560	(11.48 V/m)	Digital: 0XFF
08/12/2015 13:33:22	   127.701 MHz	 10.2 V/m	 -9.8 dBm	OK	IP0: 26825	(11.60 V/m)	Digital: 0XFF
08/12/2015 13:33:27	   128.978 MHz	  9.8 V/m	 -9.0 dBm	OK	IP0: 27397	(11.59 V/m)	Digital: 0XFF
08/12/2015 13:33:32	   130.268 MHz	  9.3 V/m	 -8.3 dBm	OK	IP0: 28075	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:33:37	   131.571 MHz	  8.1 V/m	 -7.5 dBm	OK	IP0: 28710	(11.49 V/m)	Digital: 0XFF
08/12/2015 13:33:43	   132.886 MHz	  6.8 V/m	 -7.0 dBm	OK	IP0: 29147	(11.46 V/m)	Digital: 0XFF
08/12/2015 13:33:48	   134.215 MHz	  6.5 V/m	 -6.5 dBm	OK	IP0: 29481	(11.49 V/m)	Digital: 0XFF
08/12/2015 13:33:53	   135.557 MHz	  6.3 V/m	 -5.9 dBm	OK	IP0: 29808	(11.47 V/m)	Digital: 0XFF
08/12/2015 13:33:58	   136.913 MHz	  5.7 V/m	 -6.0 dBm	OK	IP0: 29834	(11.52 V/m)	Digital: 0XFF
08/12/2015 13:34:03	   138.282 MHz	  5.2 V/m	 -6.2 dBm	OK	IP0: 29726	(11.60 V/m)	Digital: 0XFF
08/12/2015 13:34:09	   139.665 MHz	  4.9 V/m	 -6.4 dBm	OK	IP0: 29554	(11.55 V/m)	Digital: 0XFF
08/12/2015 13:34:15	   141.061 MHz	  4.6 V/m	 -6.7 dBm	OK	IP0: 29373	(11.54 V/m)	Digital: 0XFF
08/12/2015 13:34:19	   142.472 MHz	  5.1 V/m	 -6.8 dBm	OK	IP0: 29150	(11.49 V/m)	Digital: 0XFF
08/12/2015 13:34:23	   143.897 MHz	  5.4 V/m	 -6.6 dBm	OK	IP0: 28951	(11.52 V/m)	Digital: 0XFF
08/12/2015 13:34:27	   145.336 MHz	  5.8 V/m	 -6.1 dBm	OK	IP0: 28930	(11.47 V/m)	Digital: 0XFF
08/12/2015 13:34:31	   146.789 MHz	  6.3 V/m	 -5.3 dBm	OK	IP0: 28997	(11.56 V/m)	Digital: 0XFF
08/12/2015 13:34:36	   148.257 MHz	  6.6 V/m	 -5.2 dBm	OK	IP0: 28802	(11.44 V/m)	Digital: 0XFF
08/12/2015 13:34:42	   149.740 MHz	  6.7 V/m	 -5.3 dBm	OK	IP0: 28358	(11.51 V/m)	Digital: 0XFF
08/12/2015 13:34:47	   151.237 MHz	  7.2 V/m	 -4.9 dBm	OK	IP0: 27901	(11.57 V/m)	Digital: 0XFF
08/12/2015 13:34:51	   152.749 MHz	  7.4 V/m	 -4.9 dBm	OK	IP0: 27723	(11.52 V/m)	Digital: 0XFF
