08/12/2015 10:39:22	    80.000 MHz	 18.5 V/m	 -9.5 dBm	OK	IP0: 30002	(10.55 V/m)	Digital: 0XFF
08/12/2015 10:39:27	    80.400 MHz	 19.5 V/m	 -8.7 dBm	OK	IP0: 30251	(11.53 V/m)	Digital: 0XFF
08/12/2015 10:39:33	    80.802 MHz	 19.0 V/m	 -8.7 dBm	OK	IP0: 30194	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:39:39	    81.206 MHz	 17.9 V/m	 -8.8 dBm	OK	IP0: 30059	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:39:45	    81.612 MHz	 17.2 V/m	 -8.9 dBm	OK	IP0: 29990	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:39:51	    82.020 MHz	 16.6 V/m	 -9.1 dBm	OK	IP0: 29879	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:39:57	    82.430 MHz	 16.0 V/m	 -9.2 dBm	OK	IP0: 29817	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:40:03	    82.842 MHz	 15.4 V/m	 -9.3 dBm	OK	IP0: 29746	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:40:09	    83.257 MHz	 15.3 V/m	 -9.5 dBm	OK	IP0: 29663	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:40:15	    83.673 MHz	 15.3 V/m	 -9.6 dBm	OK	IP0: 29595	(11.49 V/m)	Digital: 0XFF
08/12/2015 10:40:21	    84.091 MHz	 14.9 V/m	 -9.7 dBm	OK	IP0: 29511	(11.49 V/m)	Digital: 0XFF
08/12/2015 10:40:27	    84.512 MHz	 15.4 V/m	 -9.8 dBm	OK	IP0: 29450	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:40:32	    84.934 MHz	 15.8 V/m	 -9.6 dBm	OK	IP0: 29432	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:40:37	    85.359 MHz	 15.5 V/m	 -9.7 dBm	OK	IP0: 29309	(11.43 V/m)	Digital: 0XFF
08/12/2015 10:40:42	    85.786 MHz	 15.6 V/m	 -9.5 dBm	OK	IP0: 29306	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:40:48	    86.215 MHz	 15.4 V/m	 -9.5 dBm	OK	IP0: 29163	(11.35 V/m)	Digital: 0XFF
08/12/2015 10:40:53	    86.646 MHz	 15.8 V/m	 -9.3 dBm	OK	IP0: 29186	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:40:59	    87.079 MHz	 15.7 V/m	 -9.3 dBm	OK	IP0: 29079	(11.42 V/m)	Digital: 0XFF
08/12/2015 10:41:05	    87.514 MHz	 16.0 V/m	 -9.1 dBm	OK	IP0: 29086	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:41:11	    87.952 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 28984	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:41:17	    88.392 MHz	 15.5 V/m	 -9.2 dBm	OK	IP0: 28946	(11.43 V/m)	Digital: 0XFF
08/12/2015 10:41:23	    88.834 MHz	 15.2 V/m	 -9.3 dBm	OK	IP0: 28861	(11.44 V/m)	Digital: 0XFF
08/12/2015 10:41:29	    89.278 MHz	 15.0 V/m	 -9.2 dBm	OK	IP0: 28869	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:41:35	    89.724 MHz	 14.4 V/m	 -9.3 dBm	OK	IP0: 28728	(11.43 V/m)	Digital: 0XFF
08/12/2015 10:41:41	    90.173 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 28729	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:41:47	    90.624 MHz	 14.2 V/m	 -9.2 dBm	OK	IP0: 28642	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:41:53	    91.077 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 28616	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:41:59	    91.532 MHz	 14.0 V/m	 -9.4 dBm	OK	IP0: 28447	(11.40 V/m)	Digital: 0XFF
08/12/2015 10:42:05	    91.990 MHz	 14.2 V/m	 -9.3 dBm	OK	IP0: 28458	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:42:10	    92.450 MHz	 14.6 V/m	 -9.1 dBm	OK	IP0: 28498	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:42:16	    92.912 MHz	 14.9 V/m	 -9.0 dBm	OK	IP0: 28580	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:42:21	    93.377 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 28624	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:42:27	    93.843 MHz	 15.7 V/m	 -8.8 dBm	OK	IP0: 28683	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:42:33	    94.313 MHz	 15.9 V/m	 -8.7 dBm	OK	IP0: 28751	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:42:39	    94.784 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 28811	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:42:45	    95.258 MHz	 16.2 V/m	 -8.5 dBm	OK	IP0: 28868	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:42:51	    95.734 MHz	 16.0 V/m	 -8.7 dBm	OK	IP0: 28868	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:42:56	    96.213 MHz	 16.2 V/m	 -8.5 dBm	OK	IP0: 28979	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:43:01	    96.694 MHz	 16.3 V/m	 -8.4 dBm	OK	IP0: 29050	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:43:06	    97.178 MHz	 16.4 V/m	 -8.3 dBm	OK	IP0: 29125	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:43:12	    97.664 MHz	 16.4 V/m	 -8.3 dBm	OK	IP0: 29209	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:43:17	    98.152 MHz	 16.0 V/m	 -8.4 dBm	OK	IP0: 29155	(11.42 V/m)	Digital: 0XFF
08/12/2015 10:43:23	    98.643 MHz	 16.1 V/m	 -8.2 dBm	OK	IP0: 29274	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:43:29	    99.136 MHz	 16.1 V/m	 -8.0 dBm	OK	IP0: 29382	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:43:35	    99.632 MHz	 16.0 V/m	 -8.0 dBm	OK	IP0: 29447	(11.60 V/m)	Digital: 0XFF
08/12/2015 10:43:41	   100.130 MHz	 15.5 V/m	 -8.2 dBm	OK	IP0: 29394	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:43:47	   100.630 MHz	 15.0 V/m	 -8.3 dBm	OK	IP0: 29324	(11.44 V/m)	Digital: 0XFF
08/12/2015 10:43:53	   101.133 MHz	 14.6 V/m	 -8.5 dBm	OK	IP0: 29294	(11.43 V/m)	Digital: 0XFF
08/12/2015 10:43:59	   101.639 MHz	 14.2 V/m	 -8.6 dBm	OK	IP0: 29238	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:44:05	   102.147 MHz	 13.7 V/m	 -8.8 dBm	OK	IP0: 29171	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:44:21	   102.658 MHz	 13.1 V/m	 -9.0 dBm	OK	IP0: 29065	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:44:28	   103.171 MHz	 12.7 V/m	 -9.0 dBm	OK	IP0: 29099	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:44:33	   103.687 MHz	 12.1 V/m	 -9.2 dBm	OK	IP0: 29037	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:44:39	   104.206 MHz	 11.6 V/m	 -9.3 dBm	OK	IP0: 28988	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:44:45	   104.727 MHz	 11.1 V/m	 -9.4 dBm	OK	IP0: 29007	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:44:51	   105.250 MHz	 10.5 V/m	 -9.5 dBm	OK	IP0: 29008	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:44:57	   105.777 MHz	  9.9 V/m	 -9.6 dBm	OK	IP0: 28986	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:45:03	   106.305 MHz	  9.3 V/m	 -9.6 dBm	OK	IP0: 29028	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:45:09	   106.837 MHz	  8.7 V/m	 -9.8 dBm	OK	IP0: 29020	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:45:15	   107.371 MHz	  8.2 V/m	 -9.9 dBm	OK	IP0: 28999	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:45:21	   107.908 MHz	  7.7 V/m	-10.0 dBm	OK	IP0: 29028	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:45:27	   108.448 MHz	  7.4 V/m	-10.1 dBm	OK	IP0: 29000	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:45:33	   108.990 MHz	  7.1 V/m	-10.1 dBm	OK	IP0: 28983	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:45:39	   109.535 MHz	  7.0 V/m	-10.1 dBm	OK	IP0: 29036	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:45:45	   110.082 MHz	  6.9 V/m	-10.2 dBm	OK	IP0: 29005	(11.49 V/m)	Digital: 0XFF
08/12/2015 10:45:51	   110.633 MHz	  6.9 V/m	-10.3 dBm	OK	IP0: 29007	(11.44 V/m)	Digital: 0XFF
08/12/2015 10:45:57	   111.186 MHz	  6.9 V/m	-10.3 dBm	OK	IP0: 28960	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:46:02	   111.742 MHz	  7.1 V/m	-10.0 dBm	OK	IP0: 29053	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:46:08	   112.301 MHz	  7.0 V/m	-10.1 dBm	OK	IP0: 28961	(11.49 V/m)	Digital: 0XFF
08/12/2015 10:46:13	   112.862 MHz	  7.1 V/m	-10.0 dBm	OK	IP0: 28910	(11.60 V/m)	Digital: 0XFF
08/12/2015 10:46:19	   113.426 MHz	  7.1 V/m	-10.2 dBm	OK	IP0: 28793	(11.42 V/m)	Digital: 0XFF
08/12/2015 10:46:25	   113.994 MHz	  7.3 V/m	-10.1 dBm	OK	IP0: 28737	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:46:30	   114.564 MHz	  7.5 V/m	-10.0 dBm	OK	IP0: 28705	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:46:36	   115.136 MHz	  7.7 V/m	-10.1 dBm	OK	IP0: 28602	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:46:41	   115.712 MHz	  7.8 V/m	-10.1 dBm	OK	IP0: 28514	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:46:47	   116.291 MHz	  8.0 V/m	-10.2 dBm	OK	IP0: 28439	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:46:53	   116.872 MHz	  7.8 V/m	-10.6 dBm	OK	IP0: 28129	(11.42 V/m)	Digital: 0XFF
08/12/2015 10:46:59	   117.456 MHz	  8.0 V/m	-10.5 dBm	OK	IP0: 28063	(11.53 V/m)	Digital: 0XFF
08/12/2015 10:47:05	   118.044 MHz	  7.9 V/m	-10.6 dBm	OK	IP0: 27934	(11.57 V/m)	Digital: 0XFF
08/12/2015 10:47:11	   118.634 MHz	  7.7 V/m	-10.7 dBm	OK	IP0: 27739	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:47:17	   119.227 MHz	  7.5 V/m	-10.7 dBm	OK	IP0: 27547	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:47:22	   119.823 MHz	  7.4 V/m	-10.7 dBm	OK	IP0: 27426	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:47:28	   120.422 MHz	  7.3 V/m	-10.8 dBm	OK	IP0: 27233	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:47:33	   121.024 MHz	  7.4 V/m	-10.8 dBm	OK	IP0: 27059	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:47:39	   121.630 MHz	  7.3 V/m	-10.9 dBm	OK	IP0: 26896	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:47:45	   122.238 MHz	  6.4 V/m	-11.0 dBm	OK	IP0: 26739	(11.53 V/m)	Digital: 0XFF
08/12/2015 10:47:50	   122.849 MHz	  5.0 V/m	-11.1 dBm	OK	IP0: 26525	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:47:56	   123.463 MHz	  4.5 V/m	-11.2 dBm	OK	IP0: 26392	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:48:01	   124.080 MHz	  4.3 V/m	-11.3 dBm	OK	IP0: 26231	(11.55 V/m)	Digital: 0XFF
08/12/2015 10:48:06	   124.701 MHz	  4.4 V/m	-11.1 dBm	OK	IP0: 26324	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:48:12	   125.324 MHz	  4.5 V/m	-10.9 dBm	OK	IP0: 26378	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:48:17	   125.951 MHz	  4.6 V/m	-10.5 dBm	OK	IP0: 26472	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:48:22	   126.581 MHz	  4.7 V/m	-10.1 dBm	OK	IP0: 26618	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:48:26	   127.214 MHz	  5.1 V/m	 -9.8 dBm	OK	IP0: 26707	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:48:30	   127.850 MHz	  5.4 V/m	 -9.5 dBm	OK	IP0: 26876	(11.58 V/m)	Digital: 0XFF
08/12/2015 10:48:34	   128.489 MHz	  5.8 V/m	 -9.2 dBm	OK	IP0: 27138	(11.55 V/m)	Digital: 0XFF
08/12/2015 10:48:40	   129.131 MHz	  6.2 V/m	 -8.8 dBm	OK	IP0: 27426	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:48:45	   129.777 MHz	  7.0 V/m	 -8.3 dBm	OK	IP0: 27762	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:48:50	   130.426 MHz	  7.9 V/m	 -7.9 dBm	OK	IP0: 28133	(11.49 V/m)	Digital: 0XFF
08/12/2015 10:48:56	   131.078 MHz	  8.7 V/m	 -7.5 dBm	OK	IP0: 28497	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:49:01	   131.733 MHz	  9.2 V/m	 -7.1 dBm	OK	IP0: 28804	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:49:06	   132.392 MHz	  9.1 V/m	 -6.8 dBm	OK	IP0: 29085	(11.55 V/m)	Digital: 0XFF
08/12/2015 10:49:10	   133.054 MHz	  9.8 V/m	 -6.6 dBm	OK	IP0: 29243	(11.60 V/m)	Digital: 0XFF
08/12/2015 10:49:14	   133.719 MHz	 10.1 V/m	 -6.6 dBm	OK	IP0: 29307	(11.42 V/m)	Digital: 0XFF
08/12/2015 10:49:20	   134.388 MHz	 10.4 V/m	 -6.2 dBm	OK	IP0: 29517	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:49:25	   135.060 MHz	 11.5 V/m	 -5.8 dBm	OK	IP0: 29704	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:49:31	   135.735 MHz	 12.8 V/m	 -5.5 dBm	OK	IP0: 29845	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:49:37	   136.414 MHz	 13.7 V/m	 -5.5 dBm	OK	IP0: 29862	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:49:43	   137.096 MHz	 14.4 V/m	 -5.6 dBm	OK	IP0: 29843	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:49:49	   137.781 MHz	 15.0 V/m	 -5.7 dBm	OK	IP0: 29744	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:49:53	   138.470 MHz	 16.1 V/m	 -5.8 dBm	OK	IP0: 29693	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:49:57	   139.163 MHz	 16.7 V/m	 -6.0 dBm	OK	IP0: 29581	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:50:01	   139.859 MHz	 17.5 V/m	 -6.1 dBm	OK	IP0: 29482	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:50:05	   140.558 MHz	 18.3 V/m	 -6.1 dBm	OK	IP0: 29412	(11.48 V/m)	Digital: 0XFF
08/12/2015 10:50:11	   141.261 MHz	 18.9 V/m	 -6.2 dBm	OK	IP0: 29333	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:50:16	   141.967 MHz	 20.4 V/m	 -6.2 dBm	OK	IP0: 29172	(11.47 V/m)	Digital: 0XFF
08/12/2015 10:50:21	   142.677 MHz	 22.4 V/m	 -5.9 dBm	OK	IP0: 29049	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:50:26	   143.390 MHz	 24.6 V/m	 -5.6 dBm	OK	IP0: 28934	(11.53 V/m)	Digital: 0XFF
08/12/2015 10:50:32	   144.107 MHz	 27.0 V/m	 -5.3 dBm	OK	IP0: 28842	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:50:37	   144.828 MHz	 29.8 V/m	 -4.8 dBm	OK	IP0: 28821	(11.45 V/m)	Digital: 0XFF
08/12/2015 10:50:42	   145.552 MHz	 33.7 V/m	 -4.2 dBm	OK	IP0: 28920	(11.51 V/m)	Digital: 0XFF
08/12/2015 10:50:47	   146.279 MHz	 37.9 V/m	 -3.7 dBm	OK	IP0: 28962	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:50:52	   147.011 MHz	 43.0 V/m	 -3.3 dBm	OK	IP0: 28952	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:50:57	   147.746 MHz	 48.2 V/m	 -3.1 dBm	OK	IP0: 28879	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:51:03	   148.485 MHz	 52.1 V/m	 -3.3 dBm	OK	IP0: 28659	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:51:09	   149.227 MHz	 53.2 V/m	 -3.8 dBm	OK	IP0: 28364	(11.50 V/m)	Digital: 0XFF
08/12/2015 10:51:15	   149.973 MHz	 51.3 V/m	 -4.5 dBm	OK	IP0: 28246	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:51:21	   150.723 MHz	 46.3 V/m	 -5.6 dBm	OK	IP0: 28162	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:51:27	   151.477 MHz	 40.3 V/m	 -6.6 dBm	OK	IP0: 28001	(11.46 V/m)	Digital: 0XFF
08/12/2015 10:51:33	   152.234 MHz	 35.6 V/m	 -7.2 dBm	OK	IP0: 27884	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:51:39	   152.995 MHz	 31.1 V/m	 -7.5 dBm	OK	IP0: 27735	(11.43 V/m)	Digital: 0XFF
08/12/2015 10:51:45	   153.760 MHz	 27.8 V/m	 -7.4 dBm	OK	IP0: 27695	(11.52 V/m)	Digital: 0XFF
08/12/2015 10:52:01	   154.529 MHz	 24.8 V/m	 -7.4 dBm	OK	IP0: 27581	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:52:07	   155.302 MHz	 22.4 V/m	 -7.4 dBm	OK	IP0: 27512	(11.54 V/m)	Digital: 0XFF
08/12/2015 10:52:13	   156.078 MHz	 20.5 V/m	 -7.5 dBm	OK	IP0: 27392	(11.56 V/m)	Digital: 0XFF
08/12/2015 10:52:19	   156.859 MHz	 19.5 V/m	 -7.2 dBm	OK	IP0: 27430	(11.44 V/m)	Digital: 0XFF
08/12/2015 10:52:24	   157.643 MHz	 19.3 V/m	 -6.6 dBm	OK	IP0: 27591	(11.59 V/m)	Digital: 0XFF
08/12/2015 10:52:30	   158.431 MHz	 18.3 V/m	 -6.3 dBm	OK	IP0: 27588	(11.47 V/m)	Digital: 0XFF
