20/01/2016 14:17:09	    80.000 MHz	 20.6 V/m	 -9.1 dBm	OK	IP0: 30134	(10.90 V/m)	Digital: 0XFF
20/01/2016 14:17:15	    80.400 MHz	 21.1 V/m	 -9.0 dBm	OK	IP0: 30100	(11.19 V/m)	Digital: 0XFF
20/01/2016 14:17:21	    80.802 MHz	 20.6 V/m	 -9.1 dBm	OK	IP0: 29998	(11.11 V/m)	Digital: 0XFF
20/01/2016 14:17:27	    81.206 MHz	 20.4 V/m	 -9.1 dBm	OK	IP0: 29951	(11.10 V/m)	Digital: 0XFF
20/01/2016 14:17:33	    81.612 MHz	 20.0 V/m	 -9.2 dBm	OK	IP0: 29861	(11.13 V/m)	Digital: 0XFF
20/01/2016 14:17:39	    82.020 MHz	 19.6 V/m	 -9.3 dBm	OK	IP0: 29740	(11.12 V/m)	Digital: 0XFF
20/01/2016 14:17:44	    82.430 MHz	 20.1 V/m	 -9.3 dBm	OK	IP0: 29686	(11.10 V/m)	Digital: 0XFF
20/01/2016 14:17:50	    82.842 MHz	 19.1 V/m	 -9.4 dBm	OK	IP0: 29621	(11.13 V/m)	Digital: 0XFF
20/01/2016 14:17:56	    83.257 MHz	 18.8 V/m	 -9.4 dBm	OK	IP0: 29499	(11.13 V/m)	Digital: 0XFF
20/01/2016 14:18:02	    83.673 MHz	 18.4 V/m	 -9.5 dBm	OK	IP0: 29418	(11.09 V/m)	Digital: 0XFF
20/01/2016 14:18:08	    84.091 MHz	 18.2 V/m	 -9.5 dBm	OK	IP0: 29367	(11.14 V/m)	Digital: 0XFF
20/01/2016 14:18:14	    84.512 MHz	 17.6 V/m	 -9.5 dBm	OK	IP0: 29248	(11.07 V/m)	Digital: 0XFF
20/01/2016 14:18:20	    84.934 MHz	 17.7 V/m	 -9.3 dBm	OK	IP0: 29278	(11.19 V/m)	Digital: 0XFF
20/01/2016 14:18:26	    85.359 MHz	 17.1 V/m	 -9.3 dBm	OK	IP0: 29206	(11.13 V/m)	Digital: 0XFF
20/01/2016 14:18:32	    85.786 MHz	 17.3 V/m	 -9.3 dBm	OK	IP0: 29089	(11.09 V/m)	Digital: 0XFF
20/01/2016 14:18:38	    86.215 MHz	 17.6 V/m	 -9.1 dBm	OK	IP0: 29065	(11.16 V/m)	Digital: 0XFF
20/01/2016 14:18:43	    86.646 MHz	 18.0 V/m	 -8.9 dBm	OK	IP0: 29044	(11.20 V/m)	Digital: 0XFF
20/01/2016 14:18:49	    87.079 MHz	 17.6 V/m	 -8.9 dBm	OK	IP0: 28951	(11.11 V/m)	Digital: 0XFF
20/01/2016 14:18:55	    87.514 MHz	 17.7 V/m	 -8.9 dBm	OK	IP0: 28845	(11.09 V/m)	Digital: 0XFF
20/01/2016 14:19:00	    87.952 MHz	 18.2 V/m	 -8.7 dBm	OK	IP0: 28818	(11.07 V/m)	Digital: 0XFF
