20/01/2016 11:16:45	    80.000 MHz	 14.7 V/m	 -9.3 dBm	OK	IP0: 30038	(10.86 V/m)	Digital: 0XFF
20/01/2016 11:17:51	    80.400 MHz	 20.3 V/m	 -6.4 dBm	OK	IP0: 31106	(10.84 V/m)	Digital: 0XFF
20/01/2016 11:17:55	    80.802 MHz	 20.4 V/m	 -6.4 dBm	OK	IP0: 31060	(10.97 V/m)	Digital: 0XFF
20/01/2016 11:17:59	    81.206 MHz	 20.7 V/m	 -6.4 dBm	OK	IP0: 31053	(11.04 V/m)	Digital: 0XFF
20/01/2016 11:18:06	    81.612 MHz	 15.5 V/m	 -9.2 dBm	OK	IP0: 29855	(11.10 V/m)	Digital: 0XFF
20/01/2016 11:18:11	    82.020 MHz	 16.1 V/m	 -9.3 dBm	OK	IP0: 29745	(11.12 V/m)	Digital: 0XFF
20/01/2016 11:18:17	    82.430 MHz	 15.9 V/m	 -9.3 dBm	OK	IP0: 29672	(11.11 V/m)	Digital: 0XFF
20/01/2016 11:18:23	    82.842 MHz	 16.1 V/m	 -9.3 dBm	OK	IP0: 29626	(11.11 V/m)	Digital: 0XFF
20/01/2016 11:18:29	    83.257 MHz	 16.1 V/m	 -9.4 dBm	OK	IP0: 29474	(11.13 V/m)	Digital: 0XFF
20/01/2016 11:18:44	    83.673 MHz	 16.6 V/m	 -9.5 dBm	OK	IP0: 29367	(11.16 V/m)	Digital: 0XFF
20/01/2016 11:18:50	    84.091 MHz	 16.6 V/m	 -9.4 dBm	OK	IP0: 29345	(11.07 V/m)	Digital: 0XFF
20/01/2016 11:18:55	    84.512 MHz	 17.4 V/m	 -9.4 dBm	OK	IP0: 29286	(11.10 V/m)	Digital: 0XFF
20/01/2016 11:19:01	    84.934 MHz	 17.3 V/m	 -9.2 dBm	OK	IP0: 29229	(11.20 V/m)	Digital: 0XFF
20/01/2016 11:19:07	    85.359 MHz	 17.7 V/m	 -9.1 dBm	OK	IP0: 29230	(11.19 V/m)	Digital: 0XFF
20/01/2016 11:19:13	    85.786 MHz	 17.6 V/m	 -9.1 dBm	OK	IP0: 29112	(11.13 V/m)	Digital: 0XFF
20/01/2016 11:19:19	    86.215 MHz	 17.8 V/m	 -8.9 dBm	OK	IP0: 29056	(11.18 V/m)	Digital: 0XFF
20/01/2016 11:19:25	    86.646 MHz	 17.8 V/m	 -8.8 dBm	OK	IP0: 29000	(11.10 V/m)	Digital: 0XFF
20/01/2016 11:19:31	    87.079 MHz	 17.9 V/m	 -8.8 dBm	OK	IP0: 28910	(11.12 V/m)	Digital: 0XFF
20/01/2016 11:19:35	    87.514 MHz	 19.1 V/m	 -8.6 dBm	OK	IP0: 28913	(11.20 V/m)	Digital: 0XFF
20/01/2016 11:19:41	    87.952 MHz	 18.5 V/m	 -8.6 dBm	OK	IP0: 28818	(11.14 V/m)	Digital: 0XFF
20/01/2016 11:19:47	    88.392 MHz	 18.7 V/m	 -8.6 dBm	OK	IP0: 28789	(11.11 V/m)	Digital: 0XFF
20/01/2016 11:19:53	    88.834 MHz	 18.7 V/m	 -8.6 dBm	OK	IP0: 28733	(11.14 V/m)	Digital: 0XFF
20/01/2016 11:19:59	    89.278 MHz	 18.6 V/m	 -8.7 dBm	OK	IP0: 28622	(11.13 V/m)	Digital: 0XFF
20/01/2016 11:20:05	    89.724 MHz	 18.7 V/m	 -8.7 dBm	OK	IP0: 28592	(11.12 V/m)	Digital: 0XFF
20/01/2016 11:20:11	    90.173 MHz	 18.5 V/m	 -8.9 dBm	OK	IP0: 28536	(11.17 V/m)	Digital: 0XFF
20/01/2016 11:20:17	    90.624 MHz	 18.3 V/m	 -9.0 dBm	OK	IP0: 28426	(11.14 V/m)	Digital: 0XFF
20/01/2016 11:21:11	    91.077 MHz	 18.3 V/m	 -9.1 dBm	OK	IP0: 28389	(11.16 V/m)	Digital: 0XFF
20/01/2016 11:21:17	    91.532 MHz	 18.0 V/m	 -9.3 dBm	OK	IP0: 28324	(11.15 V/m)	Digital: 0XFF
20/01/2016 11:21:23	    91.990 MHz	 17.6 V/m	 -9.5 dBm	OK	IP0: 28245	(11.15 V/m)	Digital: 0XFF
20/01/2016 11:21:29	    92.450 MHz	 17.6 V/m	 -9.5 dBm	OK	IP0: 28277	(11.12 V/m)	Digital: 0XFF
20/01/2016 11:21:35	    92.912 MHz	 17.9 V/m	 -9.4 dBm	OK	IP0: 28375	(11.20 V/m)	Digital: 0XFF
20/01/2016 11:21:41	    93.377 MHz	 17.8 V/m	 -9.4 dBm	OK	IP0: 28385	(11.10 V/m)	Digital: 0XFF
20/01/2016 11:21:47	    93.843 MHz	 17.8 V/m	 -9.3 dBm	OK	IP0: 28451	(11.11 V/m)	Digital: 0XFF
20/01/2016 11:21:53	    94.313 MHz	 17.9 V/m	 -9.3 dBm	OK	IP0: 28516	(11.12 V/m)	Digital: 0XFF
