25/01/2016 11:11:15	    80.000 MHz	 13.8 V/m	 -8.7 dBm	OK	IP0: 30052	(10.90 V/m)	Digital: 0XFF
25/01/2016 11:11:21	    80.400 MHz	 14.1 V/m	 -8.5 dBm	OK	IP0: 30114	(11.16 V/m)	Digital: 0XFF
25/01/2016 11:11:26	    80.802 MHz	 14.3 V/m	 -8.6 dBm	OK	IP0: 30010	(11.15 V/m)	Digital: 0XFF
25/01/2016 11:11:32	    81.206 MHz	 13.9 V/m	 -8.7 dBm	OK	IP0: 29915	(11.12 V/m)	Digital: 0XFF
25/01/2016 11:11:38	    81.612 MHz	 13.9 V/m	 -8.7 dBm	OK	IP0: 29882	(11.13 V/m)	Digital: 0XFF
25/01/2016 11:11:44	    82.020 MHz	 13.7 V/m	 -8.9 dBm	OK	IP0: 29754	(11.16 V/m)	Digital: 0XFF
25/01/2016 11:11:50	    82.430 MHz	 13.8 V/m	 -8.9 dBm	OK	IP0: 29714	(11.13 V/m)	Digital: 0XFF
25/01/2016 11:11:56	    82.842 MHz	 13.6 V/m	 -9.1 dBm	OK	IP0: 29600	(11.18 V/m)	Digital: 0XFF
25/01/2016 11:12:02	    83.257 MHz	 13.6 V/m	 -9.2 dBm	OK	IP0: 29531	(11.14 V/m)	Digital: 0XFF
25/01/2016 11:12:08	    83.673 MHz	 13.6 V/m	 -9.3 dBm	OK	IP0: 29432	(11.18 V/m)	Digital: 0XFF
25/01/2016 11:12:14	    84.091 MHz	 13.6 V/m	 -9.4 dBm	OK	IP0: 29351	(11.12 V/m)	Digital: 0XFF
25/01/2016 11:12:20	    84.512 MHz	 13.6 V/m	 -9.4 dBm	OK	IP0: 29282	(11.15 V/m)	Digital: 0XFF
25/01/2016 11:12:26	    84.934 MHz	 13.7 V/m	 -9.4 dBm	OK	IP0: 29245	(11.10 V/m)	Digital: 0XFF
25/01/2016 11:12:32	    85.359 MHz	 13.7 V/m	 -9.5 dBm	OK	IP0: 29148	(11.14 V/m)	Digital: 0XFF
25/01/2016 11:12:38	    85.786 MHz	 13.8 V/m	 -9.4 dBm	OK	IP0: 29141	(11.09 V/m)	Digital: 0XFF
25/01/2016 11:12:44	    86.215 MHz	 13.8 V/m	 -9.4 dBm	OK	IP0: 29025	(11.11 V/m)	Digital: 0XFF
25/01/2016 11:12:50	    86.646 MHz	 14.0 V/m	 -9.3 dBm	OK	IP0: 29026	(11.10 V/m)	Digital: 0XFF
25/01/2016 11:12:56	    87.079 MHz	 14.0 V/m	 -9.3 dBm	OK	IP0: 28917	(11.11 V/m)	Digital: 0XFF
25/01/2016 11:13:02	    87.514 MHz	 14.2 V/m	 -9.2 dBm	OK	IP0: 28912	(11.10 V/m)	Digital: 0XFF
25/01/2016 11:13:08	    87.952 MHz	 14.2 V/m	 -9.2 dBm	OK	IP0: 28809	(11.13 V/m)	Digital: 0XFF
