27/01/2016 14:43:03	    70.000 MHz	  4.1 V/m	-16.4 dBm	OK
27/01/2016 14:43:07	    70.350 MHz	  5.0 V/m	-16.9 dBm	OK
27/01/2016 14:43:11	    70.702 MHz	  4.7 V/m	-17.7 dBm	OK
27/01/2016 14:43:15	    71.055 MHz	  4.5 V/m	-17.7 dBm	OK
27/01/2016 14:43:18	    71.411 MHz	  4.3 V/m	-17.7 dBm	OK
27/01/2016 14:43:22	    71.768 MHz	  4.1 V/m	-17.7 dBm	OK
27/01/2016 14:43:25	    72.126 MHz	  3.9 V/m	-17.7 dBm	OK
27/01/2016 14:43:29	    72.487 MHz	  4.3 V/m	-16.7 dBm	OK
27/01/2016 14:43:32	    72.849 MHz	  4.3 V/m	-16.7 dBm	OK
27/01/2016 14:43:35	    73.214 MHz	  4.3 V/m	-16.7 dBm	OK
27/01/2016 14:43:39	    73.580 MHz	  4.5 V/m	-16.7 dBm	OK
27/01/2016 14:43:43	    73.948 MHz	  4.8 V/m	-16.7 dBm	OK
27/01/2016 14:43:46	    74.317 MHz	  4.9 V/m	-16.7 dBm	OK
27/01/2016 14:43:49	    74.689 MHz	  4.7 V/m	-16.7 dBm	OK
27/01/2016 14:43:53	    75.062 MHz	  4.3 V/m	-16.7 dBm	OK
27/01/2016 14:43:56	    75.438 MHz	  4.1 V/m	-16.7 dBm	OK
27/01/2016 14:44:00	    75.815 MHz	  4.0 V/m	-16.3 dBm	OK
27/01/2016 14:44:03	    76.194 MHz	  3.9 V/m	-16.3 dBm	OK
27/01/2016 14:44:06	    76.575 MHz	  3.9 V/m	-16.3 dBm	OK
27/01/2016 14:44:09	    76.958 MHz	  4.0 V/m	-16.3 dBm	OK
27/01/2016 14:44:12	    77.343 MHz	  4.1 V/m	-16.3 dBm	OK
27/01/2016 14:44:15	    77.729 MHz	  4.3 V/m	-16.3 dBm	OK
27/01/2016 14:44:18	    78.118 MHz	  4.3 V/m	-16.3 dBm	OK
27/01/2016 14:44:22	    78.509 MHz	  4.1 V/m	-16.3 dBm	OK
