28/01/2016 10:28:58	     5.000 MHz	  4.3 V/m	-30.0 dBm	OK
28/01/2016 10:29:02	     5.025 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:29:05	     5.050 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:29:08	     5.075 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:29:11	     5.101 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:14	     5.126 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:17	     5.152 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:20	     5.178 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:23	     5.204 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:26	     5.230 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:29:29	     5.256 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:33	     5.282 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:36	     5.308 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:39	     5.335 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:42	     5.362 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:45	     5.388 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:48	     5.415 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:52	     5.442 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:55	     5.470 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:29:58	     5.497 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:01	     5.524 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:04	     5.552 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:07	     5.580 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:11	     5.608 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:14	     5.636 MHz	  4.9 V/m	-30.8 dBm	OK
28/01/2016 10:30:17	     5.664 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:30:20	     5.692 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:30:23	     5.721 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:30:26	     5.749 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:30:30	     5.778 MHz	  4.8 V/m	-30.8 dBm	OK
28/01/2016 10:30:33	     5.807 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:30:36	     5.836 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:30:39	     5.865 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:30:42	     5.895 MHz	  4.7 V/m	-30.8 dBm	OK
28/01/2016 10:30:46	     5.924 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:30:49	     5.954 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:30:52	     5.983 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:30:55	     6.013 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:30:58	     6.043 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:31:01	     6.074 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:31:05	     6.104 MHz	  4.5 V/m	-30.8 dBm	OK
28/01/2016 10:31:08	     6.134 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:11	     6.165 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:14	     6.196 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:17	     6.227 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:20	     6.258 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:24	     6.289 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:27	     6.321 MHz	  4.3 V/m	-30.8 dBm	OK
28/01/2016 10:31:30	     6.352 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:33	     6.384 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:36	     6.416 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:39	     6.448 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:43	     6.480 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:46	     6.513 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:49	     6.545 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:52	     6.578 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:31:55	     6.611 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:31:58	     6.644 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:02	     6.677 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:05	     6.711 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:08	     6.744 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:11	     6.778 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:14	     6.812 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:17	     6.846 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:21	     6.880 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:24	     6.915 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:27	     6.949 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:31	     6.984 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:34	     7.019 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:37	     7.054 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:40	     7.089 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:43	     7.125 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:46	     7.160 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:50	     7.196 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:53	     7.232 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:56	     7.268 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:32:59	     7.305 MHz	  4.0 V/m	-30.8 dBm	OK
28/01/2016 10:33:02	     7.341 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:33:05	     7.378 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:33:09	     7.415 MHz	  4.1 V/m	-30.8 dBm	OK
28/01/2016 10:33:12	     7.452 MHz	  4.1 V/m	-30.8 dBm	OK
