27/01/2016 15:45:58	    60.000 MHz	  3.9 V/m	-20.9 dBm	OK
27/01/2016 15:46:03	    60.300 MHz	  4.1 V/m	-19.9 dBm	OK
27/01/2016 15:46:06	    60.601 MHz	  3.9 V/m	-19.9 dBm	OK
27/01/2016 15:46:10	    60.905 MHz	  4.0 V/m	-19.4 dBm	OK
27/01/2016 15:46:14	    61.209 MHz	  4.0 V/m	-18.9 dBm	OK
27/01/2016 15:46:17	    61.515 MHz	  4.0 V/m	-18.9 dBm	OK
27/01/2016 15:46:20	    61.823 MHz	  4.0 V/m	-18.9 dBm	OK
27/01/2016 15:46:23	    62.132 MHz	  4.1 V/m	-18.9 dBm	OK
27/01/2016 15:46:27	    62.442 MHz	  4.1 V/m	-18.9 dBm	OK
27/01/2016 15:46:31	    62.755 MHz	  4.5 V/m	-18.9 dBm	OK
27/01/2016 15:46:35	    63.068 MHz	  4.7 V/m	-18.9 dBm	OK
27/01/2016 15:46:39	    63.384 MHz	  4.7 V/m	-18.9 dBm	OK
27/01/2016 15:46:42	    63.701 MHz	  4.5 V/m	-18.9 dBm	OK
27/01/2016 15:46:46	    64.019 MHz	  4.3 V/m	-18.9 dBm	OK
27/01/2016 15:46:50	    64.339 MHz	  4.0 V/m	-18.9 dBm	OK
27/01/2016 15:46:54	    64.661 MHz	  3.9 V/m	-18.9 dBm	OK
27/01/2016 15:46:58	    64.984 MHz	  4.0 V/m	-18.4 dBm	OK
27/01/2016 15:47:01	    65.309 MHz	  3.9 V/m	-18.4 dBm	OK
27/01/2016 15:47:04	    65.636 MHz	  4.0 V/m	-18.4 dBm	OK
27/01/2016 15:47:07	    65.964 MHz	  4.1 V/m	-18.4 dBm	OK
27/01/2016 15:47:11	    66.294 MHz	  4.3 V/m	-18.4 dBm	OK
27/01/2016 15:47:14	    66.625 MHz	  4.5 V/m	-18.4 dBm	OK
27/01/2016 15:47:18	    66.958 MHz	  4.7 V/m	-18.4 dBm	OK
27/01/2016 15:47:22	    67.293 MHz	  4.5 V/m	-18.4 dBm	OK
27/01/2016 15:47:26	    67.630 MHz	  4.3 V/m	-18.4 dBm	OK
27/01/2016 15:47:29	    67.968 MHz	  4.1 V/m	-18.4 dBm	OK
27/01/2016 15:47:33	    68.308 MHz	  4.0 V/m	-18.0 dBm	OK
27/01/2016 15:47:37	    68.649 MHz	  4.0 V/m	-17.6 dBm	OK
27/01/2016 15:47:41	    68.992 MHz	  4.0 V/m	-17.6 dBm	OK
27/01/2016 15:47:44	    69.337 MHz	  4.0 V/m	-17.6 dBm	OK
27/01/2016 15:47:47	    69.684 MHz	  4.1 V/m	-17.6 dBm	OK
27/01/2016 15:47:51	    70.032 MHz	  4.3 V/m	-17.6 dBm	OK
27/01/2016 15:47:55	    70.383 MHz	  4.5 V/m	-17.6 dBm	OK
27/01/2016 15:47:58	    70.735 MHz	  4.5 V/m	-17.6 dBm	OK
27/01/2016 15:48:02	    71.088 MHz	  4.5 V/m	-17.6 dBm	OK
27/01/2016 15:48:06	    71.444 MHz	  4.3 V/m	-17.6 dBm	OK
27/01/2016 15:48:10	    71.801 MHz	  4.0 V/m	-17.6 dBm	OK
27/01/2016 15:48:14	    72.160 MHz	  4.1 V/m	-17.2 dBm	OK
27/01/2016 15:48:17	    72.521 MHz	  4.0 V/m	-17.2 dBm	OK
27/01/2016 15:48:21	    72.883 MHz	  4.0 V/m	-17.2 dBm	OK
27/01/2016 15:48:24	    73.248 MHz	  4.1 V/m	-17.2 dBm	OK
27/01/2016 15:48:28	    73.614 MHz	  4.5 V/m	-17.2 dBm	OK
27/01/2016 15:48:32	    73.982 MHz	  4.7 V/m	-17.2 dBm	OK
27/01/2016 15:48:35	    74.352 MHz	  4.8 V/m	-17.2 dBm	OK
27/01/2016 15:48:38	    74.724 MHz	  4.8 V/m	-17.2 dBm	OK
27/01/2016 15:48:42	    75.097 MHz	  4.5 V/m	-17.2 dBm	OK
27/01/2016 15:48:45	    75.473 MHz	  4.3 V/m	-17.2 dBm	OK
27/01/2016 15:48:49	    75.850 MHz	  4.1 V/m	-17.2 dBm	OK
