08/02/2016 15:29:30	    80.000 MHz	 15.3 V/m	 -8.8 dBm	OK	IP0: 30077	(10.80 V/m)	Digital: 0XFF
08/02/2016 15:29:35	    80.400 MHz	 16.3 V/m	 -8.3 dBm	OK	IP0: 30284	(11.55 V/m)	Digital: 0XFF
08/02/2016 15:29:41	    80.802 MHz	 16.0 V/m	 -8.4 dBm	OK	IP0: 30173	(11.46 V/m)	Digital: 0XFF
08/02/2016 15:29:46	    81.206 MHz	 15.8 V/m	 -8.6 dBm	OK	IP0: 30084	(11.44 V/m)	Digital: 0XFF
08/02/2016 15:29:52	    81.612 MHz	 15.7 V/m	 -8.7 dBm	OK	IP0: 29994	(11.46 V/m)	Digital: 0XFF
08/02/2016 15:29:58	    82.020 MHz	 15.4 V/m	 -8.8 dBm	OK	IP0: 29903	(11.44 V/m)	Digital: 0XFF
08/02/2016 15:30:04	    82.430 MHz	 15.2 V/m	 -8.9 dBm	OK	IP0: 29822	(11.45 V/m)	Digital: 0XFF
08/02/2016 15:30:10	    82.842 MHz	 15.0 V/m	 -9.0 dBm	OK	IP0: 29739	(11.47 V/m)	Digital: 0XFF
08/02/2016 15:30:16	    83.257 MHz	 14.8 V/m	 -9.1 dBm	OK	IP0: 29659	(11.48 V/m)	Digital: 0XFF
08/02/2016 15:30:22	    83.673 MHz	 14.6 V/m	 -9.2 dBm	OK	IP0: 29573	(11.48 V/m)	Digital: 0XFF
08/02/2016 15:30:28	    84.091 MHz	 14.5 V/m	 -9.3 dBm	OK	IP0: 29517	(11.49 V/m)	Digital: 0XFF
08/02/2016 15:30:34	    84.512 MHz	 14.3 V/m	 -9.4 dBm	OK	IP0: 29446	(11.49 V/m)	Digital: 0XFF
08/02/2016 15:30:40	    84.934 MHz	 14.3 V/m	 -9.5 dBm	OK	IP0: 29359	(11.46 V/m)	Digital: 0XFF
08/02/2016 15:30:46	    85.359 MHz	 14.3 V/m	 -9.5 dBm	OK	IP0: 29298	(11.43 V/m)	Digital: 0XFF
08/02/2016 15:30:52	    85.786 MHz	 14.4 V/m	 -9.5 dBm	OK	IP0: 29253	(11.44 V/m)	Digital: 0XFF
08/02/2016 15:30:58	    86.215 MHz	 14.4 V/m	 -9.5 dBm	OK	IP0: 29196	(11.42 V/m)	Digital: 0XFF
08/02/2016 15:31:04	    86.646 MHz	 14.5 V/m	 -9.5 dBm	OK	IP0: 29137	(11.43 V/m)	Digital: 0XFF
08/02/2016 15:31:10	    87.079 MHz	 14.9 V/m	 -9.3 dBm	OK	IP0: 29148	(11.59 V/m)	Digital: 0XFF
08/02/2016 15:31:16	    87.514 MHz	 14.9 V/m	 -9.3 dBm	OK	IP0: 29036	(11.44 V/m)	Digital: 0XFF
08/02/2016 15:31:22	    87.952 MHz	 15.3 V/m	 -9.1 dBm	OK	IP0: 29035	(11.59 V/m)	Digital: 0XFF
08/02/2016 15:31:28	    88.392 MHz	 15.3 V/m	 -9.2 dBm	OK	IP0: 28926	(11.45 V/m)	Digital: 0XFF
08/02/2016 15:31:34	    88.834 MHz	 15.7 V/m	 -9.1 dBm	OK	IP0: 28927	(11.59 V/m)	Digital: 0XFF
08/02/2016 15:31:40	    89.278 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 28805	(11.45 V/m)	Digital: 0XFF
08/02/2016 15:31:46	    89.724 MHz	 15.7 V/m	 -9.3 dBm	OK	IP0: 28726	(11.43 V/m)	Digital: 0XFF
08/02/2016 15:31:52	    90.173 MHz	 15.7 V/m	 -9.4 dBm	OK	IP0: 28651	(11.40 V/m)	Digital: 0XFF
08/02/2016 15:31:58	    90.624 MHz	 16.0 V/m	 -9.3 dBm	OK	IP0: 28682	(11.59 V/m)	Digital: 0XFF
08/02/2016 15:32:04	    91.077 MHz	 15.5 V/m	 -9.6 dBm	OK	IP0: 28533	(11.43 V/m)	Digital: 0XFF
08/02/2016 15:32:10	    91.532 MHz	 15.5 V/m	 -9.5 dBm	OK	IP0: 28542	(11.57 V/m)	Digital: 0XFF
08/02/2016 15:32:16	    91.990 MHz	 15.1 V/m	 -9.8 dBm	OK	IP0: 28388	(11.40 V/m)	Digital: 0XFF
08/02/2016 15:32:22	    92.450 MHz	 15.6 V/m	 -9.6 dBm	OK	IP0: 28474	(11.47 V/m)	Digital: 0XFF
08/02/2016 15:32:27	    92.912 MHz	 15.9 V/m	 -9.4 dBm	OK	IP0: 28543	(11.50 V/m)	Digital: 0XFF
08/02/2016 15:32:33	    93.377 MHz	 16.3 V/m	 -9.2 dBm	OK	IP0: 28613	(11.52 V/m)	Digital: 0XFF
08/02/2016 15:32:38	    93.843 MHz	 16.6 V/m	 -9.1 dBm	OK	IP0: 28680	(11.54 V/m)	Digital: 0XFF
08/02/2016 15:32:44	    94.313 MHz	 16.7 V/m	 -9.0 dBm	OK	IP0: 28739	(11.54 V/m)	Digital: 0XFF
08/02/2016 15:32:50	    94.784 MHz	 16.7 V/m	 -8.8 dBm	OK	IP0: 28815	(11.57 V/m)	Digital: 0XFF
08/02/2016 15:32:56	    95.258 MHz	 16.6 V/m	 -8.7 dBm	OK	IP0: 28874	(11.57 V/m)	Digital: 0XFF
08/02/2016 15:33:02	    95.734 MHz	 16.4 V/m	 -8.6 dBm	OK	IP0: 28924	(11.55 V/m)	Digital: 0XFF
08/02/2016 15:33:07	    96.213 MHz	 16.2 V/m	 -8.5 dBm	OK	IP0: 28992	(11.54 V/m)	Digital: 0XFF
08/02/2016 15:33:13	    96.694 MHz	 16.0 V/m	 -8.4 dBm	OK	IP0: 29053	(11.53 V/m)	Digital: 0XFF
08/02/2016 15:33:18	    97.178 MHz	 15.7 V/m	 -8.3 dBm	OK	IP0: 29117	(11.53 V/m)	Digital: 0XFF
08/02/2016 15:33:23	    97.664 MHz	 15.5 V/m	 -8.1 dBm	OK	IP0: 29187	(11.60 V/m)	Digital: 0XFF
08/02/2016 15:33:29	    98.152 MHz	 15.4 V/m	 -8.1 dBm	OK	IP0: 29262	(11.58 V/m)	Digital: 0XFF
08/02/2016 15:33:34	    98.643 MHz	 15.3 V/m	 -8.0 dBm	OK	IP0: 29325	(11.60 V/m)	Digital: 0XFF
08/02/2016 15:33:40	    99.136 MHz	 14.9 V/m	 -8.1 dBm	OK	IP0: 29284	(11.43 V/m)	Digital: 0XFF
08/02/2016 15:33:46	    99.632 MHz	 15.0 V/m	 -7.9 dBm	OK	IP0: 29405	(11.55 V/m)	Digital: 0XFF
08/02/2016 15:33:52	   100.130 MHz	 14.7 V/m	 -8.0 dBm	OK	IP0: 29375	(11.45 V/m)	Digital: 0XFF
08/02/2016 15:33:58	   100.630 MHz	 14.2 V/m	 -8.2 dBm	OK	IP0: 29346	(11.45 V/m)	Digital: 0XFF
08/02/2016 15:34:04	   101.133 MHz	 13.7 V/m	 -8.4 dBm	OK	IP0: 29317	(11.48 V/m)	Digital: 0XFF
08/02/2016 15:34:10	   101.639 MHz	 13.1 V/m	 -8.6 dBm	OK	IP0: 29258	(11.49 V/m)	Digital: 0XFF
08/02/2016 15:34:16	   102.147 MHz	 12.7 V/m	 -8.9 dBm	OK	IP0: 29207	(11.51 V/m)	Digital: 0XFF
08/02/2016 15:34:22	   102.658 MHz	 12.2 V/m	 -9.1 dBm	OK	IP0: 29147	(11.52 V/m)	Digital: 0XFF
08/02/2016 15:34:28	   103.171 MHz	 12.0 V/m	 -9.4 dBm	OK	IP0: 29106	(11.54 V/m)	Digital: 0XFF
