10/02/2016 12:00:50	    80.000 MHz	 14.5 V/m	 -8.8 dBm	OK	IP0: 30060	(10.73 V/m)	Digital: 0XFF
10/02/2016 12:00:55	    80.400 MHz	 15.3 V/m	 -8.3 dBm	OK	IP0: 30282	(11.52 V/m)	Digital: 0XFF
10/02/2016 12:01:01	    80.802 MHz	 14.9 V/m	 -8.5 dBm	OK	IP0: 30130	(11.45 V/m)	Digital: 0XFF
10/02/2016 12:01:07	    81.206 MHz	 15.0 V/m	 -8.4 dBm	OK	IP0: 30169	(11.57 V/m)	Digital: 0XFF
10/02/2016 12:01:13	    81.612 MHz	 14.6 V/m	 -8.6 dBm	OK	IP0: 29997	(11.49 V/m)	Digital: 0XFF
10/02/2016 12:01:19	    82.020 MHz	 14.3 V/m	 -8.8 dBm	OK	IP0: 29892	(11.44 V/m)	Digital: 0XFF
10/02/2016 12:01:25	    82.430 MHz	 14.1 V/m	 -8.8 dBm	OK	IP0: 29850	(11.45 V/m)	Digital: 0XFF
10/02/2016 12:01:31	    82.842 MHz	 13.8 V/m	 -9.0 dBm	OK	IP0: 29757	(11.49 V/m)	Digital: 0XFF
10/02/2016 12:01:37	    83.257 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 29634	(11.48 V/m)	Digital: 0XFF
10/02/2016 12:01:42	    83.673 MHz	 13.3 V/m	 -9.2 dBm	OK	IP0: 29601	(11.49 V/m)	Digital: 0XFF
10/02/2016 12:01:57	    84.091 MHz	 13.0 V/m	 -9.4 dBm	OK	IP0: 29500	(11.46 V/m)	Digital: 0XFF
10/02/2016 12:02:03	    84.512 MHz	 12.9 V/m	 -9.4 dBm	OK	IP0: 29406	(11.48 V/m)	Digital: 0XFF
10/02/2016 12:02:09	    84.934 MHz	 13.2 V/m	 -9.4 dBm	OK	IP0: 29371	(11.44 V/m)	Digital: 0XFF
10/02/2016 12:02:14	    85.359 MHz	 13.7 V/m	 -9.4 dBm	OK	IP0: 29332	(11.46 V/m)	Digital: 0XFF
10/02/2016 12:02:18	    85.786 MHz	 14.6 V/m	 -9.4 dBm	OK	IP0: 29227	(11.43 V/m)	Digital: 0XFF
10/02/2016 12:02:23	    86.215 MHz	 15.5 V/m	 -9.2 dBm	OK	IP0: 29275	(11.59 V/m)	Digital: 0XFF
10/02/2016 12:02:27	    86.646 MHz	 16.7 V/m	 -9.3 dBm	OK	IP0: 29172	(11.50 V/m)	Digital: 0XFF
10/02/2016 12:02:33	    87.079 MHz	 16.2 V/m	 -9.4 dBm	OK	IP0: 29060	(11.45 V/m)	Digital: 0XFF
10/02/2016 12:02:38	    87.514 MHz	 16.8 V/m	 -9.2 dBm	OK	IP0: 29112	(11.58 V/m)	Digital: 0XFF
10/02/2016 12:02:44	    87.952 MHz	 16.8 V/m	 -9.3 dBm	OK	IP0: 28979	(11.48 V/m)	Digital: 0XFF
10/02/2016 12:02:50	    88.392 MHz	 17.2 V/m	 -9.1 dBm	OK	IP0: 28989	(11.59 V/m)	Digital: 0XFF
10/02/2016 12:02:56	    88.834 MHz	 17.1 V/m	 -9.2 dBm	OK	IP0: 28862	(11.46 V/m)	Digital: 0XFF
10/02/2016 12:03:02	    89.278 MHz	 17.5 V/m	 -9.1 dBm	OK	IP0: 28860	(11.55 V/m)	Digital: 0XFF
10/02/2016 12:03:08	    89.724 MHz	 17.4 V/m	 -9.2 dBm	OK	IP0: 28723	(11.43 V/m)	Digital: 0XFF
10/02/2016 12:03:14	    90.173 MHz	 17.8 V/m	 -9.1 dBm	OK	IP0: 28716	(11.55 V/m)	Digital: 0XFF
10/02/2016 12:03:19	    90.624 MHz	 18.1 V/m	 -9.1 dBm	OK	IP0: 28679	(11.60 V/m)	Digital: 0XFF
10/02/2016 12:03:25	    91.077 MHz	 17.9 V/m	 -9.2 dBm	OK	IP0: 28532	(11.40 V/m)	Digital: 0XFF
10/02/2016 12:03:30	    91.532 MHz	 18.2 V/m	 -9.2 dBm	OK	IP0: 28523	(11.56 V/m)	Digital: 0XFF
10/02/2016 12:03:35	    91.990 MHz	 18.3 V/m	 -9.2 dBm	OK	IP0: 28487	(11.57 V/m)	Digital: 0XFF
10/02/2016 12:03:41	    92.450 MHz	 18.5 V/m	 -9.1 dBm	OK	IP0: 28485	(11.54 V/m)	Digital: 0XFF
10/02/2016 12:03:46	    92.912 MHz	 18.8 V/m	 -8.9 dBm	OK	IP0: 28579	(11.50 V/m)	Digital: 0XFF
10/02/2016 12:03:51	    93.377 MHz	 19.0 V/m	 -8.7 dBm	OK	IP0: 28572	(11.52 V/m)	Digital: 0XFF
10/02/2016 12:03:57	    93.843 MHz	 19.3 V/m	 -8.5 dBm	OK	IP0: 28685	(11.50 V/m)	Digital: 0XFF
