11/02/2016 10:12:59	    80.000 MHz	 12.6 V/m	 -9.4 dBm	OK	IP0: 29903	(10.50 V/m)	Digital: 0XFF
11/02/2016 10:13:04	    80.400 MHz	 13.8 V/m	 -8.6 dBm	OK	IP0: 30240	(11.44 V/m)	Digital: 0XFF
11/02/2016 10:13:09	    80.802 MHz	 13.9 V/m	 -8.5 dBm	OK	IP0: 30202	(11.58 V/m)	Digital: 0XFF
11/02/2016 10:13:15	    81.206 MHz	 13.7 V/m	 -8.7 dBm	OK	IP0: 30069	(11.46 V/m)	Digital: 0XFF
11/02/2016 10:13:21	    81.612 MHz	 13.6 V/m	 -8.8 dBm	OK	IP0: 29996	(11.43 V/m)	Digital: 0XFF
11/02/2016 10:13:27	    82.020 MHz	 13.5 V/m	 -8.9 dBm	OK	IP0: 29905	(11.43 V/m)	Digital: 0XFF
11/02/2016 10:13:32	    82.430 MHz	 13.5 V/m	 -9.0 dBm	OK	IP0: 29818	(11.43 V/m)	Digital: 0XFF
11/02/2016 10:13:38	    82.842 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 29744	(11.46 V/m)	Digital: 0XFF
11/02/2016 10:13:44	    83.257 MHz	 13.4 V/m	 -9.2 dBm	OK	IP0: 29661	(11.48 V/m)	Digital: 0XFF
11/02/2016 10:13:50	    83.673 MHz	 13.3 V/m	 -9.3 dBm	OK	IP0: 29563	(11.48 V/m)	Digital: 0XFF
11/02/2016 10:13:56	    84.091 MHz	 13.3 V/m	 -9.4 dBm	OK	IP0: 29492	(11.49 V/m)	Digital: 0XFF
11/02/2016 10:14:02	    84.512 MHz	 13.3 V/m	 -9.5 dBm	OK	IP0: 29428	(11.46 V/m)	Digital: 0XFF
11/02/2016 10:14:08	    84.934 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 29366	(11.45 V/m)	Digital: 0XFF
11/02/2016 10:14:14	    85.359 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 29312	(11.43 V/m)	Digital: 0XFF
