15/02/2016 16:26:19	     0.150 MHz	 18.2 V/m	-11.8 dBm	FAIL (LIMIT)
15/02/2016 16:26:22	     0.160 MHz	  9.7 V/m	-12.0 dBm	FAIL (LIMIT)
15/02/2016 16:26:26	     0.170 MHz	  8.9 V/m	-12.1 dBm	FAIL (LIMIT)
15/02/2016 16:26:29	     0.180 MHz	  8.3 V/m	-12.3 dBm	FAIL (LIMIT)
15/02/2016 16:26:32	     0.190 MHz	  8.2 V/m	-12.4 dBm	FAIL (LIMIT)
15/02/2016 16:26:35	     0.200 MHz	  8.0 V/m	-12.6 dBm	FAIL (LIMIT)
15/02/2016 16:26:38	     0.210 MHz	  8.2 V/m	-12.6 dBm	FAIL (LIMIT)
15/02/2016 16:26:41	     0.220 MHz	  8.3 V/m	-12.7 dBm	FAIL (LIMIT)
15/02/2016 16:26:44	     0.230 MHz	  8.5 V/m	-12.7 dBm	FAIL (LIMIT)
15/02/2016 16:26:47	     0.240 MHz	  8.9 V/m	-12.7 dBm	FAIL (LIMIT)
15/02/2016 16:26:50	     0.250 MHz	  9.0 V/m	-12.8 dBm	FAIL (LIMIT)
15/02/2016 16:26:55	     0.260 MHz	  9.4 V/m	-12.8 dBm	FAIL (LIMIT)
15/02/2016 16:26:58	     0.270 MHz	  9.7 V/m	-12.8 dBm	FAIL (LIMIT)
15/02/2016 16:27:02	     0.280 MHz	  9.9 V/m	-12.8 dBm	FAIL (LIMIT)
15/02/2016 16:27:08	     0.290 MHz	 10.4 V/m	-12.8 dBm	OK
15/02/2016 16:27:12	     0.300 MHz	 10.7 V/m	-12.8 dBm	OK
15/02/2016 16:27:16	     0.310 MHz	 11.0 V/m	-12.8 dBm	OK
15/02/2016 16:27:19	     0.320 MHz	 11.2 V/m	-12.8 dBm	OK
15/02/2016 16:27:22	     0.330 MHz	 11.4 V/m	-12.8 dBm	OK
15/02/2016 16:27:25	     0.340 MHz	 11.4 V/m	-12.8 dBm	OK
15/02/2016 16:27:29	     0.350 MHz	 11.4 V/m	-13.0 dBm	OK
15/02/2016 16:27:33	     0.360 MHz	 11.4 V/m	-13.2 dBm	OK
15/02/2016 16:27:36	     0.370 MHz	 11.4 V/m	-13.2 dBm	OK
15/02/2016 16:27:40	     0.380 MHz	 11.4 V/m	-13.4 dBm	OK
15/02/2016 16:27:44	     0.390 MHz	 11.4 V/m	-13.5 dBm	OK
15/02/2016 16:27:48	     0.400 MHz	 11.4 V/m	-13.6 dBm	OK
15/02/2016 16:27:52	     0.410 MHz	 11.4 V/m	-13.7 dBm	OK
15/02/2016 16:27:56	     0.420 MHz	 11.4 V/m	-13.8 dBm	OK
15/02/2016 16:28:00	     0.430 MHz	 11.4 V/m	-14.0 dBm	OK
15/02/2016 16:28:03	     0.440 MHz	 11.4 V/m	-14.0 dBm	OK
15/02/2016 16:28:07	     0.450 MHz	 11.4 V/m	-14.2 dBm	OK
15/02/2016 16:28:10	     0.460 MHz	 11.4 V/m	-14.2 dBm	OK
