16/02/2016 10:54:50	    27.000 MHz	  1.1 V/m	 -1.4 dBm	FAIL (LIMIT)
16/02/2016 10:55:01	    27.135 MHz	 11.4 V/m	 -9.6 dBm	OK
16/02/2016 10:55:05	    27.271 MHz	 11.4 V/m	 -9.6 dBm	OK
16/02/2016 10:55:09	    27.407 MHz	 11.4 V/m	 -9.8 dBm	OK
16/02/2016 10:55:12	    27.544 MHz	 11.4 V/m	 -9.8 dBm	OK
16/02/2016 10:55:15	    27.682 MHz	 11.2 V/m	 -9.8 dBm	OK
16/02/2016 10:55:18	    27.820 MHz	 11.0 V/m	 -9.8 dBm	OK
16/02/2016 10:55:21	    27.959 MHz	 10.5 V/m	 -9.8 dBm	OK
16/02/2016 10:55:24	    28.099 MHz	 10.4 V/m	 -9.8 dBm	OK
16/02/2016 10:55:28	    28.240 MHz	 10.5 V/m	 -9.2 dBm	OK
16/02/2016 10:55:32	    28.381 MHz	 10.4 V/m	 -9.0 dBm	OK
16/02/2016 10:55:36	    28.523 MHz	 10.5 V/m	 -8.6 dBm	OK
16/02/2016 10:55:39	    28.665 MHz	 10.4 V/m	 -8.6 dBm	OK
16/02/2016 10:55:43	    28.809 MHz	 10.7 V/m	 -8.0 dBm	OK
16/02/2016 10:55:46	    28.953 MHz	 10.5 V/m	 -8.0 dBm	OK
16/02/2016 10:55:49	    29.097 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:55:53	    29.243 MHz	 10.4 V/m	 -8.0 dBm	OK
16/02/2016 10:55:57	    29.389 MHz	 10.4 V/m	 -7.8 dBm	OK
16/02/2016 10:56:01	    29.536 MHz	 10.4 V/m	 -7.8 dBm	OK
16/02/2016 10:56:05	    29.684 MHz	 10.4 V/m	 -7.8 dBm	OK
16/02/2016 10:56:08	    29.832 MHz	 10.4 V/m	 -7.8 dBm	OK
16/02/2016 10:56:12	    29.981 MHz	 10.5 V/m	 -7.6 dBm	OK
16/02/2016 10:56:15	    30.131 MHz	 10.4 V/m	 -7.6 dBm	OK
16/02/2016 10:56:19	    30.282 MHz	 10.4 V/m	 -7.4 dBm	OK
16/02/2016 10:56:23	    30.433 MHz	 10.4 V/m	 -7.4 dBm	OK
16/02/2016 10:56:27	    30.585 MHz	 10.5 V/m	 -7.0 dBm	OK
16/02/2016 10:56:30	    30.738 MHz	 10.4 V/m	 -7.0 dBm	OK
16/02/2016 10:56:34	    30.892 MHz	 10.5 V/m	 -6.6 dBm	OK
16/02/2016 10:56:37	    31.047 MHz	 10.7 V/m	 -6.6 dBm	OK
16/02/2016 10:56:40	    31.202 MHz	 10.7 V/m	 -6.6 dBm	OK
16/02/2016 10:56:43	    31.358 MHz	 10.7 V/m	 -6.6 dBm	OK
16/02/2016 10:56:46	    31.515 MHz	 10.5 V/m	 -6.6 dBm	OK
16/02/2016 10:56:49	    31.672 MHz	 10.4 V/m	 -6.6 dBm	OK
16/02/2016 10:56:53	    31.831 MHz	 10.5 V/m	 -6.2 dBm	OK
16/02/2016 10:56:56	    31.990 MHz	 10.4 V/m	 -6.2 dBm	OK
16/02/2016 10:57:01	    32.150 MHz	 10.7 V/m	 -5.6 dBm	OK
16/02/2016 10:57:05	    32.310 MHz	 10.7 V/m	 -5.6 dBm	OK
16/02/2016 10:57:08	    32.472 MHz	 10.5 V/m	 -5.6 dBm	OK
16/02/2016 10:57:12	    32.634 MHz	 10.7 V/m	 -5.2 dBm	OK
16/02/2016 10:57:15	    32.797 MHz	 10.7 V/m	 -5.2 dBm	OK
16/02/2016 10:57:18	    32.961 MHz	 10.4 V/m	 -5.2 dBm	OK
16/02/2016 10:57:21	    33.126 MHz	 10.4 V/m	 -5.2 dBm	OK
16/02/2016 10:57:24	    33.292 MHz	 10.4 V/m	 -5.2 dBm	OK
16/02/2016 10:57:28	    33.458 MHz	 10.4 V/m	 -5.0 dBm	OK
16/02/2016 10:57:32	    33.626 MHz	 10.4 V/m	 -5.0 dBm	OK
16/02/2016 10:57:36	    33.794 MHz	 10.4 V/m	 -5.0 dBm	OK
