15/02/2016 15:14:53	    80.000 MHz	 14.7 V/m	 -9.2 dBm	OK	IP0: 29915	(10.45 V/m)	Digital: 0XFF
15/02/2016 15:14:58	    80.400 MHz	 15.7 V/m	 -8.3 dBm	OK	IP0: 30265	(11.49 V/m)	Digital: 0XFF
15/02/2016 15:15:04	    80.802 MHz	 15.2 V/m	 -8.5 dBm	OK	IP0: 30163	(11.45 V/m)	Digital: 0XFF
15/02/2016 15:15:09	    81.206 MHz	 14.8 V/m	 -8.6 dBm	OK	IP0: 30059	(11.44 V/m)	Digital: 0XFF
15/02/2016 15:15:15	    81.612 MHz	 14.6 V/m	 -8.7 dBm	OK	IP0: 29988	(11.44 V/m)	Digital: 0XFF
15/02/2016 15:15:21	    82.020 MHz	 14.5 V/m	 -8.8 dBm	OK	IP0: 29913	(11.46 V/m)	Digital: 0XFF
15/02/2016 15:15:27	    82.430 MHz	 14.4 V/m	 -9.0 dBm	OK	IP0: 29831	(11.46 V/m)	Digital: 0XFF
15/02/2016 15:15:33	    82.842 MHz	 14.3 V/m	 -9.1 dBm	OK	IP0: 29747	(11.47 V/m)	Digital: 0XFF
15/02/2016 15:15:39	    83.257 MHz	 14.2 V/m	 -9.2 dBm	OK	IP0: 29664	(11.48 V/m)	Digital: 0XFF
15/02/2016 15:15:45	    83.673 MHz	 14.2 V/m	 -9.4 dBm	OK	IP0: 29581	(11.50 V/m)	Digital: 0XFF
15/02/2016 15:15:51	    84.091 MHz	 14.0 V/m	 -9.5 dBm	OK	IP0: 29501	(11.51 V/m)	Digital: 0XFF
15/02/2016 15:15:57	    84.512 MHz	 13.8 V/m	 -9.6 dBm	OK	IP0: 29440	(11.48 V/m)	Digital: 0XFF
15/02/2016 15:16:03	    84.934 MHz	 13.6 V/m	 -9.7 dBm	OK	IP0: 29383	(11.48 V/m)	Digital: 0XFF
15/02/2016 15:16:09	    85.359 MHz	 13.3 V/m	 -9.7 dBm	OK	IP0: 29313	(11.46 V/m)	Digital: 0XFF
15/02/2016 15:16:15	    85.786 MHz	 13.1 V/m	 -9.7 dBm	OK	IP0: 29251	(11.44 V/m)	Digital: 0XFF
15/02/2016 15:16:21	    86.215 MHz	 13.0 V/m	 -9.5 dBm	OK	IP0: 29258	(11.60 V/m)	Digital: 0XFF
15/02/2016 15:16:27	    86.646 MHz	 12.6 V/m	 -9.6 dBm	OK	IP0: 29127	(11.44 V/m)	Digital: 0XFF
