18/02/2016 11:22:46	    80.000 MHz	 17.7 V/m	 -8.9 dBm	OK	IP0: 30038	(10.78 V/m)	Digital: 0XFF
18/02/2016 11:22:51	    80.400 MHz	 18.7 V/m	 -8.3 dBm	OK	IP0: 30253	(11.51 V/m)	Digital: 0XFF
18/02/2016 11:22:57	    80.802 MHz	 18.3 V/m	 -8.4 dBm	OK	IP0: 30140	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:23:03	    81.206 MHz	 18.3 V/m	 -8.4 dBm	OK	IP0: 30146	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:23:09	    81.612 MHz	 17.8 V/m	 -8.6 dBm	OK	IP0: 30032	(11.49 V/m)	Digital: 0XFF
18/02/2016 11:23:15	    82.020 MHz	 17.5 V/m	 -8.8 dBm	OK	IP0: 29926	(11.45 V/m)	Digital: 0XFF
18/02/2016 11:23:21	    82.430 MHz	 17.4 V/m	 -8.9 dBm	OK	IP0: 29830	(11.46 V/m)	Digital: 0XFF
18/02/2016 11:23:27	    82.842 MHz	 17.3 V/m	 -9.0 dBm	OK	IP0: 29727	(11.47 V/m)	Digital: 0XFF
18/02/2016 11:23:33	    83.257 MHz	 17.3 V/m	 -9.1 dBm	OK	IP0: 29646	(11.46 V/m)	Digital: 0XFF
18/02/2016 11:23:39	    83.673 MHz	 17.3 V/m	 -9.2 dBm	OK	IP0: 29570	(11.48 V/m)	Digital: 0XFF
18/02/2016 11:23:45	    84.091 MHz	 17.1 V/m	 -9.3 dBm	OK	IP0: 29502	(11.48 V/m)	Digital: 0XFF
18/02/2016 11:23:51	    84.512 MHz	 17.2 V/m	 -9.3 dBm	OK	IP0: 29420	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:23:57	    84.934 MHz	 17.3 V/m	 -9.4 dBm	OK	IP0: 29388	(11.47 V/m)	Digital: 0XFF
18/02/2016 11:24:03	    85.359 MHz	 17.5 V/m	 -9.4 dBm	OK	IP0: 29314	(11.47 V/m)	Digital: 0XFF
18/02/2016 11:24:09	    85.786 MHz	 17.7 V/m	 -9.4 dBm	OK	IP0: 29223	(11.43 V/m)	Digital: 0XFF
18/02/2016 11:24:14	    86.215 MHz	 18.3 V/m	 -9.2 dBm	OK	IP0: 29247	(11.58 V/m)	Digital: 0XFF
18/02/2016 11:24:19	    86.646 MHz	 18.3 V/m	 -9.2 dBm	OK	IP0: 29153	(11.46 V/m)	Digital: 0XFF
18/02/2016 11:24:25	    87.079 MHz	 18.5 V/m	 -9.2 dBm	OK	IP0: 29079	(11.45 V/m)	Digital: 0XFF
18/02/2016 11:24:31	    87.514 MHz	 18.7 V/m	 -9.2 dBm	OK	IP0: 28993	(11.42 V/m)	Digital: 0XFF
18/02/2016 11:24:36	    87.952 MHz	 19.2 V/m	 -9.0 dBm	OK	IP0: 29034	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:24:42	    88.392 MHz	 18.7 V/m	 -9.1 dBm	OK	IP0: 28934	(11.46 V/m)	Digital: 0XFF
18/02/2016 11:24:47	    88.834 MHz	 18.0 V/m	 -9.2 dBm	OK	IP0: 28856	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:24:52	    89.278 MHz	 17.7 V/m	 -9.1 dBm	OK	IP0: 28869	(11.60 V/m)	Digital: 0XFF
18/02/2016 11:24:58	    89.724 MHz	 16.9 V/m	 -9.2 dBm	OK	IP0: 28716	(11.42 V/m)	Digital: 0XFF
18/02/2016 11:25:03	    90.173 MHz	 16.9 V/m	 -9.1 dBm	OK	IP0: 28712	(11.56 V/m)	Digital: 0XFF
18/02/2016 11:25:08	    90.624 MHz	 17.1 V/m	 -9.1 dBm	OK	IP0: 28659	(11.58 V/m)	Digital: 0XFF
18/02/2016 11:25:14	    91.077 MHz	 17.4 V/m	 -9.1 dBm	OK	IP0: 28605	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:25:19	    91.532 MHz	 17.7 V/m	 -9.1 dBm	OK	IP0: 28537	(11.60 V/m)	Digital: 0XFF
18/02/2016 11:25:24	    91.990 MHz	 17.9 V/m	 -9.1 dBm	OK	IP0: 28474	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:25:30	    92.450 MHz	 18.4 V/m	 -9.0 dBm	OK	IP0: 28499	(11.53 V/m)	Digital: 0XFF
18/02/2016 11:25:35	    92.912 MHz	 18.8 V/m	 -8.9 dBm	OK	IP0: 28541	(11.53 V/m)	Digital: 0XFF
18/02/2016 11:25:41	    93.377 MHz	 19.0 V/m	 -8.7 dBm	OK	IP0: 28613	(11.52 V/m)	Digital: 0XFF
18/02/2016 11:25:47	    93.843 MHz	 19.0 V/m	 -8.6 dBm	OK	IP0: 28694	(11.55 V/m)	Digital: 0XFF
18/02/2016 11:25:52	    94.313 MHz	 18.8 V/m	 -8.5 dBm	OK	IP0: 28766	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:25:58	    94.784 MHz	 18.3 V/m	 -8.7 dBm	OK	IP0: 28728	(11.41 V/m)	Digital: 0XFF
18/02/2016 11:26:03	    95.258 MHz	 18.9 V/m	 -8.5 dBm	OK	IP0: 28876	(11.56 V/m)	Digital: 0XFF
18/02/2016 11:26:09	    95.734 MHz	 18.9 V/m	 -8.7 dBm	OK	IP0: 28853	(11.42 V/m)	Digital: 0XFF
18/02/2016 11:26:15	    96.213 MHz	 19.6 V/m	 -8.5 dBm	OK	IP0: 28983	(11.56 V/m)	Digital: 0XFF
18/02/2016 11:26:21	    96.694 MHz	 19.7 V/m	 -8.7 dBm	OK	IP0: 28989	(11.43 V/m)	Digital: 0XFF
18/02/2016 11:26:27	    97.178 MHz	 20.2 V/m	 -8.6 dBm	OK	IP0: 29137	(11.58 V/m)	Digital: 0XFF
18/02/2016 11:26:33	    97.664 MHz	 19.8 V/m	 -8.8 dBm	OK	IP0: 29130	(11.45 V/m)	Digital: 0XFF
18/02/2016 11:26:39	    98.152 MHz	 20.0 V/m	 -8.7 dBm	OK	IP0: 29253	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:26:45	    98.643 MHz	 19.5 V/m	 -8.9 dBm	OK	IP0: 29221	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:26:50	    99.136 MHz	 19.9 V/m	 -8.7 dBm	OK	IP0: 29336	(11.55 V/m)	Digital: 0XFF
18/02/2016 11:26:55	    99.632 MHz	 20.3 V/m	 -8.6 dBm	OK	IP0: 29435	(11.59 V/m)	Digital: 0XFF
18/02/2016 11:27:01	   100.130 MHz	 20.1 V/m	 -8.8 dBm	OK	IP0: 29413	(11.45 V/m)	Digital: 0XFF
18/02/2016 11:27:07	   100.630 MHz	 19.8 V/m	 -9.0 dBm	OK	IP0: 29363	(11.48 V/m)	Digital: 0XFF
18/02/2016 11:27:13	   101.133 MHz	 19.5 V/m	 -9.2 dBm	OK	IP0: 29290	(11.48 V/m)	Digital: 0XFF
18/02/2016 11:27:19	   101.639 MHz	 19.2 V/m	 -9.4 dBm	OK	IP0: 29234	(11.47 V/m)	Digital: 0XFF
18/02/2016 11:27:25	   102.147 MHz	 18.9 V/m	 -9.6 dBm	OK	IP0: 29201	(11.47 V/m)	Digital: 0XFF
18/02/2016 11:27:31	   102.658 MHz	 18.5 V/m	 -9.8 dBm	OK	IP0: 29177	(11.52 V/m)	Digital: 0XFF
18/02/2016 11:27:37	   103.171 MHz	 17.9 V/m	-10.0 dBm	OK	IP0: 29108	(11.53 V/m)	Digital: 0XFF
18/02/2016 11:27:43	   103.687 MHz	 17.5 V/m	-10.2 dBm	OK	IP0: 29026	(11.50 V/m)	Digital: 0XFF
18/02/2016 11:27:49	   104.206 MHz	 17.3 V/m	-10.3 dBm	OK	IP0: 29001	(11.49 V/m)	Digital: 0XFF
18/02/2016 11:27:55	   104.727 MHz	 17.2 V/m	-10.4 dBm	OK	IP0: 29014	(11.49 V/m)	Digital: 0XFF
18/02/2016 11:28:01	   105.250 MHz	 17.0 V/m	-10.5 dBm	OK	IP0: 28986	(11.50 V/m)	Digital: 0XFF
18/02/2016 11:28:07	   105.777 MHz	 16.9 V/m	-10.5 dBm	OK	IP0: 28969	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:28:13	   106.305 MHz	 16.8 V/m	-10.4 dBm	OK	IP0: 28999	(11.44 V/m)	Digital: 0XFF
18/02/2016 11:28:19	   106.837 MHz	 16.6 V/m	-10.5 dBm	OK	IP0: 28999	(11.47 V/m)	Digital: 0XFF
