22/02/2016 11:44:30	    80.000 MHz	 20.2 V/m	 -6.6 dBm	OK	IP0: 31146	(10.55 V/m)	Digital: 0XFF
22/02/2016 11:44:35	    80.400 MHz	 19.4 V/m	 -6.6 dBm	OK	IP0: 31059	(10.88 V/m)	Digital: 0XFF
22/02/2016 11:44:40	    80.802 MHz	 19.1 V/m	 -6.6 dBm	OK	IP0: 31021	(10.86 V/m)	Digital: 0XFF
22/02/2016 11:44:45	    81.206 MHz	 18.8 V/m	 -6.6 dBm	OK	IP0: 31030	(10.95 V/m)	Digital: 0XFF
22/02/2016 11:44:50	    81.612 MHz	 18.6 V/m	 -6.6 dBm	OK	IP0: 30993	(11.16 V/m)	Digital: 0XFF
22/02/2016 11:44:55	    82.020 MHz	 18.4 V/m	 -6.6 dBm	OK	IP0: 30991	(11.26 V/m)	Digital: 0XFF
22/02/2016 11:45:00	    82.430 MHz	 18.2 V/m	 -6.6 dBm	OK	IP0: 30993	(11.46 V/m)	Digital: 0XFF
22/02/2016 11:45:06	    82.842 MHz	 13.9 V/m	 -9.1 dBm	OK	IP0: 29801	(11.58 V/m)	Digital: 0XFF
22/02/2016 11:45:12	    83.257 MHz	 13.5 V/m	 -9.3 dBm	OK	IP0: 29644	(11.50 V/m)	Digital: 0XFF
22/02/2016 11:45:17	    83.673 MHz	 13.6 V/m	 -9.4 dBm	OK	IP0: 29598	(11.47 V/m)	Digital: 0XFF
22/02/2016 11:45:23	    84.091 MHz	 13.5 V/m	 -9.5 dBm	OK	IP0: 29458	(11.50 V/m)	Digital: 0XFF
22/02/2016 11:45:29	    84.512 MHz	 13.7 V/m	 -9.5 dBm	OK	IP0: 29448	(11.42 V/m)	Digital: 0XFF
22/02/2016 11:45:35	    84.934 MHz	 13.7 V/m	 -9.5 dBm	OK	IP0: 29331	(11.43 V/m)	Digital: 0XFF
22/02/2016 11:45:41	    85.359 MHz	 13.7 V/m	 -9.3 dBm	OK	IP0: 29388	(11.56 V/m)	Digital: 0XFF
22/02/2016 11:45:47	    85.786 MHz	 13.3 V/m	 -9.4 dBm	OK	IP0: 29241	(11.45 V/m)	Digital: 0XFF
22/02/2016 11:45:52	    86.215 MHz	 13.4 V/m	 -9.2 dBm	OK	IP0: 29268	(11.57 V/m)	Digital: 0XFF
22/02/2016 11:45:58	    86.646 MHz	 13.3 V/m	 -9.2 dBm	OK	IP0: 29099	(11.43 V/m)	Digital: 0XFF
22/02/2016 11:46:04	    87.079 MHz	 13.7 V/m	 -9.0 dBm	OK	IP0: 29150	(11.55 V/m)	Digital: 0XFF
22/02/2016 11:46:10	    87.514 MHz	 13.6 V/m	 -9.0 dBm	OK	IP0: 28988	(11.44 V/m)	Digital: 0XFF
22/02/2016 11:46:16	    87.952 MHz	 14.0 V/m	 -8.8 dBm	OK	IP0: 29048	(11.55 V/m)	Digital: 0XFF
22/02/2016 11:46:22	    88.392 MHz	 13.8 V/m	 -8.9 dBm	OK	IP0: 28896	(11.46 V/m)	Digital: 0XFF
22/02/2016 11:46:28	    88.834 MHz	 14.0 V/m	 -8.7 dBm	OK	IP0: 28914	(11.58 V/m)	Digital: 0XFF
22/02/2016 11:46:33	    89.278 MHz	 13.8 V/m	 -8.8 dBm	OK	IP0: 28820	(11.44 V/m)	Digital: 0XFF
22/02/2016 11:46:39	    89.724 MHz	 14.0 V/m	 -8.7 dBm	OK	IP0: 28780	(11.59 V/m)	Digital: 0XFF
22/02/2016 11:46:44	    90.173 MHz	 13.8 V/m	 -8.9 dBm	OK	IP0: 28652	(11.42 V/m)	Digital: 0XFF
22/02/2016 11:46:50	    90.624 MHz	 13.6 V/m	 -9.0 dBm	OK	IP0: 28602	(11.40 V/m)	Digital: 0XFF
22/02/2016 11:46:56	    91.077 MHz	 13.5 V/m	 -8.9 dBm	OK	IP0: 28591	(11.60 V/m)	Digital: 0XFF
22/02/2016 11:47:02	    91.532 MHz	 13.1 V/m	 -9.1 dBm	OK	IP0: 28447	(11.40 V/m)	Digital: 0XFF
22/02/2016 11:47:08	    91.990 MHz	 13.1 V/m	 -9.1 dBm	OK	IP0: 28489	(11.56 V/m)	Digital: 0XFF
22/02/2016 11:47:13	    92.450 MHz	 13.1 V/m	 -9.0 dBm	OK	IP0: 28481	(11.55 V/m)	Digital: 0XFF
22/02/2016 11:47:19	    92.912 MHz	 13.3 V/m	 -8.9 dBm	OK	IP0: 28582	(11.52 V/m)	Digital: 0XFF
22/02/2016 11:47:25	    93.377 MHz	 13.3 V/m	 -8.8 dBm	OK	IP0: 28610	(11.58 V/m)	Digital: 0XFF
22/02/2016 11:47:31	    93.843 MHz	 13.4 V/m	 -8.6 dBm	OK	IP0: 28677	(11.55 V/m)	Digital: 0XFF
22/02/2016 11:47:36	    94.313 MHz	 13.4 V/m	 -8.5 dBm	OK	IP0: 28781	(11.59 V/m)	Digital: 0XFF
