02/03/2016 13:57:28	     0.150 MHz	  3.9 V/m	  5.6 dBm	OK
02/03/2016 13:57:31	     0.160 MHz	  4.1 V/m	  5.6 dBm	OK
02/03/2016 13:57:35	     0.170 MHz	  4.5 V/m	  5.6 dBm	OK
02/03/2016 13:57:38	     0.180 MHz	  5.0 V/m	  5.6 dBm	OK
02/03/2016 13:57:42	     0.190 MHz	  4.9 V/m	  4.7 dBm	OK
02/03/2016 13:57:46	     0.200 MHz	  4.9 V/m	  4.3 dBm	OK
02/03/2016 13:57:50	     0.210 MHz	  5.0 V/m	  3.9 dBm	OK
02/03/2016 13:57:54	     0.220 MHz	  5.0 V/m	  3.5 dBm	OK
02/03/2016 13:57:58	     0.230 MHz	  4.8 V/m	  2.7 dBm	OK
02/03/2016 13:58:01	     0.240 MHz	  5.0 V/m	  2.7 dBm	OK
02/03/2016 13:58:05	     0.250 MHz	  4.7 V/m	  1.9 dBm	OK
02/03/2016 13:58:08	     0.260 MHz	  4.8 V/m	  1.9 dBm	OK
02/03/2016 13:58:11	     0.270 MHz	  5.0 V/m	  1.9 dBm	OK
02/03/2016 13:58:15	     0.280 MHz	  4.9 V/m	  1.5 dBm	OK
02/03/2016 13:58:18	     0.290 MHz	  5.0 V/m	  1.5 dBm	OK
02/03/2016 13:58:22	     0.300 MHz	  4.9 V/m	  1.1 dBm	OK
02/03/2016 13:58:25	     0.310 MHz	  5.0 V/m	  1.1 dBm	OK
02/03/2016 13:58:29	     0.320 MHz	  4.7 V/m	  0.3 dBm	OK
02/03/2016 13:58:32	     0.330 MHz	  4.8 V/m	  0.3 dBm	OK
02/03/2016 13:58:36	     0.340 MHz	  4.9 V/m	  0.3 dBm	OK
02/03/2016 13:58:39	     0.350 MHz	  5.0 V/m	  0.3 dBm	OK
02/03/2016 13:58:42	     0.360 MHz	  5.0 V/m	  0.3 dBm	OK
02/03/2016 13:58:46	     0.370 MHz	  4.9 V/m	 -0.1 dBm	OK
02/03/2016 13:58:49	     0.380 MHz	  5.0 V/m	 -0.1 dBm	OK
02/03/2016 13:58:53	     0.390 MHz	  4.8 V/m	 -0.5 dBm	OK
02/03/2016 13:58:56	     0.400 MHz	  4.9 V/m	 -0.5 dBm	OK
02/03/2016 13:58:59	     0.410 MHz	  5.0 V/m	 -0.5 dBm	OK
02/03/2016 13:59:02	     0.420 MHz	  5.0 V/m	 -0.5 dBm	OK
02/03/2016 13:59:06	     0.430 MHz	  4.9 V/m	 -0.9 dBm	OK
02/03/2016 13:59:09	     0.440 MHz	  4.9 V/m	 -0.9 dBm	OK
