02/03/2016 14:11:34	     5.000 MHz	  3.9 V/m	 -8.7 dBm	OK
02/03/2016 14:11:37	     5.025 MHz	  3.9 V/m	 -8.7 dBm	OK
02/03/2016 14:11:40	     5.050 MHz	  3.9 V/m	 -8.7 dBm	OK
02/03/2016 14:11:43	     5.075 MHz	  3.9 V/m	 -8.7 dBm	OK
02/03/2016 14:11:47	     5.101 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:11:50	     5.126 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:11:53	     5.152 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:11:56	     5.178 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:11:59	     5.204 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:02	     5.230 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:05	     5.256 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:08	     5.282 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:11	     5.308 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:14	     5.335 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:17	     5.362 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:20	     5.388 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:23	     5.415 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:26	     5.442 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:29	     5.470 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:32	     5.497 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:35	     5.524 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:38	     5.552 MHz	  4.0 V/m	 -8.3 dBm	OK
02/03/2016 14:12:41	     5.580 MHz	  3.9 V/m	 -8.3 dBm	OK
02/03/2016 14:12:44	     5.608 MHz	  3.9 V/m	 -8.3 dBm	OK
02/03/2016 14:12:47	     5.636 MHz	  3.9 V/m	 -8.3 dBm	OK
02/03/2016 14:12:50	     5.664 MHz	  3.9 V/m	 -8.3 dBm	OK
02/03/2016 14:12:53	     5.692 MHz	  3.9 V/m	 -8.3 dBm	OK
02/03/2016 14:12:57	     5.721 MHz	  4.0 V/m	 -7.9 dBm	OK
02/03/2016 14:13:00	     5.749 MHz	  4.0 V/m	 -7.9 dBm	OK
02/03/2016 14:13:03	     5.778 MHz	  4.0 V/m	 -7.9 dBm	OK
02/03/2016 14:13:06	     5.807 MHz	  4.0 V/m	 -7.9 dBm	OK
02/03/2016 14:13:09	     5.836 MHz	  3.9 V/m	 -7.9 dBm	OK
02/03/2016 14:13:12	     5.865 MHz	  3.9 V/m	 -7.9 dBm	OK
02/03/2016 14:13:15	     5.895 MHz	  3.9 V/m	 -7.9 dBm	OK
02/03/2016 14:13:18	     5.924 MHz	  3.9 V/m	 -7.9 dBm	OK
02/03/2016 14:13:22	     5.954 MHz	  4.0 V/m	 -7.5 dBm	OK
02/03/2016 14:13:25	     5.983 MHz	  4.0 V/m	 -7.5 dBm	OK
02/03/2016 14:13:28	     6.013 MHz	  4.0 V/m	 -7.5 dBm	OK
02/03/2016 14:13:31	     6.043 MHz	  4.0 V/m	 -7.5 dBm	OK
02/03/2016 14:13:34	     6.074 MHz	  3.9 V/m	 -7.5 dBm	OK
02/03/2016 14:13:37	     6.104 MHz	  3.9 V/m	 -7.5 dBm	OK
02/03/2016 14:13:40	     6.134 MHz	  3.9 V/m	 -7.5 dBm	OK
02/03/2016 14:13:43	     6.165 MHz	  3.9 V/m	 -7.5 dBm	OK
02/03/2016 14:13:47	     6.196 MHz	  4.0 V/m	 -7.1 dBm	OK
02/03/2016 14:13:50	     6.227 MHz	  4.0 V/m	 -7.1 dBm	OK
02/03/2016 14:13:53	     6.258 MHz	  4.0 V/m	 -7.1 dBm	OK
02/03/2016 14:13:56	     6.289 MHz	  4.0 V/m	 -7.1 dBm	OK
02/03/2016 14:13:59	     6.321 MHz	  3.9 V/m	 -7.1 dBm	OK
02/03/2016 14:14:02	     6.352 MHz	  3.9 V/m	 -7.1 dBm	OK
02/03/2016 14:14:05	     6.384 MHz	  3.9 V/m	 -7.1 dBm	OK
02/03/2016 14:14:08	     6.416 MHz	  3.9 V/m	 -7.1 dBm	OK
02/03/2016 14:14:12	     6.448 MHz	  4.0 V/m	 -6.7 dBm	OK
02/03/2016 14:14:15	     6.480 MHz	  4.0 V/m	 -6.7 dBm	OK
02/03/2016 14:14:18	     6.513 MHz	  4.0 V/m	 -6.7 dBm	OK
02/03/2016 14:14:21	     6.545 MHz	  4.0 V/m	 -6.7 dBm	OK
02/03/2016 14:14:24	     6.578 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:27	     6.611 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:30	     6.644 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:33	     6.677 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:36	     6.711 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:39	     6.744 MHz	  3.9 V/m	 -6.7 dBm	OK
02/03/2016 14:14:43	     6.778 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:14:46	     6.812 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:14:49	     6.846 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:14:52	     6.880 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:14:55	     6.915 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:14:58	     6.949 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:01	     6.984 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:04	     7.019 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:07	     7.054 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:10	     7.089 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:13	     7.125 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:16	     7.160 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:19	     7.196 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:22	     7.232 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:25	     7.268 MHz	  4.0 V/m	 -6.3 dBm	OK
02/03/2016 14:15:28	     7.305 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:31	     7.341 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:34	     7.378 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:37	     7.415 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:40	     7.452 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:43	     7.489 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:46	     7.526 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:49	     7.564 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:52	     7.602 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:55	     7.640 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:15:58	     7.678 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:16:01	     7.716 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:16:04	     7.755 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:16:07	     7.794 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:16:10	     7.833 MHz	  4.1 V/m	 -6.3 dBm	OK
02/03/2016 14:16:13	     7.872 MHz	  4.1 V/m	 -6.3 dBm	OK
