17/03/2016 09:25:22	     1.000 MHz	 10.4 V/m	-24.4 dBm	OK
17/03/2016 09:25:26	     1.010 MHz	 10.5 V/m	-24.0 dBm	OK
17/03/2016 09:25:30	     1.020 MHz	 10.5 V/m	-24.0 dBm	OK
17/03/2016 09:25:33	     1.030 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:36	     1.041 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:39	     1.051 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:42	     1.062 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:45	     1.072 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:48	     1.083 MHz	 10.7 V/m	-24.0 dBm	OK
17/03/2016 09:25:52	     1.094 MHz	 11.0 V/m	-24.0 dBm	OK
17/03/2016 09:25:55	     1.105 MHz	 11.0 V/m	-24.0 dBm	OK
17/03/2016 09:25:58	     1.116 MHz	 11.0 V/m	-24.0 dBm	OK
17/03/2016 09:26:01	     1.127 MHz	 11.0 V/m	-24.0 dBm	OK
17/03/2016 09:26:04	     1.138 MHz	 11.0 V/m	-24.0 dBm	OK
17/03/2016 09:26:07	     1.149 MHz	 11.2 V/m	-24.0 dBm	OK
17/03/2016 09:26:10	     1.161 MHz	 11.2 V/m	-24.0 dBm	OK
17/03/2016 09:26:13	     1.173 MHz	 11.2 V/m	-24.0 dBm	OK
17/03/2016 09:26:16	     1.184 MHz	 11.2 V/m	-24.0 dBm	OK
17/03/2016 09:26:19	     1.196 MHz	 11.4 V/m	-24.0 dBm	OK
17/03/2016 09:26:22	     1.208 MHz	 11.4 V/m	-24.0 dBm	OK
17/03/2016 09:26:25	     1.220 MHz	 11.4 V/m	-24.0 dBm	OK
17/03/2016 09:26:29	     1.232 MHz	 11.4 V/m	-24.0 dBm	OK
17/03/2016 09:26:33	     1.245 MHz	 11.4 V/m	-24.2 dBm	OK
17/03/2016 09:26:36	     1.257 MHz	 11.4 V/m	-24.2 dBm	OK
17/03/2016 09:26:39	     1.270 MHz	 11.4 V/m	-24.2 dBm	OK
17/03/2016 09:26:42	     1.282 MHz	 11.4 V/m	-24.2 dBm	OK
17/03/2016 09:26:46	     1.295 MHz	 11.4 V/m	-24.2 dBm	OK
17/03/2016 09:26:50	     1.308 MHz	 11.4 V/m	-24.3 dBm	OK
17/03/2016 09:26:53	     1.321 MHz	 11.4 V/m	-24.3 dBm	OK
17/03/2016 09:26:57	     1.335 MHz	 11.2 V/m	-24.5 dBm	OK
