16/03/2016 11:39:08	    80.000 MHz	 15.4 V/m	 -9.1 dBm	OK	IP0: 29904	(10.56 V/m)	Digital: 0XFF
16/03/2016 11:39:12	    80.400 MHz	 16.6 V/m	 -8.2 dBm	OK	IP0: 30243	(11.49 V/m)	Digital: 0XFF
16/03/2016 11:39:18	    80.802 MHz	 16.1 V/m	 -8.4 dBm	OK	IP0: 30145	(11.45 V/m)	Digital: 0XFF
16/03/2016 11:39:24	    81.206 MHz	 15.9 V/m	 -8.5 dBm	OK	IP0: 30076	(11.44 V/m)	Digital: 0XFF
16/03/2016 11:39:30	    81.612 MHz	 15.7 V/m	 -8.6 dBm	OK	IP0: 30003	(11.45 V/m)	Digital: 0XFF
16/03/2016 11:39:36	    82.020 MHz	 15.5 V/m	 -8.8 dBm	OK	IP0: 29921	(11.48 V/m)	Digital: 0XFF
16/03/2016 11:39:42	    82.430 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 29815	(11.47 V/m)	Digital: 0XFF
16/03/2016 11:39:48	    82.842 MHz	 15.2 V/m	 -9.0 dBm	OK	IP0: 29726	(11.45 V/m)	Digital: 0XFF
16/03/2016 11:39:54	    83.257 MHz	 15.3 V/m	 -9.1 dBm	OK	IP0: 29652	(11.47 V/m)	Digital: 0XFF
16/03/2016 11:40:00	    83.673 MHz	 15.5 V/m	 -9.2 dBm	OK	IP0: 29584	(11.47 V/m)	Digital: 0XFF
16/03/2016 11:40:06	    84.091 MHz	 15.6 V/m	 -9.3 dBm	OK	IP0: 29495	(11.48 V/m)	Digital: 0XFF
16/03/2016 11:40:12	    84.512 MHz	 15.6 V/m	 -9.4 dBm	OK	IP0: 29410	(11.46 V/m)	Digital: 0XFF
16/03/2016 11:40:18	    84.934 MHz	 15.5 V/m	 -9.4 dBm	OK	IP0: 29347	(11.44 V/m)	Digital: 0XFF
16/03/2016 11:40:24	    85.359 MHz	 15.4 V/m	 -9.4 dBm	OK	IP0: 29309	(11.43 V/m)	Digital: 0XFF
16/03/2016 11:40:30	    85.786 MHz	 15.3 V/m	 -9.4 dBm	OK	IP0: 29254	(11.45 V/m)	Digital: 0XFF
16/03/2016 11:40:36	    86.215 MHz	 15.3 V/m	 -9.4 dBm	OK	IP0: 29202	(11.45 V/m)	Digital: 0XFF
16/03/2016 11:40:42	    86.646 MHz	 15.3 V/m	 -9.4 dBm	OK	IP0: 29132	(11.44 V/m)	Digital: 0XFF
16/03/2016 11:40:48	    87.079 MHz	 15.3 V/m	 -9.3 dBm	OK	IP0: 29048	(11.42 V/m)	Digital: 0XFF
16/03/2016 11:40:53	    87.514 MHz	 15.7 V/m	 -9.1 dBm	OK	IP0: 29072	(11.58 V/m)	Digital: 0XFF
16/03/2016 11:40:59	    87.952 MHz	 15.6 V/m	 -9.1 dBm	OK	IP0: 29002	(11.47 V/m)	Digital: 0XFF
16/03/2016 11:41:04	    88.392 MHz	 15.6 V/m	 -9.2 dBm	OK	IP0: 28924	(11.46 V/m)	Digital: 0XFF
16/03/2016 11:41:10	    88.834 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 28827	(11.44 V/m)	Digital: 0XFF
16/03/2016 11:41:16	    89.278 MHz	 16.0 V/m	 -9.1 dBm	OK	IP0: 28843	(11.58 V/m)	Digital: 0XFF
16/03/2016 11:41:22	    89.724 MHz	 15.8 V/m	 -9.2 dBm	OK	IP0: 28751	(11.42 V/m)	Digital: 0XFF
16/03/2016 11:41:28	    90.173 MHz	 15.7 V/m	 -9.4 dBm	OK	IP0: 28628	(11.43 V/m)	Digital: 0XFF
16/03/2016 11:41:33	    90.624 MHz	 16.0 V/m	 -9.2 dBm	OK	IP0: 28665	(11.56 V/m)	Digital: 0XFF
16/03/2016 11:41:39	    91.077 MHz	 15.6 V/m	 -9.5 dBm	OK	IP0: 28548	(11.43 V/m)	Digital: 0XFF
16/03/2016 11:41:44	    91.532 MHz	 15.6 V/m	 -9.5 dBm	OK	IP0: 28515	(11.59 V/m)	Digital: 0XFF
16/03/2016 11:41:49	    91.990 MHz	 15.5 V/m	 -9.5 dBm	OK	IP0: 28471	(11.58 V/m)	Digital: 0XFF
16/03/2016 11:41:55	    92.450 MHz	 15.8 V/m	 -9.4 dBm	OK	IP0: 28528	(11.54 V/m)	Digital: 0XFF
16/03/2016 11:42:00	    92.912 MHz	 16.4 V/m	 -9.2 dBm	OK	IP0: 28528	(11.54 V/m)	Digital: 0XFF
16/03/2016 11:42:05	    93.377 MHz	 17.1 V/m	 -9.1 dBm	OK	IP0: 28624	(11.51 V/m)	Digital: 0XFF
16/03/2016 11:42:11	    93.843 MHz	 17.7 V/m	 -9.0 dBm	OK	IP0: 28676	(11.56 V/m)	Digital: 0XFF
