16/03/2016 14:52:34	    80.000 MHz	 24.2 V/m	 -8.7 dBm	OK	IP0: 30075	(10.75 V/m)	Digital: 0XFF
16/03/2016 14:52:39	    80.400 MHz	 24.3 V/m	 -8.2 dBm	OK	IP0: 30293	(11.58 V/m)	Digital: 0XFF
16/03/2016 14:52:45	    80.802 MHz	 22.1 V/m	 -8.4 dBm	OK	IP0: 30163	(11.48 V/m)	Digital: 0XFF
16/03/2016 14:52:51	    81.206 MHz	 20.4 V/m	 -8.5 dBm	OK	IP0: 30083	(11.44 V/m)	Digital: 0XFF
16/03/2016 14:52:57	    81.612 MHz	 19.3 V/m	 -8.6 dBm	OK	IP0: 30002	(11.43 V/m)	Digital: 0XFF
16/03/2016 14:53:03	    82.020 MHz	 18.3 V/m	 -8.7 dBm	OK	IP0: 29925	(11.45 V/m)	Digital: 0XFF
16/03/2016 14:53:09	    82.430 MHz	 17.9 V/m	 -8.9 dBm	OK	IP0: 29825	(11.46 V/m)	Digital: 0XFF
16/03/2016 14:53:15	    82.842 MHz	 18.3 V/m	 -8.9 dBm	OK	IP0: 29715	(11.44 V/m)	Digital: 0XFF
16/03/2016 14:53:21	    83.257 MHz	 19.2 V/m	 -9.0 dBm	OK	IP0: 29646	(11.43 V/m)	Digital: 0XFF
16/03/2016 14:53:25	    83.673 MHz	 20.8 V/m	 -9.1 dBm	OK	IP0: 29573	(11.47 V/m)	Digital: 0XFF
16/03/2016 14:53:31	    84.091 MHz	 20.6 V/m	 -9.2 dBm	OK	IP0: 29491	(11.50 V/m)	Digital: 0XFF
16/03/2016 14:53:37	    84.512 MHz	 21.2 V/m	 -9.3 dBm	OK	IP0: 29405	(11.48 V/m)	Digital: 0XFF
16/03/2016 14:53:43	    84.934 MHz	 21.5 V/m	 -9.3 dBm	OK	IP0: 29371	(11.44 V/m)	Digital: 0XFF
16/03/2016 14:53:49	    85.359 MHz	 21.4 V/m	 -9.3 dBm	OK	IP0: 29334	(11.46 V/m)	Digital: 0XFF
16/03/2016 14:53:55	    85.786 MHz	 21.3 V/m	 -9.4 dBm	OK	IP0: 29242	(11.47 V/m)	Digital: 0XFF
16/03/2016 14:54:01	    86.215 MHz	 21.7 V/m	 -9.2 dBm	OK	IP0: 29262	(11.59 V/m)	Digital: 0XFF
16/03/2016 14:54:07	    86.646 MHz	 21.6 V/m	 -9.3 dBm	OK	IP0: 29177	(11.47 V/m)	Digital: 0XFF
16/03/2016 14:54:13	    87.079 MHz	 21.5 V/m	 -9.3 dBm	OK	IP0: 29080	(11.46 V/m)	Digital: 0XFF
