21/03/2016 15:28:06	     1.000 MHz	 10.4 V/m	-25.8 dBm	OK
21/03/2016 15:28:10	     1.010 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:13	     1.020 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:16	     1.030 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:19	     1.041 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:22	     1.051 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:25	     1.062 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:28	     1.072 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:31	     1.083 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:34	     1.094 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:28:37	     1.105 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:40	     1.116 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:43	     1.127 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:46	     1.138 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:49	     1.149 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:52	     1.161 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:55	     1.173 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:28:58	     1.184 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:01	     1.196 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:04	     1.208 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:07	     1.220 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:10	     1.232 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:13	     1.245 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:16	     1.257 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:19	     1.270 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:22	     1.282 MHz	 10.5 V/m	-25.6 dBm	OK
21/03/2016 15:29:25	     1.295 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:28	     1.308 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:31	     1.321 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:34	     1.335 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:37	     1.348 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:40	     1.361 MHz	 10.4 V/m	-25.6 dBm	OK
21/03/2016 15:29:44	     1.375 MHz	 10.5 V/m	-25.4 dBm	OK
21/03/2016 15:29:47	     1.389 MHz	 10.4 V/m	-25.4 dBm	OK
21/03/2016 15:29:50	     1.403 MHz	 10.4 V/m	-25.4 dBm	OK
21/03/2016 15:29:53	     1.417 MHz	 10.4 V/m	-25.4 dBm	OK
21/03/2016 15:29:56	     1.431 MHz	 10.4 V/m	-25.4 dBm	OK
21/03/2016 15:29:59	     1.445 MHz	 10.4 V/m	-25.4 dBm	OK
21/03/2016 15:30:03	     1.460 MHz	 10.4 V/m	-25.2 dBm	OK
21/03/2016 15:30:06	     1.474 MHz	 10.4 V/m	-25.2 dBm	OK
21/03/2016 15:30:09	     1.489 MHz	 10.4 V/m	-25.2 dBm	OK
21/03/2016 15:30:12	     1.504 MHz	 10.4 V/m	-25.2 dBm	OK
21/03/2016 15:30:15	     1.519 MHz	 10.4 V/m	-25.2 dBm	OK
21/03/2016 15:30:19	     1.534 MHz	 10.4 V/m	-25.0 dBm	OK
21/03/2016 15:30:22	     1.549 MHz	 10.4 V/m	-25.0 dBm	OK
21/03/2016 15:30:25	     1.565 MHz	 10.4 V/m	-25.0 dBm	OK
21/03/2016 15:30:29	     1.580 MHz	 10.4 V/m	-24.8 dBm	OK
21/03/2016 15:30:32	     1.596 MHz	 10.4 V/m	-24.8 dBm	OK
21/03/2016 15:30:35	     1.612 MHz	 10.4 V/m	-24.8 dBm	OK
21/03/2016 15:30:39	     1.628 MHz	 10.5 V/m	-24.6 dBm	OK
21/03/2016 15:30:42	     1.645 MHz	 10.4 V/m	-24.6 dBm	OK
21/03/2016 15:30:45	     1.661 MHz	 10.4 V/m	-24.6 dBm	OK
