21/03/2016 10:07:38	    80.000 MHz	  9.2 V/m	 -9.2 dBm	OK	IP0: 30054	(10.82 V/m)	Digital: 0XFF
21/03/2016 10:07:43	    80.400 MHz	  9.7 V/m	 -8.7 dBm	OK	IP0: 30267	(11.56 V/m)	Digital: 0XFF
21/03/2016 10:07:48	    80.802 MHz	  9.5 V/m	 -8.9 dBm	OK	IP0: 30181	(11.49 V/m)	Digital: 0XFF
21/03/2016 10:07:54	    81.206 MHz	  9.2 V/m	 -9.1 dBm	OK	IP0: 30110	(11.48 V/m)	Digital: 0XFF
21/03/2016 10:08:00	    81.612 MHz	  9.0 V/m	 -9.3 dBm	OK	IP0: 30024	(11.49 V/m)	Digital: 0XFF
21/03/2016 10:08:06	    82.020 MHz	  8.8 V/m	 -9.5 dBm	OK	IP0: 29902	(11.49 V/m)	Digital: 0XFF
21/03/2016 10:08:12	    82.430 MHz	  8.8 V/m	 -9.6 dBm	OK	IP0: 29818	(11.46 V/m)	Digital: 0XFF
21/03/2016 10:08:18	    82.842 MHz	  8.7 V/m	 -9.7 dBm	OK	IP0: 29775	(11.48 V/m)	Digital: 0XFF
21/03/2016 10:08:24	    83.257 MHz	  8.6 V/m	 -9.9 dBm	OK	IP0: 29667	(11.53 V/m)	Digital: 0XFF
21/03/2016 10:08:30	    83.673 MHz	  8.5 V/m	-10.1 dBm	OK	IP0: 29559	(11.49 V/m)	Digital: 0XFF
21/03/2016 10:08:36	    84.091 MHz	  8.5 V/m	-10.2 dBm	OK	IP0: 29513	(11.48 V/m)	Digital: 0XFF
21/03/2016 10:08:42	    84.512 MHz	  8.4 V/m	-10.3 dBm	OK	IP0: 29424	(11.51 V/m)	Digital: 0XFF
21/03/2016 10:08:48	    84.934 MHz	  8.5 V/m	-10.4 dBm	OK	IP0: 29357	(11.46 V/m)	Digital: 0XFF
21/03/2016 10:08:54	    85.359 MHz	  8.6 V/m	-10.4 dBm	OK	IP0: 29348	(11.48 V/m)	Digital: 0XFF
21/03/2016 10:09:00	    85.786 MHz	  8.6 V/m	-10.5 dBm	OK	IP0: 29230	(11.45 V/m)	Digital: 0XFF
21/03/2016 10:09:05	    86.215 MHz	  8.8 V/m	-10.3 dBm	OK	IP0: 29263	(11.58 V/m)	Digital: 0XFF
21/03/2016 10:09:11	    86.646 MHz	  8.8 V/m	-10.3 dBm	OK	IP0: 29178	(11.45 V/m)	Digital: 0XFF
21/03/2016 10:09:16	    87.079 MHz	  9.0 V/m	-10.2 dBm	OK	IP0: 29136	(11.60 V/m)	Digital: 0XFF
21/03/2016 10:09:22	    87.514 MHz	  9.1 V/m	-10.2 dBm	OK	IP0: 29009	(11.42 V/m)	Digital: 0XFF
21/03/2016 10:09:28	    87.952 MHz	  9.5 V/m	-10.0 dBm	OK	IP0: 29053	(11.57 V/m)	Digital: 0XFF
21/03/2016 10:09:34	    88.392 MHz	  9.6 V/m	-10.1 dBm	OK	IP0: 28890	(11.45 V/m)	Digital: 0XFF
21/03/2016 10:09:40	    88.834 MHz	 10.0 V/m	 -9.9 dBm	OK	IP0: 28891	(11.53 V/m)	Digital: 0XFF
21/03/2016 10:09:46	    89.278 MHz	 10.2 V/m	 -9.9 dBm	OK	IP0: 28800	(11.42 V/m)	Digital: 0XFF
21/03/2016 10:09:52	    89.724 MHz	 10.6 V/m	 -9.8 dBm	OK	IP0: 28767	(11.58 V/m)	Digital: 0XFF
21/03/2016 10:09:57	    90.173 MHz	 10.9 V/m	 -9.8 dBm	OK	IP0: 28729	(11.57 V/m)	Digital: 0XFF
21/03/2016 10:10:03	    90.624 MHz	 11.2 V/m	 -9.8 dBm	OK	IP0: 28695	(11.60 V/m)	Digital: 0XFF
21/03/2016 10:10:08	    91.077 MHz	 11.3 V/m	-10.0 dBm	OK	IP0: 28494	(11.44 V/m)	Digital: 0XFF
