08/04/2016 09:33:22	    10.000 MHz	  7.2 V/m	-16.6 dBm	OK
08/04/2016 09:33:26	    10.050 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:33:30	    10.100 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:33	    10.151 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:36	    10.202 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:39	    10.253 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:42	    10.304 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:45	    10.355 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:48	    10.407 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:51	    10.459 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:54	    10.511 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:33:57	    10.564 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:00	    10.617 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:03	    10.670 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:06	    10.723 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:09	    10.777 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:12	    10.831 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:15	    10.885 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:18	    10.939 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:21	    10.994 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:25	    11.049 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:28	    11.104 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:31	    11.160 MHz	  7.8 V/m	-16.8 dBm	OK
08/04/2016 09:34:35	    11.216 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:34:38	    11.272 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:34:41	    11.328 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:34:44	    11.385 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:34:47	    11.442 MHz	  8.0 V/m	-16.8 dBm	OK
08/04/2016 09:34:51	    11.499 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:34:54	    11.556 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:34:58	    11.614 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:35:01	    11.672 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:35:05	    11.730 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:35:08	    11.789 MHz	  7.8 V/m	-17.0 dBm	OK
08/04/2016 09:35:12	    11.848 MHz	  7.6 V/m	-17.0 dBm	OK
08/04/2016 09:35:15	    11.907 MHz	  7.6 V/m	-17.0 dBm	OK
08/04/2016 09:35:18	    11.967 MHz	  7.6 V/m	-17.0 dBm	OK
