15/04/2016 09:46:09	     0.150 MHz	 11.4 V/m	 -2.4 dBm	OK
15/04/2016 09:46:13	     0.160 MHz	 12.5 V/m	 -2.6 dBm	OK
15/04/2016 09:46:18	     0.170 MHz	 12.3 V/m	 -3.5 dBm	OK
15/04/2016 09:46:23	     0.180 MHz	 12.5 V/m	 -4.1 dBm	OK
15/04/2016 09:46:28	     0.190 MHz	 12.5 V/m	 -4.6 dBm	OK
15/04/2016 09:46:33	     0.200 MHz	 12.5 V/m	 -5.2 dBm	OK
15/04/2016 09:46:38	     0.210 MHz	 12.5 V/m	 -5.6 dBm	OK
15/04/2016 09:46:42	     0.220 MHz	 12.5 V/m	 -6.0 dBm	OK
15/04/2016 09:46:47	     0.230 MHz	 12.5 V/m	 -6.6 dBm	OK
15/04/2016 09:46:51	     0.240 MHz	 12.5 V/m	 -6.9 dBm	OK
15/04/2016 09:46:56	     0.250 MHz	 12.5 V/m	 -7.3 dBm	OK
15/04/2016 09:47:01	     0.260 MHz	 12.5 V/m	 -7.6 dBm	OK
15/04/2016 09:47:05	     0.270 MHz	 12.5 V/m	 -8.0 dBm	OK
15/04/2016 09:47:09	     0.280 MHz	 12.5 V/m	 -8.3 dBm	OK
15/04/2016 09:47:13	     0.290 MHz	 12.5 V/m	 -8.6 dBm	OK
15/04/2016 09:47:17	     0.300 MHz	 12.5 V/m	 -8.7 dBm	OK
15/04/2016 09:47:21	     0.310 MHz	 12.5 V/m	 -9.0 dBm	OK
15/04/2016 09:47:25	     0.320 MHz	 12.5 V/m	 -9.2 dBm	OK
15/04/2016 09:47:29	     0.330 MHz	 12.5 V/m	 -9.3 dBm	OK
15/04/2016 09:47:34	     0.340 MHz	 12.5 V/m	 -9.5 dBm	OK
15/04/2016 09:47:38	     0.350 MHz	 12.5 V/m	 -9.7 dBm	OK
15/04/2016 09:47:42	     0.360 MHz	 12.5 V/m	 -9.8 dBm	OK
15/04/2016 09:47:46	     0.370 MHz	 12.5 V/m	-10.0 dBm	OK
15/04/2016 09:47:49	     0.380 MHz	 12.5 V/m	-10.0 dBm	OK
15/04/2016 09:47:53	     0.390 MHz	 12.5 V/m	-10.2 dBm	OK
15/04/2016 09:47:57	     0.400 MHz	 12.5 V/m	-10.3 dBm	OK
15/04/2016 09:48:01	     0.410 MHz	 12.5 V/m	-10.3 dBm	OK
15/04/2016 09:48:05	     0.420 MHz	 12.5 V/m	-10.4 dBm	OK
15/04/2016 09:48:09	     0.430 MHz	 12.5 V/m	-10.5 dBm	OK
15/04/2016 09:48:13	     0.440 MHz	 12.5 V/m	-10.6 dBm	OK
15/04/2016 09:48:16	     0.450 MHz	 12.5 V/m	-10.6 dBm	OK
15/04/2016 09:48:20	     0.460 MHz	 12.5 V/m	-10.7 dBm	OK
15/04/2016 09:48:23	     0.470 MHz	 12.5 V/m	-10.7 dBm	OK
15/04/2016 09:48:26	     0.480 MHz	 12.5 V/m	-10.7 dBm	OK
15/04/2016 09:48:30	     0.490 MHz	 12.5 V/m	-10.8 dBm	OK
15/04/2016 09:48:33	     0.500 MHz	 12.5 V/m	-10.8 dBm	OK
15/04/2016 09:48:37	     0.510 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:48:40	     0.520 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:48:43	     0.530 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:48:46	     0.540 MHz	 12.5 V/m	-11.0 dBm	OK
15/04/2016 09:48:49	     0.550 MHz	 12.5 V/m	-11.0 dBm	OK
15/04/2016 09:48:53	     0.560 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:48:57	     0.570 MHz	 12.5 V/m	-11.0 dBm	OK
15/04/2016 09:49:00	     0.580 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:03	     0.590 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:06	     0.600 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:09	     0.610 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:12	     0.620 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:15	     0.630 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:18	     0.640 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:22	     0.650 MHz	 12.3 V/m	-11.0 dBm	OK
15/04/2016 09:49:25	     0.660 MHz	 12.3 V/m	-11.0 dBm	OK
