15/04/2016 10:06:45	     5.000 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:06:49	     5.025 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:06:53	     5.050 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:06:57	     5.075 MHz	 11.7 V/m	 -7.7 dBm	OK
15/04/2016 10:07:01	     5.101 MHz	 11.7 V/m	 -7.7 dBm	OK
15/04/2016 10:07:05	     5.126 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:09	     5.152 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:12	     5.178 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:15	     5.204 MHz	 11.7 V/m	 -7.7 dBm	OK
15/04/2016 10:07:19	     5.230 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:23	     5.256 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:07:26	     5.282 MHz	 11.7 V/m	 -7.7 dBm	OK
15/04/2016 10:07:29	     5.308 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:07:32	     5.335 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:36	     5.362 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:39	     5.388 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:07:42	     5.415 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:45	     5.442 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:07:48	     5.470 MHz	 12.5 V/m	 -7.7 dBm	OK
15/04/2016 10:07:52	     5.497 MHz	 11.9 V/m	 -7.7 dBm	OK
15/04/2016 10:07:55	     5.524 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:07:59	     5.552 MHz	 12.5 V/m	 -7.7 dBm	OK
15/04/2016 10:08:02	     5.580 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:08:05	     5.608 MHz	 12.5 V/m	 -7.7 dBm	OK
15/04/2016 10:08:09	     5.636 MHz	 12.5 V/m	 -7.7 dBm	OK
15/04/2016 10:08:13	     5.664 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:08:16	     5.692 MHz	 12.3 V/m	 -7.7 dBm	OK
15/04/2016 10:08:20	     5.721 MHz	 12.5 V/m	 -7.8 dBm	OK
15/04/2016 10:08:24	     5.749 MHz	 12.5 V/m	 -7.8 dBm	OK
15/04/2016 10:08:27	     5.778 MHz	 12.3 V/m	 -7.8 dBm	OK
15/04/2016 10:08:30	     5.807 MHz	 12.5 V/m	 -7.8 dBm	OK
