03/05/2016 16:21:05	     0.150 MHz	 11.4 V/m	-13.9 dBm	OK	IP0: 193	Digital: 0XFF
03/05/2016 16:21:10	     0.160 MHz	 11.4 V/m	-14.1 dBm	OK	IP0: 220	Digital: 0XFF
03/05/2016 16:21:16	     0.170 MHz	 11.4 V/m	-14.3 dBm	OK	IP0: 193	Digital: 0XFF
03/05/2016 16:21:22	     0.180 MHz	 11.4 V/m	-14.5 dBm	OK	IP0: 222	Digital: 0XFF
03/05/2016 16:21:27	     0.190 MHz	 11.4 V/m	-14.7 dBm	OK	IP0: 191	Digital: 0XFF
03/05/2016 16:21:31	     0.200 MHz	 11.4 V/m	-14.7 dBm	OK	IP0: 218	Digital: 0XFF
03/05/2016 16:21:37	     0.210 MHz	 11.4 V/m	-14.9 dBm	OK	IP0: 222	Digital: 0XFF
03/05/2016 16:21:43	     0.220 MHz	 11.4 V/m	-15.1 dBm	OK	IP0: 215	Digital: 0XFF
03/05/2016 16:21:48	     0.230 MHz	 11.4 V/m	-15.2 dBm	OK	IP0: 221	Digital: 0XFF
03/05/2016 16:21:53	     0.240 MHz	 11.4 V/m	-15.3 dBm	OK	IP0: 196	Digital: 0XFF
03/05/2016 16:21:59	     0.250 MHz	 11.4 V/m	-15.5 dBm	OK	IP0: 205	Digital: 0XFF
03/05/2016 16:22:04	     0.260 MHz	 11.4 V/m	-15.6 dBm	OK	IP0: 198	Digital: 0XFF
03/05/2016 16:22:09	     0.270 MHz	 11.4 V/m	-15.7 dBm	OK	IP0: 221	Digital: 0XFF
03/05/2016 16:22:15	     0.280 MHz	 11.4 V/m	-15.8 dBm	OK	IP0: 224	Digital: 0XFF
03/05/2016 16:22:20	     0.290 MHz	 11.4 V/m	-15.9 dBm	OK	IP0: 191	Digital: 0XFF
03/05/2016 16:22:24	     0.300 MHz	 11.4 V/m	-15.9 dBm	OK	IP0: 223	Digital: 0XFF
03/05/2016 16:22:29	     0.310 MHz	 11.4 V/m	-16.0 dBm	OK	IP0: 191	Digital: 0XFF
03/05/2016 16:22:35	     0.320 MHz	 11.4 V/m	-16.1 dBm	OK	IP0: 218	Digital: 0XFF
03/05/2016 16:22:41	     0.330 MHz	 11.4 V/m	-16.2 dBm	OK	IP0: 202	Digital: 0XFF
03/05/2016 16:22:45	     0.340 MHz	 11.4 V/m	-16.2 dBm	OK	IP0: 221	Digital: 0XFF
03/05/2016 16:22:50	     0.350 MHz	 11.4 V/m	-16.3 dBm	OK	IP0: 222	Digital: 0XFF
03/05/2016 16:22:55	     0.360 MHz	 11.4 V/m	-16.4 dBm	OK	IP0: 224	Digital: 0XFF
03/05/2016 16:22:59	     0.370 MHz	 11.4 V/m	-16.4 dBm	OK	IP0: 201	Digital: 0XFF
