04/05/2016 10:54:41	     0.150 MHz	 10.4 V/m	 -4.3 dBm	OK
04/05/2016 10:54:45	     0.160 MHz	 11.4 V/m	 -4.3 dBm	OK
04/05/2016 10:54:50	     0.170 MHz	 11.4 V/m	 -4.8 dBm	OK
04/05/2016 10:54:55	     0.180 MHz	 11.4 V/m	 -5.3 dBm	OK
04/05/2016 10:55:00	     0.190 MHz	 11.4 V/m	 -6.0 dBm	OK
04/05/2016 10:55:04	     0.200 MHz	 11.2 V/m	 -6.6 dBm	OK
04/05/2016 10:55:08	     0.210 MHz	 11.4 V/m	 -6.9 dBm	OK
04/05/2016 10:55:12	     0.220 MHz	 11.4 V/m	 -7.5 dBm	OK
04/05/2016 10:55:16	     0.230 MHz	 11.4 V/m	 -7.9 dBm	OK
04/05/2016 10:55:20	     0.240 MHz	 11.2 V/m	 -8.3 dBm	OK
04/05/2016 10:55:24	     0.250 MHz	 11.4 V/m	 -8.5 dBm	OK
04/05/2016 10:55:28	     0.260 MHz	 11.4 V/m	 -8.9 dBm	OK
04/05/2016 10:55:32	     0.270 MHz	 11.4 V/m	 -9.1 dBm	OK
04/05/2016 10:55:36	     0.280 MHz	 11.4 V/m	 -9.3 dBm	OK
04/05/2016 10:55:40	     0.290 MHz	 11.4 V/m	 -9.6 dBm	OK
04/05/2016 10:55:45	     0.300 MHz	 11.4 V/m	 -9.9 dBm	OK
04/05/2016 10:55:49	     0.310 MHz	 11.4 V/m	-10.1 dBm	OK
04/05/2016 10:55:52	     0.320 MHz	 11.4 V/m	-10.1 dBm	OK
04/05/2016 10:55:56	     0.330 MHz	 11.4 V/m	-10.3 dBm	OK
04/05/2016 10:56:00	     0.340 MHz	 11.4 V/m	-10.4 dBm	OK
04/05/2016 10:56:04	     0.350 MHz	 11.4 V/m	-10.7 dBm	OK
04/05/2016 10:56:07	     0.360 MHz	 11.4 V/m	-10.7 dBm	OK
04/05/2016 10:56:11	     0.370 MHz	 11.4 V/m	-10.8 dBm	OK
04/05/2016 10:56:15	     0.380 MHz	 11.4 V/m	-10.9 dBm	OK
04/05/2016 10:56:19	     0.390 MHz	 11.4 V/m	-11.1 dBm	OK
04/05/2016 10:56:22	     0.400 MHz	 11.4 V/m	-11.1 dBm	OK
04/05/2016 10:56:26	     0.410 MHz	 11.4 V/m	-11.1 dBm	OK
04/05/2016 10:56:30	     0.420 MHz	 11.4 V/m	-11.2 dBm	OK
04/05/2016 10:56:34	     0.430 MHz	 11.4 V/m	-11.4 dBm	OK
04/05/2016 10:56:37	     0.440 MHz	 11.4 V/m	-11.4 dBm	OK
04/05/2016 10:56:40	     0.450 MHz	 11.4 V/m	-11.4 dBm	OK
04/05/2016 10:56:44	     0.460 MHz	 11.4 V/m	-11.4 dBm	OK
04/05/2016 10:56:48	     0.470 MHz	 11.4 V/m	-11.4 dBm	OK
04/05/2016 10:56:52	     0.480 MHz	 11.4 V/m	-11.5 dBm	OK
04/05/2016 10:56:56	     0.490 MHz	 11.4 V/m	-11.5 dBm	OK
04/05/2016 10:56:59	     0.500 MHz	 11.4 V/m	-11.5 dBm	OK
04/05/2016 10:57:03	     0.510 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:06	     0.520 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:09	     0.530 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:12	     0.540 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:15	     0.550 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:18	     0.560 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:21	     0.570 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:25	     0.580 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:28	     0.590 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:32	     0.600 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:35	     0.610 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:39	     0.620 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:42	     0.630 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:45	     0.640 MHz	 11.4 V/m	-11.6 dBm	OK
04/05/2016 10:57:48	     0.650 MHz	 11.4 V/m	-11.6 dBm	OK
