04/05/2016 10:06:59	     5.000 MHz	 10.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:02	     5.050 MHz	 10.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:06	     5.101 MHz	 10.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:09	     5.152 MHz	 10.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:12	     5.203 MHz	 10.5 V/m	 -9.1 dBm	OK
04/05/2016 10:07:15	     5.255 MHz	 10.5 V/m	 -9.1 dBm	OK
04/05/2016 10:07:18	     5.308 MHz	 10.7 V/m	 -9.1 dBm	OK
04/05/2016 10:07:21	     5.361 MHz	 10.7 V/m	 -9.1 dBm	OK
04/05/2016 10:07:24	     5.414 MHz	 11.0 V/m	 -9.1 dBm	OK
04/05/2016 10:07:27	     5.468 MHz	 11.2 V/m	 -9.1 dBm	OK
04/05/2016 10:07:30	     5.523 MHz	 11.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:33	     5.578 MHz	 11.4 V/m	 -9.1 dBm	OK
04/05/2016 10:07:37	     5.634 MHz	 11.4 V/m	 -9.2 dBm	OK
04/05/2016 10:07:41	     5.690 MHz	 11.4 V/m	 -9.4 dBm	OK
04/05/2016 10:07:44	     5.747 MHz	 11.4 V/m	 -9.4 dBm	OK
04/05/2016 10:07:48	     5.805 MHz	 11.4 V/m	 -9.5 dBm	OK
04/05/2016 10:07:51	     5.863 MHz	 11.4 V/m	 -9.5 dBm	OK
04/05/2016 10:07:55	     5.922 MHz	 11.4 V/m	 -9.7 dBm	OK
04/05/2016 10:07:58	     5.981 MHz	 11.4 V/m	 -9.7 dBm	OK
04/05/2016 10:08:01	     6.041 MHz	 11.4 V/m	 -9.7 dBm	OK
04/05/2016 10:08:04	     6.101 MHz	 11.4 V/m	 -9.7 dBm	OK
04/05/2016 10:08:08	     6.162 MHz	 11.4 V/m	 -9.7 dBm	OK
04/05/2016 10:08:12	     6.224 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:15	     6.286 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:18	     6.349 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:22	     6.412 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:25	     6.476 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:29	     6.541 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:32	     6.606 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:35	     6.673 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:38	     6.739 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:41	     6.807 MHz	 11.4 V/m	 -9.8 dBm	OK
04/05/2016 10:08:44	     6.875 MHz	 11.2 V/m	 -9.8 dBm	OK
04/05/2016 10:08:47	     6.943 MHz	 11.2 V/m	 -9.8 dBm	OK
04/05/2016 10:08:50	     7.013 MHz	 11.2 V/m	 -9.8 dBm	OK
04/05/2016 10:08:53	     7.083 MHz	 11.0 V/m	 -9.8 dBm	OK
04/05/2016 10:08:56	     7.154 MHz	 11.0 V/m	 -9.8 dBm	OK
04/05/2016 10:09:00	     7.225 MHz	 11.0 V/m	 -9.8 dBm	OK
04/05/2016 10:09:04	     7.298 MHz	 10.7 V/m	 -9.8 dBm	OK
04/05/2016 10:09:07	     7.371 MHz	 10.7 V/m	 -9.8 dBm	OK
04/05/2016 10:09:10	     7.444 MHz	 10.5 V/m	 -9.8 dBm	OK
