06/05/2016 13:55:13	     0.150 MHz	  0.0 V/m	 -8.6 dBm	FAIL (LIMIT)
06/05/2016 13:55:19	     0.160 MHz	  7.3 V/m	 -8.8 dBm	FAIL (LIMIT)
06/05/2016 13:55:22	     0.170 MHz	  8.0 V/m	 -9.0 dBm	FAIL (LIMIT)
06/05/2016 13:55:25	     0.180 MHz	  8.3 V/m	 -9.1 dBm	FAIL (LIMIT)
06/05/2016 13:55:29	     0.190 MHz	  8.7 V/m	 -9.3 dBm	FAIL (LIMIT)
06/05/2016 13:55:33	     0.200 MHz	  9.0 V/m	 -9.5 dBm	FAIL (LIMIT)
06/05/2016 13:55:38	     0.210 MHz	  9.4 V/m	 -9.7 dBm	FAIL (LIMIT)
06/05/2016 13:55:41	     0.220 MHz	  9.7 V/m	 -9.9 dBm	FAIL (LIMIT)
06/05/2016 13:55:45	     0.230 MHz	  9.9 V/m	-10.0 dBm	FAIL (LIMIT)
06/05/2016 13:55:52	     0.240 MHz	 10.4 V/m	-10.0 dBm	OK
06/05/2016 13:55:56	     0.250 MHz	 10.7 V/m	-10.0 dBm	OK
06/05/2016 13:56:00	     0.260 MHz	 11.0 V/m	-10.0 dBm	OK
06/05/2016 13:56:04	     0.270 MHz	 11.4 V/m	-10.0 dBm	OK
06/05/2016 13:56:04	     0.280 MHz	 11.4 V/m	-10.7 dBm	FAIL (LIMIT)
06/05/2016 13:56:12	     0.290 MHz	 11.0 V/m	-10.7 dBm	OK
06/05/2016 13:56:15	     0.300 MHz	 11.2 V/m	-10.7 dBm	OK
06/05/2016 13:56:19	     0.310 MHz	 11.4 V/m	-10.7 dBm	OK
06/05/2016 13:56:20	     0.320 MHz	 11.4 V/m	-11.1 dBm	FAIL (LIMIT)
06/05/2016 13:56:26	     0.330 MHz	 11.4 V/m	-11.1 dBm	OK
06/05/2016 13:56:29	     0.340 MHz	 11.4 V/m	-11.1 dBm	OK
06/05/2016 13:56:30	     0.350 MHz	 11.4 V/m	-11.4 dBm	FAIL (LIMIT)
06/05/2016 13:56:37	     0.360 MHz	 11.4 V/m	-11.4 dBm	OK
06/05/2016 13:56:41	     0.370 MHz	 11.4 V/m	-11.4 dBm	OK
06/05/2016 13:56:42	     0.380 MHz	 11.4 V/m	-11.6 dBm	FAIL (LIMIT)
06/05/2016 13:56:49	     0.390 MHz	 11.4 V/m	-11.6 dBm	OK
06/05/2016 13:56:50	     0.400 MHz	 11.4 V/m	-11.8 dBm	FAIL (LIMIT)
06/05/2016 13:56:56	     0.410 MHz	 11.4 V/m	-11.8 dBm	OK
06/05/2016 13:56:59	     0.420 MHz	 11.4 V/m	-11.8 dBm	OK
06/05/2016 13:57:03	     0.430 MHz	 11.4 V/m	-11.8 dBm	OK
06/05/2016 13:57:06	     0.440 MHz	 11.4 V/m	-11.8 dBm	OK
06/05/2016 13:57:07	     0.450 MHz	 11.4 V/m	-12.0 dBm	FAIL (LIMIT)
06/05/2016 13:57:14	     0.460 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:17	     0.470 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:21	     0.480 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:24	     0.490 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:28	     0.500 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:32	     0.510 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:36	     0.520 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:40	     0.530 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:43	     0.540 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:46	     0.550 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:50	     0.560 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:54	     0.570 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:57:57	     0.580 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:58:00	     0.590 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:58:04	     0.600 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:58:07	     0.610 MHz	 11.4 V/m	-12.0 dBm	OK
06/05/2016 13:58:11	     0.620 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:14	     0.630 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:17	     0.640 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:20	     0.650 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:23	     0.660 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:26	     0.670 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:29	     0.680 MHz	 11.2 V/m	-12.0 dBm	OK
06/05/2016 13:58:33	     0.690 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:37	     0.700 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:41	     0.710 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:44	     0.720 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:47	     0.730 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:51	     0.740 MHz	 11.0 V/m	-12.0 dBm	OK
06/05/2016 13:58:55	     0.750 MHz	 10.7 V/m	-12.0 dBm	OK
06/05/2016 13:58:58	     0.760 MHz	 10.7 V/m	-12.0 dBm	OK
06/05/2016 13:59:01	     0.770 MHz	 10.7 V/m	-12.0 dBm	OK
06/05/2016 13:59:04	     0.780 MHz	 10.7 V/m	-12.0 dBm	OK
06/05/2016 13:59:07	     0.790 MHz	 10.7 V/m	-12.0 dBm	OK
06/05/2016 13:59:11	     0.800 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:14	     0.810 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:17	     0.820 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:20	     0.830 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:23	     0.840 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:27	     0.850 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:30	     0.860 MHz	 10.5 V/m	-12.0 dBm	OK
06/05/2016 13:59:34	     0.870 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:37	     0.880 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:41	     0.890 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:44	     0.900 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:48	     0.910 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:51	     0.920 MHz	 10.4 V/m	-12.0 dBm	OK
06/05/2016 13:59:52	     0.930 MHz	 10.4 V/m	-12.1 dBm	FAIL (LIMIT)
