12/05/2016 11:15:39	     1.000 MHz	 10.4 V/m	-25.2 dBm	OK
12/05/2016 11:15:43	     1.010 MHz	 10.5 V/m	-24.8 dBm	OK
12/05/2016 11:15:46	     1.020 MHz	 10.5 V/m	-24.8 dBm	OK
12/05/2016 11:15:49	     1.030 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:15:52	     1.041 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:15:56	     1.051 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:15:59	     1.062 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:03	     1.072 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:06	     1.083 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:09	     1.094 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:12	     1.105 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:15	     1.116 MHz	 10.7 V/m	-24.8 dBm	OK
12/05/2016 11:16:19	     1.127 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:22	     1.138 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:25	     1.149 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:29	     1.161 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:32	     1.173 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:36	     1.184 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:39	     1.196 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:43	     1.208 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:46	     1.220 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:49	     1.232 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:52	     1.245 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:55	     1.257 MHz	 11.0 V/m	-24.8 dBm	OK
12/05/2016 11:16:58	     1.270 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:02	     1.282 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:05	     1.295 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:08	     1.308 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:11	     1.321 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:14	     1.335 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:17	     1.348 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:20	     1.361 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:23	     1.375 MHz	 11.2 V/m	-24.8 dBm	OK
12/05/2016 11:17:26	     1.389 MHz	 11.2 V/m	-24.8 dBm	OK
