06/05/2016 14:11:16	     1.000 MHz	 10.4 V/m	-11.8 dBm	OK
06/05/2016 14:11:20	     1.010 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:23	     1.020 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:26	     1.030 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:29	     1.041 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:32	     1.051 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:35	     1.062 MHz	 10.4 V/m	-11.6 dBm	OK
06/05/2016 14:11:39	     1.072 MHz	 10.5 V/m	-11.4 dBm	OK
06/05/2016 14:11:43	     1.083 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:11:46	     1.094 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:11:49	     1.105 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:11:52	     1.116 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:11:55	     1.127 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:11:58	     1.138 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:12:01	     1.149 MHz	 10.4 V/m	-11.4 dBm	OK
06/05/2016 14:12:05	     1.161 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:08	     1.173 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:11	     1.184 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:14	     1.196 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:17	     1.208 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:21	     1.220 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:24	     1.232 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:27	     1.245 MHz	 10.5 V/m	-11.0 dBm	OK
06/05/2016 14:12:30	     1.257 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:34	     1.270 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:37	     1.282 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:41	     1.295 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:44	     1.308 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:47	     1.321 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:50	     1.335 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:53	     1.348 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:12:56	     1.361 MHz	 10.4 V/m	-11.0 dBm	OK
06/05/2016 14:13:00	     1.375 MHz	 10.5 V/m	-10.8 dBm	OK
06/05/2016 14:13:03	     1.389 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:06	     1.403 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:09	     1.417 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:12	     1.431 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:16	     1.445 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:19	     1.460 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:23	     1.474 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:27	     1.489 MHz	 10.4 V/m	-10.8 dBm	OK
06/05/2016 14:13:31	     1.504 MHz	 10.5 V/m	-10.6 dBm	OK
06/05/2016 14:13:35	     1.519 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:39	     1.534 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:42	     1.549 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:46	     1.565 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:50	     1.580 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:53	     1.596 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:13:57	     1.612 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:14:00	     1.628 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:14:04	     1.645 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:14:07	     1.661 MHz	 10.4 V/m	-10.6 dBm	OK
06/05/2016 14:14:11	     1.678 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:14	     1.694 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:17	     1.711 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:20	     1.729 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:24	     1.746 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:27	     1.763 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:30	     1.781 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:34	     1.799 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:38	     1.817 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:42	     1.835 MHz	 10.4 V/m	-10.4 dBm	OK
06/05/2016 14:14:46	     1.853 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:14:50	     1.872 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:14:54	     1.890 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:14:58	     1.909 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:02	     1.928 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:05	     1.948 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:08	     1.967 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:11	     1.987 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:15	     2.007 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:15:18	     2.027 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:22	     2.047 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:25	     2.068 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:29	     2.088 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:32	     2.109 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:35	     2.130 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:38	     2.152 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:42	     2.173 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:45	     2.195 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:48	     2.217 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:52	     2.239 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:55	     2.261 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:15:59	     2.284 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:16:02	     2.307 MHz	 10.5 V/m	-10.2 dBm	OK
06/05/2016 14:16:06	     2.330 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:09	     2.353 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:13	     2.377 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:16	     2.400 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:20	     2.424 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:24	     2.449 MHz	 10.4 V/m	-10.2 dBm	OK
06/05/2016 14:16:27	     2.473 MHz	 10.4 V/m	-10.2 dBm	OK
