12/05/2016 11:10:10	     0.150 MHz	 10.4 V/m	-16.7 dBm	OK
12/05/2016 11:10:15	     0.160 MHz	 11.4 V/m	-17.5 dBm	OK
12/05/2016 11:10:19	     0.170 MHz	 11.2 V/m	-18.0 dBm	OK
12/05/2016 11:10:23	     0.180 MHz	 11.4 V/m	-18.4 dBm	OK
12/05/2016 11:10:27	     0.190 MHz	 11.4 V/m	-18.8 dBm	OK
12/05/2016 11:10:31	     0.200 MHz	 11.4 V/m	-19.0 dBm	OK
12/05/2016 11:10:35	     0.210 MHz	 11.4 V/m	-19.4 dBm	OK
12/05/2016 11:10:39	     0.220 MHz	 11.2 V/m	-19.8 dBm	OK
12/05/2016 11:10:43	     0.230 MHz	 11.4 V/m	-20.0 dBm	OK
12/05/2016 11:10:47	     0.240 MHz	 11.4 V/m	-20.2 dBm	OK
12/05/2016 11:10:51	     0.250 MHz	 11.4 V/m	-20.3 dBm	OK
12/05/2016 11:10:55	     0.260 MHz	 11.2 V/m	-20.7 dBm	OK
12/05/2016 11:10:59	     0.270 MHz	 11.4 V/m	-20.7 dBm	OK
12/05/2016 11:11:03	     0.280 MHz	 11.4 V/m	-20.9 dBm	OK
12/05/2016 11:11:07	     0.290 MHz	 11.4 V/m	-21.1 dBm	OK
12/05/2016 11:11:11	     0.300 MHz	 11.4 V/m	-21.2 dBm	OK
12/05/2016 11:11:15	     0.310 MHz	 11.4 V/m	-21.3 dBm	OK
12/05/2016 11:11:19	     0.320 MHz	 11.4 V/m	-21.5 dBm	OK
12/05/2016 11:11:23	     0.330 MHz	 11.4 V/m	-21.6 dBm	OK
12/05/2016 11:11:27	     0.340 MHz	 11.4 V/m	-21.7 dBm	OK
12/05/2016 11:11:31	     0.350 MHz	 11.4 V/m	-21.8 dBm	OK
12/05/2016 11:11:34	     0.360 MHz	 11.4 V/m	-21.8 dBm	OK
12/05/2016 11:11:38	     0.370 MHz	 11.4 V/m	-21.9 dBm	OK
12/05/2016 11:11:42	     0.380 MHz	 11.4 V/m	-22.0 dBm	OK
12/05/2016 11:11:46	     0.390 MHz	 11.4 V/m	-22.1 dBm	OK
12/05/2016 11:11:50	     0.400 MHz	 11.4 V/m	-22.3 dBm	OK
12/05/2016 11:11:53	     0.410 MHz	 11.4 V/m	-22.3 dBm	OK
12/05/2016 11:11:56	     0.420 MHz	 11.4 V/m	-22.3 dBm	OK
12/05/2016 11:12:00	     0.430 MHz	 11.4 V/m	-22.4 dBm	OK
12/05/2016 11:12:03	     0.440 MHz	 11.4 V/m	-22.4 dBm	OK
12/05/2016 11:12:07	     0.450 MHz	 11.4 V/m	-22.5 dBm	OK
12/05/2016 11:12:11	     0.460 MHz	 11.4 V/m	-22.5 dBm	OK
12/05/2016 11:12:15	     0.470 MHz	 11.4 V/m	-22.5 dBm	OK
12/05/2016 11:12:19	     0.480 MHz	 11.4 V/m	-22.7 dBm	OK
12/05/2016 11:12:22	     0.490 MHz	 11.4 V/m	-22.7 dBm	OK
12/05/2016 11:12:25	     0.500 MHz	 11.4 V/m	-22.7 dBm	OK
12/05/2016 11:12:29	     0.510 MHz	 11.4 V/m	-22.9 dBm	OK
12/05/2016 11:12:32	     0.520 MHz	 11.4 V/m	-22.9 dBm	OK
12/05/2016 11:12:35	     0.530 MHz	 11.4 V/m	-22.9 dBm	OK
12/05/2016 11:12:38	     0.540 MHz	 11.4 V/m	-22.9 dBm	OK
12/05/2016 11:12:42	     0.550 MHz	 11.2 V/m	-23.1 dBm	OK
12/05/2016 11:12:45	     0.560 MHz	 11.4 V/m	-23.1 dBm	OK
12/05/2016 11:12:48	     0.570 MHz	 11.4 V/m	-23.1 dBm	OK
12/05/2016 11:12:51	     0.580 MHz	 11.4 V/m	-23.1 dBm	OK
12/05/2016 11:12:54	     0.590 MHz	 11.4 V/m	-23.1 dBm	OK
12/05/2016 11:12:58	     0.600 MHz	 11.4 V/m	-23.1 dBm	OK
12/05/2016 11:13:02	     0.610 MHz	 11.4 V/m	-23.2 dBm	OK
12/05/2016 11:13:05	     0.620 MHz	 11.4 V/m	-23.2 dBm	OK
12/05/2016 11:13:08	     0.630 MHz	 11.4 V/m	-23.2 dBm	OK
12/05/2016 11:13:12	     0.640 MHz	 11.4 V/m	-23.3 dBm	OK
12/05/2016 11:13:15	     0.650 MHz	 11.4 V/m	-23.3 dBm	OK
12/05/2016 11:13:18	     0.660 MHz	 11.4 V/m	-23.3 dBm	OK
12/05/2016 11:13:22	     0.670 MHz	 11.2 V/m	-23.5 dBm	OK
12/05/2016 11:13:25	     0.680 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:29	     0.690 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:32	     0.700 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:35	     0.710 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:38	     0.720 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:41	     0.730 MHz	 11.4 V/m	-23.5 dBm	OK
12/05/2016 11:13:45	     0.740 MHz	 11.2 V/m	-23.7 dBm	OK
12/05/2016 11:13:48	     0.750 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:13:51	     0.760 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:13:55	     0.770 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:13:58	     0.780 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:14:01	     0.790 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:14:04	     0.800 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:14:07	     0.810 MHz	 11.4 V/m	-23.7 dBm	OK
12/05/2016 11:14:11	     0.820 MHz	 11.4 V/m	-23.8 dBm	OK
