06/05/2016 14:22:16	     5.000 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:19	     5.025 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:22	     5.050 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:25	     5.075 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:28	     5.101 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:31	     5.126 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:35	     5.152 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:38	     5.178 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:41	     5.204 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:44	     5.230 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:47	     5.256 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:51	     5.282 MHz	 10.4 V/m	 -9.5 dBm	OK
06/05/2016 14:22:54	     5.308 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:22:57	     5.335 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:23:00	     5.362 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:23:04	     5.388 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:23:07	     5.415 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:23:11	     5.442 MHz	 10.5 V/m	 -9.5 dBm	OK
06/05/2016 14:23:15	     5.470 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:19	     5.497 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:22	     5.524 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:25	     5.552 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:28	     5.580 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:32	     5.608 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:35	     5.636 MHz	 10.7 V/m	 -9.5 dBm	OK
06/05/2016 14:23:38	     5.664 MHz	 11.0 V/m	 -9.5 dBm	OK
06/05/2016 14:23:42	     5.692 MHz	 11.0 V/m	 -9.5 dBm	OK
