20/05/2016 14:59:52	     0.150 MHz	27.1 V/m	 -3.7 dBm	OK
20/05/2016 14:59:55	     0.160 MHz	29.2 V/m	 -3.9 dBm	OK
20/05/2016 14:59:58	     0.170 MHz	31.1 V/m	 -4.1 dBm	OK
20/05/2016 15:00:02	     0.180 MHz	32.4 V/m	 -4.3 dBm	OK
20/05/2016 15:00:05	     0.190 MHz	35.1 V/m	 -4.5 dBm	OK
20/05/2016 15:00:09	     0.200 MHz	37.3 V/m	 -4.7 dBm	OK
20/05/2016 15:00:12	     0.210 MHz	39.7 V/m	 -4.7 dBm	OK
20/05/2016 15:00:16	     0.220 MHz	42.2 V/m	 -4.8 dBm	OK
20/05/2016 15:00:19	     0.230 MHz	45.6 V/m	 -4.8 dBm	OK
20/05/2016 15:00:22	     0.240 MHz	47.8 V/m	 -4.9 dBm	OK
20/05/2016 15:00:25	     0.250 MHz	49.3 V/m	 -4.9 dBm	OK
20/05/2016 15:00:28	     0.260 MHz	53.3 V/m	 -4.9 dBm	OK
20/05/2016 15:00:31	     0.270 MHz	55.9 V/m	 -5.0 dBm	OK
20/05/2016 15:00:34	     0.280 MHz	57.6 V/m	 -5.0 dBm	OK
20/05/2016 15:00:37	     0.290 MHz	60.4 V/m	 -5.1 dBm	OK
20/05/2016 15:00:41	     0.300 MHz	62.3 V/m	 -5.1 dBm	OK
20/05/2016 15:00:44	     0.310 MHz	0.0 V/m	 -5.2 dBm	OK
20/05/2016 15:00:47	     0.320 MHz	0.0 V/m	 -5.2 dBm	OK
20/05/2016 15:00:50	     0.330 MHz	0.0 V/m	 -5.3 dBm	OK
20/05/2016 15:00:53	     0.340 MHz	0.0 V/m	 -5.3 dBm	OK
20/05/2016 15:00:56	     0.350 MHz	0.0 V/m	 -5.4 dBm	OK
20/05/2016 15:00:59	     0.360 MHz	0.0 V/m	 -5.4 dBm	OK
20/05/2016 15:01:02	     0.370 MHz	0.0 V/m	 -5.5 dBm	OK
20/05/2016 15:01:05	     0.380 MHz	0.0 V/m	 -5.5 dBm	OK
20/05/2016 15:01:08	     0.390 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:11	     0.400 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:14	     0.410 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:17	     0.420 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:20	     0.430 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:23	     0.440 MHz	0.0 V/m	 -5.6 dBm	OK
20/05/2016 15:01:26	     0.450 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:29	     0.460 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:32	     0.470 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:35	     0.480 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:38	     0.490 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:41	     0.500 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:44	     0.510 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:47	     0.520 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:50	     0.530 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:53	     0.540 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:56	     0.550 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:01:59	     0.560 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:02	     0.570 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:05	     0.580 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:08	     0.590 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:11	     0.600 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:14	     0.610 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:17	     0.620 MHz	0.0 V/m	 -5.7 dBm	OK
20/05/2016 15:02:20	     0.630 MHz	0.0 V/m	 -5.8 dBm	OK
20/05/2016 15:02:23	     0.640 MHz	0.0 V/m	 -5.8 dBm	OK
20/05/2016 15:02:26	     0.650 MHz	0.0 V/m	 -5.8 dBm	OK
20/05/2016 15:02:29	     0.660 MHz	0.0 V/m	 -5.8 dBm	OK
20/05/2016 15:02:32	     0.670 MHz	0.0 V/m	 -5.8 dBm	OK
20/05/2016 15:02:35	     0.680 MHz	0.0 V/m	 -5.9 dBm	OK
20/05/2016 15:02:38	     0.690 MHz	0.0 V/m	 -5.9 dBm	OK
20/05/2016 15:02:41	     0.700 MHz	0.0 V/m	 -5.9 dBm	OK
20/05/2016 15:02:44	     0.710 MHz	0.0 V/m	 -5.9 dBm	OK
20/05/2016 15:02:47	     0.720 MHz	0.0 V/m	 -5.9 dBm	OK
20/05/2016 15:02:50	     0.730 MHz	0.0 V/m	 -6.0 dBm	OK
20/05/2016 15:02:53	     0.740 MHz	0.0 V/m	 -6.0 dBm	OK
20/05/2016 15:02:56	     0.750 MHz	0.0 V/m	 -6.0 dBm	OK
20/05/2016 15:02:59	     0.760 MHz	0.0 V/m	 -6.0 dBm	OK
20/05/2016 15:03:02	     0.770 MHz	0.0 V/m	 -6.0 dBm	OK
20/05/2016 15:03:05	     0.780 MHz	0.0 V/m	 -6.1 dBm	OK
20/05/2016 15:03:08	     0.790 MHz	0.0 V/m	 -6.1 dBm	OK
20/05/2016 15:03:11	     0.800 MHz	0.0 V/m	 -6.1 dBm	OK
20/05/2016 15:03:14	     0.810 MHz	0.0 V/m	 -6.1 dBm	OK
20/05/2016 15:03:17	     0.820 MHz	0.0 V/m	 -6.2 dBm	OK
