12/09/2016 13:24:44	  1000.000 MHz	 14.8 V/m	-11.8 dBm	OK	IP0: 27561	(10.61 V/m)	Digital: 0XFF
12/09/2016 13:24:49	  1005.000 MHz	 15.2 V/m	-11.0 dBm	OK	IP0: 27944	(11.52 V/m)	Digital: 0XFF
12/09/2016 13:24:55	  1010.025 MHz	 14.0 V/m	-10.8 dBm	OK	IP0: 27929	(11.52 V/m)	Digital: 0XFF
12/09/2016 13:24:59	  1015.075 MHz	 16.1 V/m	 -9.8 dBm	OK	IP0: 28785	(10.52 V/m)	Digital: 0XFF
12/09/2016 13:25:04	  1020.151 MHz	 17.8 V/m	 -8.5 dBm	OK	IP0: 29430	(10.56 V/m)	Digital: 0XFF
12/09/2016 13:25:10	  1025.251 MHz	 20.2 V/m	 -7.5 dBm	OK	IP0: 29937	(11.02 V/m)	Digital: 0XFF
12/09/2016 13:25:16	  1030.378 MHz	 21.4 V/m	 -8.9 dBm	OK	IP0: 29149	(11.40 V/m)	Digital: 0XFF
12/09/2016 13:25:22	  1035.529 MHz	 20.6 V/m	 -9.5 dBm	OK	IP0: 28697	(11.56 V/m)	Digital: 0XFF
12/09/2016 13:25:28	  1040.707 MHz	 17.4 V/m	-10.5 dBm	OK	IP0: 28237	(11.20 V/m)	Digital: 0XFF
12/09/2016 13:25:34	  1045.911 MHz	 19.1 V/m	-10.3 dBm	OK	IP0: 28383	(11.53 V/m)	Digital: 0XFF
12/09/2016 13:25:40	  1051.140 MHz	 13.6 V/m	-10.1 dBm	OK	IP0: 28542	(11.45 V/m)	Digital: 0XFF
12/09/2016 13:25:46	  1056.396 MHz	  8.4 V/m	 -9.3 dBm	OK	IP0: 29023	(11.52 V/m)	Digital: 0XFF
12/09/2016 13:25:52	  1061.678 MHz	  9.6 V/m	 -9.0 dBm	OK	IP0: 29161	(11.46 V/m)	Digital: 0XFF
12/09/2016 13:25:59	  1066.986 MHz	  8.6 V/m	 -9.8 dBm	OK	IP0: 28634	(11.10 V/m)	Digital: 0XFF
12/09/2016 13:26:05	  1072.321 MHz	  7.0 V/m	-11.2 dBm	OK	IP0: 27879	(11.48 V/m)	Digital: 0XFF
12/09/2016 13:26:09	  1077.683 MHz	  8.2 V/m	 -9.8 dBm	OK	IP0: 28674	(10.62 V/m)	Digital: 0XFF
12/09/2016 13:26:14	  1083.071 MHz	 22.7 V/m	 -8.2 dBm	OK	IP0: 29485	(10.48 V/m)	Digital: 0XFF
12/09/2016 13:26:19	  1088.487 MHz	 24.2 V/m	 -7.2 dBm	OK	IP0: 29969	(10.83 V/m)	Digital: 0XFF
12/09/2016 13:26:25	  1093.929 MHz	 24.0 V/m	 -8.0 dBm	OK	IP0: 29566	(11.51 V/m)	Digital: 0XFF
12/09/2016 13:26:31	  1099.399 MHz	 22.2 V/m	 -9.0 dBm	OK	IP0: 28914	(11.59 V/m)	Digital: 0XFF
