13/09/2016 09:38:51	    25.000 MHz	 10.4 V/m	-11.6 dBm	OK
13/09/2016 09:38:55	    25.125 MHz	 10.4 V/m	-11.4 dBm	OK
13/09/2016 09:39:00	    25.251 MHz	 10.4 V/m	-11.0 dBm	OK
13/09/2016 09:39:04	    25.377 MHz	 10.4 V/m	-10.6 dBm	OK
13/09/2016 09:39:08	    25.504 MHz	 10.5 V/m	-10.0 dBm	OK
13/09/2016 09:39:12	    25.631 MHz	 10.5 V/m	 -9.6 dBm	OK
13/09/2016 09:39:16	    25.759 MHz	 10.4 V/m	 -9.4 dBm	OK
13/09/2016 09:42:50	    25.888 MHz	 10.4 V/m	 -8.1 dBm	FAIL (LIMIT)
13/09/2016 09:42:56	    26.018 MHz	 10.5 V/m	 -8.1 dBm	OK
13/09/2016 09:43:00	    26.148 MHz	 10.4 V/m	 -7.9 dBm	OK
13/09/2016 09:43:04	    26.279 MHz	 10.4 V/m	 -7.6 dBm	OK
13/09/2016 09:43:08	    26.410 MHz	 10.4 V/m	 -7.4 dBm	OK
13/09/2016 09:43:12	    26.542 MHz	 10.5 V/m	 -7.2 dBm	OK
13/09/2016 09:43:16	    26.675 MHz	 10.4 V/m	 -7.0 dBm	OK
13/09/2016 09:43:22	    26.808 MHz	 10.4 V/m	 -6.8 dBm	OK
13/09/2016 09:43:26	    26.942 MHz	 10.7 V/m	 -6.8 dBm	OK
13/09/2016 09:43:30	    27.077 MHz	 10.7 V/m	 -6.8 dBm	OK
13/09/2016 09:43:34	    27.212 MHz	 11.0 V/m	 -6.8 dBm	OK
13/09/2016 09:43:38	    27.348 MHz	 11.2 V/m	 -6.8 dBm	OK
13/09/2016 09:43:42	    27.485 MHz	 11.4 V/m	 -7.0 dBm	OK
13/09/2016 09:43:43	    27.622 MHz	 11.4 V/m	 -7.1 dBm	FAIL (LIMIT)
13/09/2016 09:43:52	    27.761 MHz	 11.4 V/m	 -7.4 dBm	OK
13/09/2016 09:43:57	    27.899 MHz	 11.4 V/m	 -7.6 dBm	OK
13/09/2016 09:44:02	    28.039 MHz	 11.4 V/m	 -7.7 dBm	OK
13/09/2016 09:44:05	    28.179 MHz	 11.4 V/m	 -7.7 dBm	OK
13/09/2016 09:44:08	    28.320 MHz	 11.4 V/m	 -7.7 dBm	OK
13/09/2016 09:44:12	    28.461 MHz	 11.0 V/m	 -7.7 dBm	OK
13/09/2016 09:44:16	    28.604 MHz	 10.5 V/m	 -7.7 dBm	OK
